,Greek,Macedonian,Gaelic (Scotland,Irish,Welsh,&nbsp;,English only spoken at home,Households where a non English language is spoken,"Celtic, nec",German,Punjabi,French,Cantonese,Serbian,Tagalog,Spanish,Italian,Dutch,Croatian,Hindi,Nepali,Bengali,Mandarin,Telugu,Vietnamese,Polish,Afrikaans,Key Word Sign Australia,Arabic,Finnish,Portuguese,Czech,Japanese,Malayalam,Korean,Hakka,Burmese,Thai,Maltese,Sinhalese,Russian,Danish,Turkish,Swedish,Indonesian,Filipino,Urdu,Slovak,Hebrew,Hungarian,"Non-verbal, so described",Ukrainian,Bisaya,Maori (Cook Island,Tok Pisin (Neomelanesian,Persian (excluding Dari,Auslan,Norwegian,Khmer,Samoan,Tongan,Invented Languages,Min Nan,Marathi,Fijian,Bislama,Maori (New Zealand,Shona,Lao,Dari,Tamil,Kurdish,Gujarati,"Aboriginal English, so described",Wiradjuri,Romanian,Malay,Estonian,Latin,Bosnian,"Swiss, so described","Other Australian Indigenous Languages, nec",Gumbaynggir,Chin Haka,Dinka,Slovene,Hazaraghi,Cebuano,Dhanggatti,"African Languages, nec",Kuuku-Ya'u,Yoruba,Latvian,Kirundi (Rundi,Assyrian Neo-Aramaic,Yankunytjatjara,"Serbo-Croatian/Yugoslavian, so described",Norf'k-Pitcairn,Gilbertese,Armenian,Paakantyi,Catalan,IIokano,Akan,Swahili,Bandjalang,Githabul,Gamilaraay,Rohingya,Pashto,Somali,Luritja,Krio,"Burmese and Related Languages, nec",Bulgarian,Tibetan,Chaldean Neo-Aramaic,Dharawal,Mongolian,Tokelauan,Karen,Greek (%),Macedonian (%),Gaelic (Scotland (%),Irish (%),Welsh (%),&nbsp; (%),English only spoken at home (%),Households where a non English language is spoken (%),"Celtic, nec (%)",German (%),Punjabi (%),French (%),Cantonese (%),Serbian (%),Tagalog (%),Spanish (%),Italian (%),Dutch (%),Croatian (%),Hindi (%),Nepali (%),Bengali (%),Mandarin (%),Telugu (%),Vietnamese (%),Polish (%),Afrikaans (%),Key Word Sign Australia (%),Arabic (%),Finnish (%),Portuguese (%),Czech (%),Japanese (%),Malayalam (%),Korean (%),Hakka (%),Burmese (%),Thai (%),Maltese (%),Sinhalese (%),Russian (%),Danish (%),Turkish (%),Swedish (%),Indonesian (%),Filipino (%),Urdu (%),Slovak (%),Hebrew (%),Hungarian (%),"Non-verbal, so described (%)",Ukrainian (%),Bisaya (%),Maori (Cook Island (%),Tok Pisin (Neomelanesian (%),Persian (excluding Dari (%),Auslan (%),Norwegian (%),Khmer (%),Samoan (%),Tongan (%),Invented Languages (%),Min Nan (%),Marathi (%),Fijian (%),Bislama (%),Maori (New Zealand (%),Shona (%),Lao (%),Dari (%),Tamil (%),Kurdish (%),Gujarati (%),"Aboriginal English, so described (%)",Wiradjuri (%),Romanian (%),Malay (%),Estonian (%),Latin (%),Bosnian (%),"Swiss, so described (%)","Other Australian Indigenous Languages, nec (%)",Gumbaynggir (%),Chin Haka (%),Dinka (%),Slovene (%),Hazaraghi (%),Cebuano (%),Dhanggatti (%),"African Languages, nec (%)",Kuuku-Ya'u (%),Yoruba (%),Latvian (%),Kirundi (Rundi (%),Assyrian Neo-Aramaic (%),Yankunytjatjara (%),"Serbo-Croatian/Yugoslavian, so described (%)",Norf'k-Pitcairn (%),Gilbertese (%),Armenian (%),Paakantyi (%),Catalan (%),IIokano (%),Akan (%),Swahili (%),Bandjalang (%),Githabul (%),Gamilaraay (%),Rohingya (%),Pashto (%),Somali (%),Luritja (%),Krio (%),"Burmese and Related Languages, nec (%)",Bulgarian (%),Tibetan (%),Chaldean Neo-Aramaic (%),Dharawal (%),Mongolian (%),Tokelauan (%),Karen (%),SSC_CODE
Lower Boro,4,3,0,0,0,&nbsp;,147,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,1.8,0.0,0.0,0.0,&nbsp;,88.0,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12402
New South Wales,"81,683","28,144",317,586,434,&nbsp;,"5,126,633","735,563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.4,0.0,0.0,0.0,&nbsp;,68.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"237,588","66,019","1,006","1,941","1,688",&nbsp;,"17,020,417","1,971,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3,0.0,0.0,0.0,&nbsp;,72.7,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oallen,,,0,0,0,&nbsp;,104,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,75.4,4.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13062
Braidwood,,,,,,&nbsp;,"1,430",29,,,11,7,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,&nbsp;,87.2,4.3,,,0.7,0.4,0.4,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10547
Majors Creek (NSW),,,0,0,,&nbsp;,220,7,,,,,,,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,&nbsp;,87.3,6.5,,,,,,,1.2,1.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12452
Araluen (NSW),,,0,0,0,&nbsp;,137,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,85.1,4.6,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070
Reidsdale,,,0,0,0,&nbsp;,111,3,0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,89.5,6.2,0.0,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13348
Bombay,,,0,0,0,&nbsp;,104,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,89.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10456
Warri,,,0,0,0,&nbsp;,102,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,&nbsp;,95.3,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14172
