,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Not stated,Bachelor Degree level and above (%),Advanced Diploma and Diploma level (%),Certificate level IV (%),Certificate level III (%),Year 12 (%),Year 11 (%),Year 10 (%),Certificate level II (%),Certificate level I (%),Year 9 or below (%),No educational attainment (%),Not stated (%),SSC_CODE
Lower Boro,21.0,21.0,4.0,30.0,15.0,8.0,19.0,0.0,0.0,10.0,0.0,17.0,13.7,13.7,2.6,19.6,9.8,5.2,12.4,0.0,0.0,6.5,0.0,11.1,12402
New South Wales,1424716.0,543142.0,167947.0,730498.0,930654.0,203574.0,702178.0,4849.0,625.0,513209.0,54870.0,627465.0,23.4,8.9,2.8,12.0,15.3,3.3,11.5,0.1,0.0,8.4,0.9,10.3,
Australia,4181406.0,1687893.0,551767.0,2442203.0,2994097.0,941531.0,2054331.0,13454.0,2176.0,1529897.0,145844.0,1974794.0,22.0,8.9,2.9,12.8,15.7,4.9,10.8,0.1,0.0,8.0,0.8,10.4,
Oallen,14.0,5.0,3.0,22.0,16.0,6.0,20.0,0.0,0.0,5.0,0.0,29.0,11.0,3.9,2.4,17.3,12.6,4.7,15.7,0.0,0.0,3.9,0.0,22.8,13062
Braidwood,285.0,103.0,32.0,170.0,147.0,42.0,172.0,0.0,0.0,107.0,7.0,213.0,21.4,7.8,2.4,12.8,11.1,3.2,12.9,0.0,0.0,8.1,0.5,16.0,10547
Majors Creek (NSW),40.0,16.0,3.0,36.0,23.0,3.0,33.0,0.0,0.0,13.0,0.0,25.0,20.4,8.2,1.5,18.4,11.7,1.5,16.8,0.0,0.0,6.6,0.0,12.8,12452
Araluen (NSW),26.0,14.0,6.0,23.0,9.0,3.0,30.0,0.0,0.0,10.0,0.0,32.0,16.0,8.6,3.7,14.2,5.6,1.9,18.5,0.0,0.0,6.2,0.0,19.8,10070
Reidsdale,27.0,3.0,0.0,18.0,11.0,6.0,15.0,0.0,0.0,3.0,0.0,14.0,26.5,2.9,0.0,17.6,10.8,5.9,14.7,0.0,0.0,2.9,0.0,13.7,13348
Bombay,24.0,14.0,3.0,12.0,3.0,3.0,3.0,0.0,0.0,6.0,0.0,13.0,27.6,16.1,3.4,13.8,3.4,3.4,3.4,0.0,0.0,6.9,0.0,14.9,10456
Warri,26.0,10.0,0.0,16.0,3.0,4.0,7.0,0.0,0.0,4.0,0.0,4.0,32.1,12.3,0.0,19.8,3.7,4.9,8.6,0.0,0.0,4.9,0.0,4.9,14172
Manar,14.0,18.0,3.0,12.0,8.0,4.0,13.0,0.0,0.0,9.0,0.0,19.0,13.9,17.8,3.0,11.9,7.9,4.0,12.9,0.0,0.0,8.9,0.0,18.8,12462
Mongarlowe,26.0,6.0,4.0,16.0,13.0,3.0,12.0,0.0,0.0,9.0,0.0,25.0,23.2,5.4,3.6,14.3,11.6,2.7,10.7,0.0,0.0,8.0,0.0,22.3,12678
Karabar,906.0,553.0,228.0,1023.0,1169.0,260.0,953.0,8.0,3.0,693.0,31.0,619.0,13.7,8.3,3.4,15.4,17.6,3.9,14.4,0.1,0.0,10.5,0.5,9.3,12071
Queanbeyan,1185.0,448.0,173.0,673.0,857.0,162.0,580.0,4.0,0.0,452.0,48.0,626.0,22.2,8.4,3.2,12.6,16.0,3.0,10.8,0.1,0.0,8.5,0.9,11.7,13291
Crestwood,772.0,359.0,143.0,491.0,608.0,125.0,432.0,3.0,0.0,354.0,34.0,388.0,20.3,9.4,3.8,12.9,16.0,3.3,11.3,0.1,0.0,9.3,0.9,10.2,11115
Queanbeyan East,767.0,320.0,132.0,417.0,552.0,144.0,357.0,3.0,0.0,216.0,14.0,278.0,23.6,9.8,4.1,12.8,17.0,4.4,11.0,0.1,0.0,6.6,0.4,8.5,13292
Greenleigh,199.0,55.0,13.0,70.0,105.0,23.0,51.0,0.0,0.0,29.0,0.0,35.0,33.8,9.3,2.2,11.9,17.8,3.9,8.7,0.0,0.0,4.9,0.0,5.9,11767
The Ridgeway,55.0,13.0,0.0,13.0,30.0,0.0,11.0,0.0,0.0,8.0,0.0,8.0,39.3,9.3,0.0,9.3,21.4,0.0,7.9,0.0,0.0,5.7,0.0,5.7,13836
Bungendore,809.0,386.0,124.0,469.0,468.0,119.0,283.0,0.0,0.0,139.0,3.0,307.0,25.3,12.1,3.9,14.7,14.7,3.7,8.9,0.0,0.0,4.4,0.1,9.6,10684
Sutton (NSW),285.0,117.0,42.0,163.0,178.0,52.0,110.0,0.0,0.0,82.0,4.0,307.0,20.7,8.5,3.1,11.9,12.9,3.8,8.0,0.0,0.0,6.0,0.3,22.3,13702
Carwoola,319.0,111.0,31.0,185.0,172.0,35.0,106.0,0.0,0.0,59.0,3.0,116.0,27.5,9.6,2.7,15.9,14.8,3.0,9.1,0.0,0.0,5.1,0.3,10.0,10841
Hoskinstown,33.0,13.0,6.0,19.0,29.0,7.0,18.0,0.0,0.0,3.0,0.0,26.0,21.6,8.5,3.9,12.4,19.0,4.6,11.8,0.0,0.0,2.0,0.0,17.0,11944
Captains Flat,68.0,49.0,21.0,85.0,57.0,15.0,67.0,0.0,0.0,46.0,3.0,53.0,14.2,10.2,4.4,17.7,11.9,3.1,14.0,0.0,0.0,9.6,0.6,11.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),199.0,79.0,19.0,53.0,90.0,26.0,54.0,0.0,0.0,32.0,5.0,89.0,30.5,12.1,2.9,8.1,13.8,4.0,8.3,0.0,0.0,4.9,0.8,13.6,10697
Mount Fairy,41.0,29.0,8.0,19.0,26.0,5.0,15.0,0.0,0.0,16.0,0.0,15.0,25.2,17.8,4.9,11.7,16.0,3.1,9.2,0.0,0.0,9.8,0.0,9.2,12758
Mulloon,20.0,18.0,8.0,11.0,13.0,7.0,16.0,0.0,0.0,6.0,0.0,25.0,16.3,14.6,6.5,8.9,10.6,5.7,13.0,0.0,0.0,4.9,0.0,20.3,12827
Royalla,176.0,80.0,21.0,113.0,144.0,25.0,63.0,0.0,0.0,37.0,0.0,86.0,23.2,10.6,2.8,14.9,19.0,3.3,8.3,0.0,0.0,4.9,0.0,11.4,13434
Primrose Valley,23.0,10.0,11.0,18.0,14.0,6.0,7.0,0.0,0.0,6.0,0.0,10.0,22.1,9.6,10.6,17.3,13.5,5.8,6.7,0.0,0.0,5.8,0.0,9.6,13265
Urila,21.0,7.0,4.0,18.0,11.0,0.0,14.0,0.0,0.0,3.0,0.0,25.0,20.6,6.9,3.9,17.6,10.8,0.0,13.7,0.0,0.0,2.9,0.0,24.5,14059
Tarago,55.0,28.0,6.0,68.0,49.0,6.0,39.0,0.0,0.0,33.0,0.0,48.0,17.0,8.7,1.9,21.1,15.2,1.9,12.1,0.0,0.0,10.2,0.0,14.9,13758
Currawang,28.0,12.0,8.0,28.0,13.0,0.0,15.0,0.0,0.0,4.0,0.0,37.0,17.2,7.4,4.9,17.2,8.0,0.0,9.2,0.0,0.0,2.5,0.0,22.7,11177
Googong,553.0,262.0,90.0,254.0,330.0,46.0,157.0,0.0,0.0,82.0,3.0,191.0,27.5,13.0,4.5,12.6,16.4,2.3,7.8,0.0,0.0,4.1,0.1,9.5,11704
Wamboin,489.0,141.0,50.0,124.0,183.0,34.0,111.0,0.0,0.0,57.0,0.0,155.0,35.6,10.3,3.6,9.0,13.3,2.5,8.1,0.0,0.0,4.2,0.0,11.3,14123
Bywong,365.0,105.0,31.0,121.0,154.0,38.0,91.0,0.0,0.0,43.0,0.0,100.0,34.3,9.9,2.9,11.4,14.5,3.6,8.6,0.0,0.0,4.0,0.0,9.4,10735
Michelago,89.0,36.0,22.0,78.0,72.0,14.0,44.0,0.0,0.0,16.0,0.0,53.0,20.5,8.3,5.1,17.9,16.6,3.2,10.1,0.0,0.0,3.7,0.0,12.2,12598
Jerrabomberra,2151.0,872.0,283.0,790.0,1313.0,263.0,653.0,3.0,3.0,370.0,3.0,343.0,29.8,12.1,3.9,11.0,18.2,3.6,9.1,0.0,0.0,5.1,0.0,4.8,12016
Queanbeyan West,400.0,229.0,110.0,393.0,402.0,100.0,321.0,3.0,0.0,235.0,8.0,244.0,16.0,9.2,4.4,15.7,16.1,4.0,12.9,0.1,0.0,9.4,0.3,9.8,13293
Delegate,21.0,23.0,8.0,38.0,38.0,12.0,59.0,0.0,0.0,50.0,3.0,45.0,7.0,7.6,2.7,12.6,12.6,4.0,19.6,0.0,0.0,16.6,1.0,15.0,11233
Bombala,93.0,67.0,38.0,188.0,139.0,50.0,193.0,0.0,0.0,183.0,6.0,143.0,8.3,6.0,3.4,16.8,12.4,4.5,17.2,0.0,0.0,16.3,0.5,12.8,10455
Cathcart (NSW),13.0,6.0,7.0,10.0,11.0,3.0,17.0,0.0,0.0,15.0,0.0,7.0,13.5,6.2,7.3,10.4,11.5,3.1,17.7,0.0,0.0,15.6,0.0,7.3,10855
Cooma (NSW),703.0,412.0,217.0,877.0,636.0,215.0,815.0,11.0,0.0,566.0,27.0,993.0,12.5,7.3,3.9,15.6,11.3,3.8,14.5,0.2,0.0,10.0,0.5,17.6,11036
Kosciuszko National Park,83.0,43.0,17.0,82.0,94.0,9.0,32.0,0.0,0.0,3.0,0.0,145.0,16.2,8.4,3.3,16.0,18.4,1.8,6.2,0.0,0.0,0.6,0.0,28.3,12199
Adaminaby,18.0,25.0,13.0,46.0,34.0,12.0,36.0,0.0,0.0,41.0,0.0,35.0,6.9,9.7,5.0,17.8,13.1,4.6,13.9,0.0,0.0,15.8,0.0,13.5,10015
Nimmitabel,35.0,25.0,9.0,37.0,24.0,12.0,51.0,0.0,0.0,24.0,3.0,28.0,14.1,10.1,3.6,14.9,9.7,4.8,20.6,0.0,0.0,9.7,1.2,11.3,12966
Numeralla,46.0,16.0,6.0,37.0,24.0,6.0,18.0,0.0,0.0,14.0,0.0,34.0,21.6,7.5,2.8,17.4,11.3,2.8,8.5,0.0,0.0,6.6,0.0,16.0,13039
Colinton (NSW),20.0,10.0,3.0,20.0,20.0,5.0,8.0,0.0,0.0,4.0,0.0,11.0,18.7,9.3,2.8,18.7,18.7,4.7,7.5,0.0,0.0,3.7,0.0,10.3,10968
Dairymans Plains,23.0,8.0,3.0,31.0,16.0,0.0,15.0,0.0,0.0,15.0,0.0,6.0,17.7,6.2,2.3,23.8,12.3,0.0,11.5,0.0,0.0,11.5,0.0,4.6,11188
