,Personal,Family,Household,Personal (%),Family (%),Household (%),SSC_CODE
Lower Boro,492.0,1562.0,1062.0,--,--,--,12402
New South Wales,664.0,1780.0,1486.0,--,--,--,
Australia,662.0,1734.0,1438.0,--,--,--,
Oallen,575.0,1281.0,966.0,--,--,--,13062
Braidwood,605.0,1527.0,1091.0,--,--,--,10547
Majors Creek (NSW),548.0,1093.0,1025.0,--,--,--,12452
Araluen (NSW),438.0,850.0,716.0,--,--,--,10070
Reidsdale,659.0,1375.0,1187.0,--,--,--,13348
Bombay,743.0,1774.0,1281.0,--,--,--,10456
Warri,1031.0,2666.0,2285.0,--,--,--,14172
Manar,735.0,2416.0,2249.0,--,--,--,12462
Mongarlowe,543.0,1104.0,949.0,--,--,--,12678
Karabar,812.0,2007.0,1692.0,--,--,--,12071
Queanbeyan,829.0,1852.0,1405.0,--,--,--,13291
Crestwood,846.0,1832.0,1395.0,--,--,--,11115
Queanbeyan East,854.0,1782.0,1328.0,--,--,--,13292
Greenleigh,1043.0,3036.0,2843.0,--,--,--,11767
The Ridgeway,1100.0,3250.0,2812.0,--,--,--,13836
Bungendore,1096.0,2710.0,2514.0,--,--,--,10684
Sutton (NSW),990.0,2649.0,2371.0,--,--,--,13702
Carwoola,1080.0,2793.0,2630.0,--,--,--,10841
Hoskinstown,941.0,2468.0,2333.0,--,--,--,11944
Captains Flat,827.0,1932.0,1388.0,--,--,--,10804
Burra (Queanbeyan-Palerang Regional - NSW),1059.0,2690.0,2550.0,--,--,--,10697
Mount Fairy,792.0,1875.0,1875.0,--,--,--,12758
Mulloon,888.0,2125.0,2200.0,--,--,--,12827
Royalla,1178.0,3023.0,3069.0,--,--,--,13434
Primrose Valley,1038.0,2218.0,2031.0,--,--,--,13265
Urila,929.0,2374.0,2166.0,--,--,--,14059
Tarago,803.0,1792.0,1645.0,--,--,--,13758
Currawang,1038.0,2678.0,2200.0,--,--,--,11177
Googong,1234.0,2816.0,2813.0,--,--,--,11704
Wamboin,1149.0,3176.0,3012.0,--,--,--,14123
Bywong,1061.0,2756.0,2450.0,--,--,--,10735
Michelago,983.0,2511.0,2250.0,--,--,--,12598
Jerrabomberra,1221.0,3044.0,2820.0,--,--,--,12016
Queanbeyan West,885.0,2139.0,1817.0,--,--,--,13293
Delegate,503.0,1222.0,854.0,--,--,--,11233
Bombala,598.0,1420.0,1090.0,--,--,--,10455
Cathcart (NSW),517.0,1531.0,1125.0,--,--,--,10855
Cooma (NSW),609.0,1413.0,1006.0,--,--,--,11036
Kosciuszko National Park,921.0,1958.0,1410.0,--,--,--,12199
Adaminaby,549.0,1292.0,783.0,--,--,--,10015
Nimmitabel,504.0,1107.0,786.0,--,--,--,12966
Numeralla,603.0,1542.0,1140.0,--,--,--,13039
Colinton (NSW),642.0,2083.0,1687.0,--,--,--,10968
Dairymans Plains,762.0,1974.0,1833.0,--,--,--,11188
Binjura,711.0,1958.0,1786.0,--,--,--,10370
Bunyan,664.0,1406.0,1089.0,--,--,--,10691
Bredbo,756.0,2021.0,1681.0,--,--,--,10559
Berridale,627.0,1544.0,1105.0,--,--,--,10316
Kalkite,746.0,2024.0,1474.0,--,--,--,12052
Crackenback,886.0,2042.0,1791.0,--,--,--,11103
Jindabyne,781.0,1786.0,1450.0,--,--,--,12030
East Jindabyne,847.0,2065.0,1656.0,--,--,--,11352
Dalgety,513.0,1160.0,966.0,--,--,--,11190
Moonbah,836.0,2017.0,1696.0,--,--,--,12698
Catalina,503.0,1155.0,921.0,--,--,--,10853
Batemans Bay,459.0,908.0,703.0,--,--,--,10229
Nelligen,503.0,1171.0,1033.0,--,--,--,12920
Long Beach,601.0,1361.0,1230.0,--,--,--,12376
Benandarah,483.0,1041.0,739.0,--,--,--,10287
North Batemans Bay,524.0,1117.0,929.0,--,--,--,12982
Surfside,505.0,1075.0,910.0,--,--,--,13698
Maloneys Beach,463.0,1104.0,1018.0,--,--,--,12460
Lilli Pilli (Eurobodalla - NSW),599.0,1359.0,1260.0,--,--,--,12321
Malua Bay,588.0,1310.0,1137.0,--,--,--,12461
Surf Beach (NSW),515.0,1149.0,907.0,--,--,--,13697
Denhams Beach,454.0,1198.0,1065.0,--,--,--,11236
Sunshine Bay,503.0,1134.0,960.0,--,--,--,13695
Rosedale (NSW),644.0,1375.0,1192.0,--,--,--,13407
Batehaven,483.0,1130.0,901.0,--,--,--,10228
Bega,541.0,1261.0,974.0,--,--,--,10253
Tathra,656.0,1380.0,1087.0,--,--,--,13774
Kalaru,673.0,1593.0,1257.0,--,--,--,12051
Wallagoot,603.0,1337.0,1152.0,--,--,--,14103
Bournda,725.0,1791.0,1104.0,--,--,--,10524
Black Range (NSW),695.0,1437.0,1321.0,--,--,--,10388
