,Median weekly rent,Median monthly mortgage repayments,Median weekly rent (%),Median monthly mortgage repayments (%)
Abbotsbury,545.0,0.0,--,--
New South Wales,270.0,1733.0,--,--
Australia,250.0,1660.0,--,--
Abbotsford (NSW),460.0,0.0,--,--
Acacia Gardens,510.0,2800.0,--,--
Adamstown,310.0,2210.0,--,--
Adamstown Heights,380.0,2167.0,--,--
Airds,192.0,0.0,--,--
Albion Park,370.0,2167.0,--,--
Albion Park Rail,305.0,1733.0,--,--
Alexandria,521.0,2600.0,--,--
Alfords Point,0.0,1733.0,--,--
Allambie Heights,745.0,3293.0,--,--
Allawah,400.0,2539.0,--,--
Ambarvale,293.0,1684.0,--,--
Annandale (NSW),435.0,2000.0,--,--
Argenton,250.0,1733.0,--,--
Arncliffe,550.0,2436.0,--,--
Artarmon,140.0,0.0,--,--
Ashbury,0.0,1784.0,--,--
Ashcroft,200.0,1950.0,--,--
Ashfield (NSW),410.0,1820.0,--,--
Asquith,0.0,2709.0,--,--
Auburn (NSW),376.0,867.0,--,--
Austinmer,450.0,2167.0,--,--
Avoca Beach,515.0,2600.0,--,--
Balgowlah,533.0,2900.0,--,--
Balgowlah Heights,0.0,0.0,--,--
Balgownie,270.0,2275.0,--,--
Balmain East,430.0,0.0,--,--
Bangor (NSW),443.0,2600.0,--,--
Banksia,450.0,2600.0,--,--
Bankstown,390.0,1000.0,--,--
Bar Beach,230.0,0.0,--,--
Barden Ridge,0.0,2000.0,--,--
Bardwell Park,0.0,3149.0,--,--
Bardwell Valley,400.0,0.0,--,--
Barnsley,340.0,1733.0,--,--
Barrack Heights,300.0,1777.0,--,--
Barrack Point,370.0,0.0,--,--
Bass Hill,371.0,2500.0,--,--
Bateau Bay,325.0,2141.0,--,--
Baulkham Hills,495.0,2739.0,--,--
Beacon Hill,800.0,4150.0,--,--
Beaconsfield (NSW),590.0,0.0,--,--
Beecroft,645.0,2950.0,--,--
Belfield,450.0,0.0,--,--
Bella Vista,0.0,2600.0,--,--
Bellambi,183.0,1800.0,--,--
Bellevue Hill,710.0,4000.0,--,--
Belmont (NSW),295.0,2058.0,--,--
Belmont North,330.0,1733.0,--,--
Belmont South,235.0,1640.0,--,--
Belmore,350.0,1495.0,--,--
Belrose,0.0,4000.0,--,--
Bensville,0.0,2396.0,--,--
Berala,355.0,0.0,--,--
Berkeley,233.0,1733.0,--,--
Berkeley Vale,370.0,1842.0,--,--
Berowra,0.0,2167.0,--,--
Berowra Heights,605.0,2470.0,--,--
Beverley Park,558.0,0.0,--,--
Beverly Hills,242.0,1821.0,--,--
Bexley,445.0,2000.0,--,--
Bexley North,287.0,0.0,--,--
Bidwill (NSW),200.0,1343.0,--,--
Birchgrove,600.0,0.0,--,--
Birmingham Gardens,380.0,1375.0,--,--
Birrong,300.0,0.0,--,--
Blackalls Park,300.0,1717.0,--,--
Blackbutt (NSW),370.0,2184.0,--,--
Blackett,275.0,1558.0,--,--
Blacksmiths,225.0,1500.0,--,--
Blacktown,360.0,1950.0,--,--
Blackwall (NSW),355.0,1885.0,--,--
Blakehurst,275.0,0.0,--,--
Blue Bay,405.0,0.0,--,--
Blue Haven,370.0,1788.0,--,--
Bolton Point,272.0,1351.0,--,--
Bondi,698.0,0.0,--,--
Bondi Beach,640.0,2730.0,--,--
Bondi Junction,560.0,0.0,--,--
Bonnyrigg,210.0,0.0,--,--
Bonnyrigg Heights,238.0,2167.0,--,--
Booker Bay,350.0,0.0,--,--
Boolaroo,345.0,1517.0,--,--
Booragul,250.0,1452.0,--,--
Bossley Park,425.0,2207.0,--,--
Botany,480.0,2400.0,--,--
Bow Bowing,405.0,1500.0,--,--
Bradbury (NSW),346.0,1842.0,--,--
Broadmeadow,343.0,1634.0,--,--
Bronte,650.0,4200.0,--,--
Brookvale,530.0,0.0,--,--
Budgewoi,320.0,1600.0,--,--
Buff Point,345.0,1365.0,--,--
Bulli,260.0,2167.0,--,--
Burwood (NSW),440.0,0.0,--,--
Busby,233.0,1467.0,--,--
Cabramatta West,305.0,0.0,--,--
Cambridge Gardens,385.0,1649.0,--,--
Cambridge Park,370.0,1800.0,--,--
Camden,425.0,2383.0,--,--
Camden South,302.0,2084.0,--,--
Cammeray,535.0,3145.0,--,--
Campbelltown (NSW),370.0,1568.0,--,--
Camperdown (NSW),188.0,2839.0,--,--
Campsie,425.0,2700.0,--,--
Canley Heights,293.0,900.0,--,--
Canley Vale,270.0,0.0,--,--
Canterbury (NSW),465.0,2167.0,--,--
Canton Beach,275.0,1723.0,--,--
Cardiff (NSW),335.0,1777.0,--,--
Cardiff Heights,395.0,2167.0,--,--
Cardiff South,345.0,1733.0,--,--
Caringbah,430.0,2342.0,--,--
Carlingford,600.0,2167.0,--,--
Carlton (NSW),460.0,2799.0,--,--
Carramar (NSW),295.0,0.0,--,--
Carrington (Newcastle - NSW),310.0,1660.0,--,--
Cartwright,143.0,1300.0,--,--
Castle Hill (NSW),600.0,2875.0,--,--
Casula,395.0,1974.0,--,--
Caves Beach,392.0,2080.0,--,--
Centennial Park (NSW),500.0,0.0,--,--
Charlestown (NSW),363.0,1950.0,--,--
Charmhaven,338.0,1733.0,--,--
Cherrybrook,655.0,1083.0,--,--
Chester Hill,330.0,2080.0,--,--
Chifley (NSW),210.0,2400.0,--,--
Chippendale,550.0,0.0,--,--
Chipping Norton,500.0,2167.0,--,--
Chiswick,620.0,0.0,--,--
Chittaway Bay,252.0,1950.0,--,--
Chittaway Point,0.0,1517.0,--,--
Claremont Meadows,400.0,2184.0,--,--
Claymore,191.0,0.0,--,--
Clovelly,580.0,3624.0,--,--
Coal Point,343.0,2572.0,--,--
Coledale,0.0,3142.0,--,--
Collaroy (NSW),520.0,1773.0,--,--
Colyton,350.0,1842.0,--,--
Concord,440.0,3150.0,--,--
Concord West,291.0,3764.0,--,--
Condell Park,308.0,1950.0,--,--
Coniston,360.0,0.0,--,--
Coogee (NSW),600.0,2500.0,--,--
Cooks Hill,206.0,1763.0,--,--
Copacabana,415.0,1950.0,--,--
Cordeaux Heights,425.0,1543.0,--,--
Corrimal,340.0,1950.0,--,--
Cranebrook,358.0,2123.0,--,--
Cremorne (NSW),450.0,2350.0,--,--
Cringila,330.0,0.0,--,--
Cromer (NSW),610.0,1900.0,--,--
Cronulla,420.0,1975.0,--,--
Croudace Bay,397.0,0.0,--,--
Crows Nest (NSW),577.0,0.0,--,--
Croydon (NSW),387.0,0.0,--,--
Croydon Park (NSW),480.0,2040.0,--,--
Currans Hill,430.0,2184.0,--,--
Daceyville,200.0,0.0,--,--
Daleys Point,395.0,0.0,--,--
Dapto,355.0,1733.0,--,--
Darling Point,800.0,0.0,--,--
Darlinghurst,395.0,3479.0,--,--
Davistown,390.0,2142.0,--,--
Dean Park,410.0,1517.0,--,--
Dee Why,500.0,3034.0,--,--
Dharruk,310.0,1959.0,--,--
Doonside,250.0,1815.0,--,--
Double Bay,612.0,0.0,--,--
Drummoyne,565.0,2550.0,--,--
Dudley,365.0,1863.0,--,--
Dulwich Hill,400.0,2022.0,--,--
Dundas (NSW),322.0,0.0,--,--
Dundas Valley,256.0,0.0,--,--
Eagle Vale,340.0,1874.0,--,--
Earlwood,480.0,3498.0,--,--
East Gosford,360.0,1560.0,--,--
East Hills,425.0,1733.0,--,--
Eastern Creek,380.0,1517.0,--,--
Eastlakes,160.0,0.0,--,--
Eastwood (NSW),250.0,2094.0,--,--
Edgeworth,300.0,1733.0,--,--
Elanora Heights,0.0,2817.0,--,--
Eleebana,460.0,2383.0,--,--
Elermore Vale,300.0,1860.0,--,--
Elizabeth Bay,480.0,0.0,--,--
Emerton,298.0,1331.0,--,--
Empire Bay,345.0,1350.0,--,--
Emu Heights (NSW),450.0,2199.0,--,--
Emu Plains,370.0,2232.0,--,--
Engadine,490.0,2600.0,--,--
Enmore (Inner West - NSW),400.0,3250.0,--,--
Epping (NSW),565.0,4384.0,--,--
Ermington,250.0,2050.0,--,--
Erskine Park,420.0,1998.0,--,--
Erskineville,576.0,2850.0,--,--
Eschol Park,400.0,1798.0,--,--
Ettalong Beach,350.0,1213.0,--,--
Fairfield (NSW),380.0,0.0,--,--
Fairfield Heights,340.0,1785.0,--,--
Fairfield West,430.0,2100.0,--,--
Fairlight,550.0,2000.0,--,--
Fairy Meadow,316.0,1733.0,--,--
Farmborough Heights,325.0,2167.0,--,--
Faulconbridge,360.0,1603.0,--,--
Fennell Bay,283.0,1600.0,--,--
Figtree,325.0,1910.0,--,--
Five Dock,590.0,2500.0,--,--
Fletcher (NSW),460.0,2342.0,--,--
Flinders (NSW),375.0,2600.0,--,--
Floraville,395.0,1950.0,--,--
Forest Lodge,570.0,0.0,--,--
Forestville (NSW),785.0,0.0,--,--
Forresters Beach,425.0,2167.0,--,--
Frenchs Forest,690.0,3300.0,--,--
Garden Suburb,0.0,1496.0,--,--
Gateshead,270.0,1564.0,--,--
Georges Hall,350.0,1812.0,--,--
Georgetown (NSW),350.0,1600.0,--,--
Girraween (NSW),358.0,0.0,--,--
Gladesville,450.0,3371.0,--,--
Glebe (NSW),192.0,2492.0,--,--
Glen Alpine,575.0,2700.0,--,--
Glenbrook,453.0,2700.0,--,--
Glendale (NSW),320.0,1300.0,--,--
Glendenning,360.0,1713.0,--,--
Glenfield (NSW),370.0,1900.0,--,--
Glenmore Park,445.0,2351.0,--,--
Glenning Valley,373.0,2000.0,--,--
Glenwood (NSW),575.0,2400.0,--,--
Gordon (NSW),895.0,0.0,--,--
Gorokan,340.0,1647.0,--,--
Gosford,345.0,1363.0,--,--
Granville (NSW),186.0,2167.0,--,--
Grays Point,0.0,2846.0,--,--
Green Point (Mid-Coast - NSW),355.0,1500.0,--,--
Green Valley (NSW),400.0,2167.0,--,--
Greenacre,240.0,2084.0,--,--
Greystanes,410.0,2000.0,--,--
Guildford (NSW),246.0,1504.0,--,--
Guildford West,505.0,2020.0,--,--
Gwynneville,350.0,1733.0,--,--
Gymea,468.0,2269.0,--,--
Gymea Bay,0.0,3033.0,--,--
Haberfield,545.0,2676.0,--,--
Halekulani,350.0,1474.0,--,--
Hamilton (NSW),370.0,1342.0,--,--
Hamilton East,513.0,2947.0,--,--
Hamilton North,380.0,1494.0,--,--
Hamilton South,140.0,1819.0,--,--
Hammondville,450.0,1430.0,--,--
Harrington Park,500.0,3033.0,--,--
Harris Park,290.0,0.0,--,--
Hassall Grove,400.0,1777.0,--,--
Heathcote (NSW),0.0,2340.0,--,--
Hebersham,300.0,1700.0,--,--
Heckenberg,213.0,2000.0,--,--
Highfields (NSW),355.0,2275.0,--,--
Hillsdale,430.0,2220.0,--,--
Hinchinbrook (NSW),308.0,1400.0,--,--
Holsworthy,430.0,2080.0,--,--
Homebush (NSW),335.0,0.0,--,--
Homebush West,336.0,0.0,--,--
Horningsea Park,440.0,1733.0,--,--
Hornsby,450.0,2257.0,--,--
Hoxton Park,355.0,1517.0,--,--
Hunters Hill,249.0,5874.0,--,--
Hurstville Grove,510.0,0.0,--,--
Illawong,0.0,2782.0,--,--
Islington,335.0,1863.0,--,--
Jamisontown,370.0,1950.0,--,--
Jannali,248.0,2255.0,--,--
Jesmond,250.0,0.0,--,--
Kahibah,270.0,1517.0,--,--
Kanahooka,398.0,1993.0,--,--
