,Median mortgage repayments,Households where mortgage repayments are less than 30% of household income,Households with mortgage repayments greater than or equal to 30% of household income,Median mortgage repayments (%),Households where mortgage repayments are less than 30% of household income (%),Households with mortgage repayments greater than or equal to 30% of household income (%),SSC_CODE
Lower Boro,1170.0,--,--,--,90.9,9.1,12402
New South Wales,1986.0,--,--,--,92.6,7.4,
Australia,1755.0,--,--,--,92.8,7.2,
Oallen,1100.0,--,--,--,93.8,6.2,13062
Braidwood,1700.0,--,--,--,94.6,5.4,10547
Majors Creek (NSW),1251.0,--,--,--,89.9,10.1,12452
Araluen (NSW),867.0,--,--,--,95.1,4.9,10070
Reidsdale,1542.0,--,--,--,100.0,0.0,13348
Bombay,1517.0,--,--,--,92.7,7.3,10456
Warri,2600.0,--,--,--,100.0,0.0,14172
Manar,2028.0,--,--,--,100.0,0.0,12462
Mongarlowe,1581.0,--,--,--,91.7,8.3,12678
Karabar,1928.0,--,--,--,94.1,5.9,12071
Queanbeyan,1733.0,--,--,--,94.9,5.1,13291
Queanbeyan East,1733.0,--,--,--,95.9,4.1,13292
Greenleigh,2167.0,--,--,--,95.5,4.5,11767
The Ridgeway,2500.0,--,--,--,94.4,5.6,13836
Bungendore,2383.0,--,--,--,91.4,8.6,10684
Sutton (NSW),2600.0,--,--,--,95.5,4.5,13702
Carwoola,2600.0,--,--,--,93.0,7.0,10841
Hoskinstown,2009.0,--,--,--,94.2,5.8,11944
Captains Flat,1417.0,--,--,--,89.2,10.8,10804
Burra (Queanbeyan-Palerang Regional - NSW),2600.0,--,--,--,91.3,8.7,10697
Mount Fairy,2167.0,--,--,--,89.9,10.1,12758
Mulloon,2531.0,--,--,--,86.5,13.5,12827
Royalla,2817.0,--,--,--,84.5,15.5,13434
Primrose Valley,2350.0,--,--,--,100.0,0.0,13265
Urila,2501.0,--,--,--,91.9,8.1,14059
Tarago,1578.0,--,--,--,92.4,7.6,13758
Currawang,2100.0,--,--,--,85.5,14.5,11177
Googong,2600.0,--,--,--,87.8,12.2,11704
Wamboin,2600.0,--,--,--,94.8,5.2,14123
Bywong,2426.0,--,--,--,93.5,6.5,10735
Michelago,2500.0,--,--,--,91.5,8.5,12598
Jerrabomberra,2383.0,--,--,--,93.2,6.8,12016
Queanbeyan West,1950.0,--,--,--,94.5,5.5,13293
Delegate,732.0,--,--,--,97.9,2.1,11233
Bombala,1049.0,--,--,--,97.3,2.7,10455
Cathcart (NSW),1500.0,--,--,--,100.0,0.0,10855
Cooma (NSW),1179.0,--,--,--,95.9,4.1,11036
Kosciuszko National Park,550.0,--,--,--,100.0,0.0,12199
Adaminaby,1000.0,--,--,--,93.3,6.7,10015
Nimmitabel,758.0,--,--,--,92.9,7.1,12966
Numeralla,1372.0,--,--,--,96.0,4.0,13039
Colinton (NSW),2383.0,--,--,--,100.0,0.0,10968
Dairymans Plains,1902.0,--,--,--,88.2,11.8,11188
Binjura,1560.0,--,--,--,97.1,2.9,10370
Bunyan,1950.0,--,--,--,94.3,5.7,10691
Bredbo,1733.0,--,--,--,88.3,11.7,10559
Berridale,1192.0,--,--,--,95.2,4.8,10316
Kalkite,1213.0,--,--,--,88.7,11.3,12052
Crackenback,3800.0,--,--,--,93.9,6.1,11103
Jindabyne,1590.0,--,--,--,93.8,6.2,12030
East Jindabyne,1870.0,--,--,--,94.2,5.8,11352
Dalgety,867.0,--,--,--,91.6,8.4,11190
Moonbah,1831.0,--,--,--,93.8,6.2,12698
Catalina,1300.0,--,--,--,95.3,4.7,10853
Batemans Bay,1300.0,--,--,--,97.7,2.3,10229
Nelligen,1300.0,--,--,--,90.8,9.2,12920
Long Beach,1600.0,--,--,--,92.0,8.0,12376
Benandarah,1422.0,--,--,--,88.7,11.3,10287
North Batemans Bay,1658.0,--,--,--,90.7,9.3,12982
Surfside,1452.0,--,--,--,92.5,7.5,13698
Maloneys Beach,1508.0,--,--,--,93.6,6.4,12460
Lilli Pilli (Eurobodalla - NSW),1400.0,--,--,--,94.2,5.8,12321
Malua Bay,1517.0,--,--,--,94.1,5.9,12461
Surf Beach (NSW),1402.0,--,--,--,93.3,6.7,13697
Sunshine Bay,1500.0,--,--,--,94.2,5.8,13695
Rosedale (NSW),2084.0,--,--,--,91.8,8.2,13407
Batehaven,1509.0,--,--,--,95.5,4.5,10228
Bega,1357.0,--,--,--,95.1,4.9,10253
Tathra,1430.0,--,--,--,94.7,5.3,13774
Kalaru,1517.0,--,--,--,93.5,6.5,12051
Wallagoot,1366.0,--,--,--,88.2,11.8,14103
Bournda,2167.0,--,--,--,86.5,13.5,10524
Black Range (NSW),1517.0,--,--,--,94.3,5.7,10388
Tarraganda,1365.0,--,--,--,96.4,3.6,13768
Kanoona,1636.0,--,--,--,81.1,18.9,12066
Toothdale,1603.0,--,--,--,90.6,9.4,13914
Wolumla,1383.0,--,--,--,92.3,7.7,14362
South Wolumla,1928.0,--,--,--,94.3,5.7,13602
Wyndham (NSW),867.0,--,--,--,93.1,6.9,14443
Kiah,1138.0,--,--,--,92.9,7.1,12115
Towamba,867.0,--,--,--,89.6,10.4,13927
Lochiel (NSW),1530.0,--,--,--,91.0,9.0,12367
Nethercote,1400.0,--,--,--,86.7,13.3,12932
Candelo,1200.0,--,--,--,91.7,8.3,10788
