,None (includes bedsitters),1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms,Number of bedrooms not stated,Average number of bedrooms per dwelling,Average number of people per household,None (includes bedsitters) (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 or more bedrooms (%),Number of bedrooms not stated (%),Average number of bedrooms per dwelling (%),Average number of people per household (%),SSC_CODE
Lower Boro,0.0,3.0,18.0,21.0,25.0,0.0,3.1,2.0,0.0,4.5,26.9,31.3,37.3,0.0,--,--,12402
New South Wales,17157.0,157194.0,577675.0,970001.0,816405.0,65888.0,3.0,2.6,0.7,6.0,22.2,37.2,31.3,2.5,--,--,
Australia,39769.0,411252.0,1562759.0,3403190.0,2670758.0,198351.0,3.1,2.6,0.5,5.0,18.9,41.1,32.2,2.4,--,--,
Oallen,0.0,3.0,9.0,24.0,12.0,0.0,2.8,2.0,0.0,6.2,18.8,50.0,25.0,0.0,--,--,13062
Braidwood,7.0,15.0,140.0,276.0,138.0,36.0,3.0,2.3,1.1,2.5,22.9,45.1,22.5,5.9,--,--,10547
Majors Creek (NSW),0.0,10.0,26.0,43.0,14.0,3.0,2.7,2.2,0.0,10.4,27.1,44.8,14.6,3.1,--,--,12452
Araluen (NSW),0.0,6.0,15.0,35.0,9.0,4.0,2.6,1.9,0.0,8.7,21.7,50.7,13.0,5.8,--,--,10070
Reidsdale,0.0,7.0,10.0,11.0,11.0,3.0,2.9,2.4,0.0,16.7,23.8,26.2,26.2,7.1,--,--,13348
Bombay,3.0,6.0,3.0,17.0,8.0,0.0,2.6,2.5,8.1,16.2,8.1,45.9,21.6,0.0,--,--,10456
Warri,5.0,7.0,6.0,10.0,19.0,0.0,2.7,2.4,10.6,14.9,12.8,21.3,40.4,0.0,--,--,14172
Manar,0.0,0.0,3.0,15.0,15.0,0.0,3.3,2.8,0.0,0.0,9.1,45.5,45.5,0.0,--,--,12462
Mongarlowe,0.0,11.0,14.0,19.0,10.0,0.0,2.3,2.0,0.0,20.4,25.9,35.2,18.5,0.0,--,--,12678
Karabar,5.0,72.0,348.0,1430.0,1022.0,79.0,3.3,2.6,0.2,2.4,11.8,48.4,34.6,2.7,--,--,12071
Queanbeyan,16.0,390.0,1041.0,845.0,264.0,73.0,2.4,2.0,0.6,14.8,39.6,32.1,10.0,2.8,--,--,13291
Crestwood,0.0,247.0,708.0,591.0,391.0,54.0,2.6,2.1,0.0,12.4,35.6,29.7,19.6,2.7,--,--,11115
Queanbeyan East,13.0,266.0,745.0,447.0,243.0,41.0,2.4,2.1,0.7,15.2,42.5,25.5,13.8,2.3,--,--,13292
Greenleigh,0.0,0.0,14.0,40.0,163.0,6.0,3.9,3.0,0.0,0.0,6.3,17.9,73.1,2.7,--,--,11767
The Ridgeway,0.0,0.0,0.0,15.0,43.0,0.0,4.1,2.4,0.0,0.0,0.0,25.9,74.1,0.0,--,--,13836
Bungendore,0.0,18.0,90.0,370.0,822.0,14.0,3.7,2.9,0.0,1.4,6.8,28.2,62.6,1.1,--,--,10684
Sutton (NSW),0.0,24.0,60.0,115.0,256.0,11.0,3.5,2.9,0.0,5.2,12.9,24.7,54.9,2.4,--,--,13702
Carwoola,0.0,3.0,20.0,131.0,289.0,4.0,3.8,2.9,0.0,0.7,4.5,29.3,64.7,0.9,--,--,10841
Hoskinstown,0.0,0.0,8.0,22.0,27.0,0.0,3.5,2.8,0.0,0.0,14.0,38.6,47.4,0.0,--,--,11944
Captains Flat,0.0,13.0,66.0,114.0,41.0,6.0,2.8,2.2,0.0,5.4,27.5,47.5,17.1,2.5,--,--,10804
Burra (Queanbeyan-Palerang Regional - NSW),3.0,9.0,11.0,78.0,140.0,4.0,3.6,2.8,1.2,3.7,4.5,31.8,57.1,1.6,--,--,10697
Mount Fairy,0.0,6.0,6.0,35.0,34.0,0.0,3.3,2.4,0.0,7.4,7.4,43.2,42.0,0.0,--,--,12758
Mulloon,0.0,0.0,7.0,19.0,19.0,0.0,3.5,2.9,0.0,0.0,15.6,42.2,42.2,0.0,--,--,12827
Royalla,0.0,3.0,12.0,29.0,221.0,0.0,4.1,3.4,0.0,1.1,4.5,10.9,83.4,0.0,--,--,13434
Primrose Valley,0.0,0.0,8.0,15.0,18.0,0.0,3.3,2.4,0.0,0.0,19.5,36.6,43.9,0.0,--,--,13265
Urila,0.0,0.0,3.0,16.0,15.0,0.0,3.5,2.7,0.0,0.0,8.8,47.1,44.1,0.0,--,--,14059
Tarago,4.0,6.0,28.0,48.0,55.0,3.0,3.2,2.6,2.8,4.2,19.4,33.3,38.2,2.1,--,--,13758
Currawang,0.0,3.0,9.0,28.0,20.0,4.0,3.2,2.4,0.0,4.7,14.1,43.8,31.2,6.2,--,--,11177
Googong,0.0,3.0,15.0,157.0,602.0,7.0,3.9,3.1,0.0,0.4,1.9,20.0,76.8,0.9,--,--,11704
Wamboin,0.0,6.0,33.0,121.0,347.0,3.0,3.8,3.0,0.0,1.2,6.5,23.7,68.0,0.6,--,--,14123
Bywong,0.0,16.0,36.0,115.0,272.0,16.0,3.7,2.8,0.0,3.5,7.9,25.3,59.8,3.5,--,--,10735
Michelago,0.0,0.0,20.0,51.0,93.0,3.0,3.7,2.9,0.0,0.0,12.0,30.5,55.7,1.8,--,--,12598
Jerrabomberra,0.0,6.0,167.0,742.0,2081.0,25.0,3.8,3.1,0.0,0.2,5.5,24.6,68.9,0.8,--,--,12016
Queanbeyan West,3.0,40.0,161.0,537.0,359.0,23.0,3.2,2.6,0.3,3.6,14.3,47.8,32.0,2.0,--,--,13293
Delegate,5.0,5.0,19.0,79.0,43.0,3.0,3.1,1.9,3.2,3.2,12.3,51.3,27.9,1.9,--,--,11233
Bombala,0.0,19.0,98.0,291.0,129.0,16.0,3.0,2.2,0.0,3.4,17.7,52.6,23.3,2.9,--,--,10455
Cathcart (NSW),0.0,0.0,10.0,15.0,15.0,0.0,3.0,2.6,0.0,0.0,25.0,37.5,37.5,0.0,--,--,10855
