,None,1 motor vehicle,2 motor vehicles,3 or more vehicles,Number of motor vehicles not stated,None (%),1 motor vehicle (%),2 motor vehicles (%),3 or more vehicles (%),Number of motor vehicles not stated (%),SSC_CODE
Lower Boro,3.0,21.0,30.0,25.0,4.0,3.6,25.3,36.1,30.1,4.8,12402
New South Wales,239625.0,946159.0,887849.0,435053.0,95623.0,9.2,36.3,34.1,16.7,3.7,
Australia,623829.0,2881485.0,2999184.0,1496382.0,285197.0,7.5,34.8,36.2,18.1,3.4,
Oallen,0.0,14.0,18.0,16.0,0.0,0.0,29.2,37.5,33.3,0.0,13062
Braidwood,25.0,224.0,203.0,124.0,41.0,4.1,36.3,32.9,20.1,6.6,10547
Majors Creek (NSW),0.0,27.0,49.0,14.0,3.0,0.0,29.0,52.7,15.1,3.2,12452
Araluen (NSW),0.0,22.0,30.0,16.0,8.0,0.0,28.9,39.5,21.1,10.5,10070
Reidsdale,0.0,11.0,20.0,14.0,0.0,0.0,24.4,44.4,31.1,0.0,13348
Bombay,0.0,14.0,15.0,14.0,0.0,0.0,32.6,34.9,32.6,0.0,10456
Warri,0.0,4.0,17.0,11.0,3.0,0.0,11.4,48.6,31.4,8.6,14172
Manar,0.0,10.0,18.0,9.0,3.0,0.0,25.0,45.0,22.5,7.5,12462
Mongarlowe,0.0,15.0,22.0,10.0,0.0,0.0,31.9,46.8,21.3,0.0,12678
Karabar,180.0,954.0,1032.0,690.0,102.0,6.1,32.3,34.9,23.3,3.4,12071
Queanbeyan,245.0,1253.0,763.0,258.0,108.0,9.3,47.7,29.0,9.8,4.1,13291
Crestwood,143.0,926.0,602.0,245.0,75.0,7.2,46.5,30.2,12.3,3.8,11115
Queanbeyan East,131.0,868.0,527.0,161.0,67.0,7.5,49.5,30.0,9.2,3.8,13292
Greenleigh,0.0,25.0,103.0,90.0,9.0,0.0,11.0,45.4,39.6,4.0,11767
The Ridgeway,0.0,8.0,21.0,22.0,3.0,0.0,14.8,38.9,40.7,5.6,13836
Bungendore,14.0,233.0,589.0,442.0,31.0,1.1,17.8,45.0,33.8,2.4,10684
Sutton (NSW),0.0,79.0,156.0,203.0,25.0,0.0,17.1,33.7,43.8,5.4,13702
Carwoola,5.0,65.0,180.0,201.0,14.0,1.1,14.0,38.7,43.2,3.0,10841
Hoskinstown,0.0,7.0,22.0,28.0,3.0,0.0,11.7,36.7,46.7,5.0,11944
Captains Flat,6.0,88.0,85.0,40.0,13.0,2.6,37.9,36.6,17.2,5.6,10804
Burra (Queanbeyan-Palerang Regional - NSW),3.0,26.0,112.0,101.0,5.0,1.2,10.5,45.3,40.9,2.0,10697
Mount Fairy,0.0,15.0,25.0,30.0,0.0,0.0,21.4,35.7,42.9,0.0,12758
Mulloon,0.0,10.0,20.0,17.0,0.0,0.0,21.3,42.6,36.2,0.0,12827
Royalla,3.0,27.0,93.0,143.0,12.0,1.1,9.7,33.5,51.4,4.3,13434
Primrose Valley,0.0,14.0,18.0,18.0,0.0,0.0,28.0,36.0,36.0,0.0,13265
Urila,0.0,3.0,19.0,14.0,0.0,0.0,8.3,52.8,38.9,0.0,14059
Tarago,0.0,30.0,58.0,48.0,3.0,0.0,21.6,41.7,34.5,2.2,13758
Currawang,0.0,4.0,30.0,20.0,3.0,0.0,7.0,52.6,35.1,5.3,11177
Googong,3.0,105.0,418.0,238.0,13.0,0.4,13.5,53.8,30.6,1.7,11704
Wamboin,0.0,69.0,205.0,241.0,8.0,0.0,13.2,39.2,46.1,1.5,14123
Bywong,0.0,69.0,189.0,178.0,12.0,0.0,15.4,42.2,39.7,2.7,10735
Michelago,3.0,28.0,78.0,64.0,3.0,1.7,15.9,44.3,36.4,1.7,12598
Jerrabomberra,13.0,615.0,1477.0,874.0,29.0,0.4,20.4,49.1,29.1,1.0,12016
Queanbeyan West,40.0,348.0,447.0,254.0,38.0,3.5,30.9,39.7,22.5,3.4,13293
Delegate,14.0,53.0,39.0,40.0,15.0,8.7,32.9,24.2,24.8,9.3,11233
Bombala,23.0,194.0,203.0,107.0,26.0,4.2,35.1,36.7,19.3,4.7,10455
Cathcart (NSW),0.0,7.0,16.0,15.0,0.0,0.0,18.4,42.1,39.5,0.0,10855
Cooma (NSW),229.0,1060.0,841.0,395.0,160.0,8.5,39.5,31.3,14.7,6.0,11036
Kosciuszko National Park,3.0,45.0,25.0,4.0,47.0,2.4,36.3,20.2,3.2,37.9,12199
Adaminaby,16.0,40.0,51.0,28.0,5.0,11.4,28.6,36.4,20.0,3.6,10015
Nimmitabel,6.0,47.0,48.0,31.0,0.0,4.5,35.6,36.4,23.5,0.0,12966
Numeralla,0.0,24.0,29.0,30.0,3.0,0.0,27.9,33.7,34.9,3.5,13039
Colinton (NSW),0.0,6.0,19.0,18.0,0.0,0.0,14.0,44.2,41.9,0.0,10968
Dairymans Plains,0.0,8.0,24.0,25.0,0.0,0.0,14.0,42.1,43.9,0.0,11188
Binjura,4.0,24.0,45.0,35.0,0.0,3.7,22.2,41.7,32.4,0.0,10370
Bunyan,0.0,11.0,30.0,16.0,4.0,0.0,18.0,49.2,26.2,6.6,10691
Bredbo,5.0,31.0,39.0,36.0,0.0,4.5,27.9,35.1,32.4,0.0,10559
Berridale,8.0,164.0,161.0,102.0,27.0,1.7,35.5,34.8,22.1,5.8,10316
Kalkite,0.0,18.0,38.0,18.0,3.0,0.0,23.4,49.4,23.4,3.9,12052
Crackenback,0.0,19.0,15.0,19.0,5.0,0.0,32.8,25.9,32.8,8.6,11103
Jindabyne,24.0,256.0,360.0,209.0,55.0,2.7,28.3,39.8,23.1,6.1,12030
East Jindabyne,0.0,64.0,100.0,68.0,9.0,0.0,26.6,41.5,28.2,3.7,11352
Dalgety,3.0,28.0,24.0,24.0,4.0,3.6,33.7,28.9,28.9,4.8,11190
Moonbah,3.0,38.0,84.0,57.0,12.0,1.5,19.6,43.3,29.4,6.2,12698
Catalina,56.0,362.0,292.0,127.0,56.0,6.3,40.5,32.7,14.2,6.3,10853
Batemans Bay,130.0,327.0,120.0,50.0,51.0,19.2,48.2,17.7,7.4,7.5,10229
Nelligen,0.0,33.0,64.0,33.0,6.0,0.0,24.3,47.1,24.3,4.4,12920
Long Beach,10.0,181.0,248.0,95.0,9.0,1.8,33.3,45.7,17.5,1.7,12376
Benandarah,0.0,23.0,16.0,15.0,7.0,0.0,37.7,26.2,24.6,11.5,10287
North Batemans Bay,25.0,87.0,72.0,39.0,16.0,10.5,36.4,30.1,16.3,6.7,12982
Surfside,24.0,213.0,195.0,72.0,30.0,4.5,39.9,36.5,13.5,5.6,13698
Maloneys Beach,5.0,54.0,51.0,22.0,3.0,3.7,40.0,37.8,16.3,2.2,12460
Lilli Pilli (Eurobodalla - NSW),0.0,71.0,109.0,49.0,9.0,0.0,29.8,45.8,20.6,3.8,12321
Malua Bay,22.0,248.0,311.0,134.0,23.0,3.0,33.6,42.1,18.2,3.1,12461
Surf Beach (NSW),43.0,338.0,254.0,102.0,46.0,5.5,43.2,32.4,13.0,5.9,13697
Denhams Beach,3.0,95.0,63.0,25.0,8.0,1.5,49.0,32.5,12.9,4.1,11236
Sunshine Bay,20.0,224.0,207.0,54.0,26.0,3.8,42.2,39.0,10.2,4.9,13695
Rosedale (NSW),0.0,30.0,33.0,21.0,7.0,0.0,33.0,36.3,23.1,7.7,13407
Batehaven,64.0,355.0,204.0,76.0,33.0,8.7,48.5,27.9,10.4,4.5,10228
Bega,159.0,741.0,584.0,248.0,91.0,8.7,40.6,32.0,13.6,5.0,10253
Tathra,25.0,279.0,284.0,83.0,36.0,3.5,39.5,40.2,11.7,5.1,13774
Kalaru,3.0,72.0,120.0,44.0,8.0,1.2,29.1,48.6,17.8,3.2,12051
Wallagoot,0.0,54.0,82.0,40.0,10.0,0.0,29.0,44.1,21.5,5.4,14103
Bournda,3.0,13.0,19.0,11.0,0.0,6.5,28.3,41.3,23.9,0.0,10524
Black Range (NSW),0.0,12.0,21.0,25.0,3.0,0.0,19.7,34.4,41.0,4.9,10388
Tarraganda,0.0,36.0,56.0,31.0,3.0,0.0,28.6,44.4,24.6,2.4,13768
Kanoona,0.0,4.0,25.0,13.0,0.0,0.0,9.5,59.5,31.0,0.0,12066
Toothdale,0.0,10.0,23.0,23.0,3.0,0.0,16.9,39.0,39.0,5.1,13914
Wolumla,3.0,64.0,120.0,55.0,8.0,1.2,25.6,48.0,22.0,3.2,14362
South Wolumla,0.0,11.0,36.0,13.0,0.0,0.0,18.3,60.0,21.7,0.0,13602
Wyndham (NSW),4.0,42.0,49.0,40.0,10.0,2.8,29.0,33.8,27.6,6.9,14443
Kiah,3.0,22.0,32.0,3.0,0.0,5.0,36.7,53.3,5.0,0.0,12115
Towamba,0.0,41.0,40.0,11.0,3.0,0.0,43.2,42.1,11.6,3.2,13927
Lochiel (NSW),0.0,29.0,63.0,36.0,3.0,0.0,22.1,48.1,27.5,2.3,12367
Nethercote,0.0,17.0,62.0,31.0,0.0,0.0,15.5,56.4,28.2,0.0,12932
Candelo,3.0,98.0,109.0,48.0,13.0,1.1,36.2,40.2,17.7,4.8,10788
Tantawangalo,4.0,13.0,21.0,15.0,0.0,7.5,24.5,39.6,28.3,0.0,13753
Bemboka,9.0,63.0,90.0,47.0,18.0,4.0,27.8,39.6,20.7,7.9,10284
Quaama,0.0,51.0,47.0,21.0,3.0,0.0,41.8,38.5,17.2,2.5,13285
Cobargo,15.0,115.0,104.0,65.0,19.0,4.7,36.2,32.7,20.4,6.0,10951
Yowrie,0.0,10.0,22.0,13.0,4.0,0.0,20.4,44.9,26.5,8.2,14520
Wandella (NSW),0.0,13.0,23.0,23.0,0.0,0.0,22.0,39.0,39.0,0.0,14128
Angledale,3.0,9.0,20.0,17.0,3.0,5.8,17.3,38.5,32.7,5.8,10056
Verona,0.0,33.0,58.0,29.0,0.0,0.0,27.5,48.3,24.2,0.0,14073
Tanja,0.0,22.0,27.0,8.0,8.0,0.0,33.8,41.5,12.3,12.3,13749
Coolagolite,0.0,37.0,49.0,24.0,6.0,0.0,31.9,42.2,20.7,5.2,11023
Brogo,3.0,66.0,81.0,49.0,8.0,1.4,31.9,39.1,23.7,3.9,10589
Coopers Gully,3.0,15.0,22.0,22.0,7.0,4.3,21.7,31.9,31.9,10.1,11048
Stony Creek (Bega Valley - NSW),0.0,10.0,24.0,14.0,3.0,0.0,19.6,47.1,27.5,5.9,13668
Numbugga,0.0,12.0,20.0,10.0,3.0,0.0,26.7,44.4,22.2,6.7,13038
Buckajo,0.0,23.0,45.0,31.0,4.0,0.0,22.3,43.7,30.1,3.9,10629
Kameruka,0.0,10.0,15.0,18.0,0.0,0.0,23.3,34.9,41.9,0.0,12054
Greigs Flat,0.0,9.0,23.0,17.0,3.0,0.0,17.3,44.2,32.7,5.8,11775
Broulee,28.0,307.0,230.0,81.0,32.0,4.1,45.3,33.9,11.9,4.7,10608
Tomakin,13.0,170.0,139.0,60.0,16.0,3.3,42.7,34.9,15.1,4.0,13890
Mossy Point,7.0,80.0,92.0,38.0,3.0,3.2,36.4,41.8,17.3,1.4,12741
Bodalla,9.0,86.0,110.0,70.0,10.0,3.2,30.2,38.6,24.6,3.5,10434
Narooma,98.0,530.0,352.0,127.0,58.0,8.4,45.5,30.2,10.9,5.0,12900
Eden,96.0,511.0,423.0,150.0,71.0,7.7,40.8,33.8,12.0,5.7,11375
South Durras,0.0,40.0,55.0,17.0,10.0,0.0,32.8,45.1,13.9,8.2,13580
Mogo (Eurobodalla - NSW),3.0,36.0,42.0,31.0,13.0,2.4,28.8,33.6,24.8,10.4,12660
Jeremadra,0.0,18.0,27.0,18.0,0.0,0.0,28.6,42.9,28.6,0.0,12012
Mogendoura,0.0,19.0,38.0,18.0,3.0,0.0,24.4,48.7,23.1,3.8,12657
Turlinjah,3.0,8.0,24.0,13.0,0.0,6.2,16.7,50.0,27.1,0.0,13975
Potato Point,0.0,19.0,29.0,7.0,5.0,0.0,31.7,48.3,11.7,8.3,13253
Kianga (NSW),7.0,142.0,125.0,34.0,9.0,2.2,44.8,39.4,10.7,2.8,12119
Tuross Head,32.0,462.0,394.0,109.0,41.0,3.1,44.5,38.0,10.5,3.9,13979
Pambula Beach,5.0,105.0,115.0,38.0,13.0,1.8,38.0,41.7,13.8,4.7,13141
Merimbula,110.0,685.0,458.0,177.0,93.0,7.2,45.0,30.1,11.6,6.1,12575
Tura Beach,25.0,522.0,520.0,163.0,51.0,2.0,40.7,40.6,12.7,4.0,13973
South Pambula,0.0,44.0,72.0,39.0,6.0,0.0,27.3,44.7,24.2,3.7,13595
Pambula,27.0,162.0,120.0,51.0,17.0,7.2,43.0,31.8,13.5,4.5,13140
Broadwater (Bega Valley - NSW),0.0,8.0,21.0,9.0,0.0,0.0,21.1,55.3,23.7,0.0,10579
Bald Hills (NSW),0.0,23.0,46.0,25.0,0.0,0.0,24.5,48.9,26.6,0.0,10147
Millingandi,10.0,102.0,68.0,32.0,9.0,4.5,46.2,30.8,14.5,4.1,12622
Mirador,0.0,26.0,75.0,28.0,4.0,0.0,19.5,56.4,21.1,3.0,12644
Berrambool,11.0,88.0,64.0,24.0,9.0,5.6,44.9,32.7,12.2,4.6,10312
Moruya,103.0,611.0,531.0,290.0,88.0,6.3,37.6,32.7,17.9,5.4,12734
Moruya Heads,6.0,147.0,151.0,69.0,14.0,1.6,38.0,39.0,17.8,3.6,12735
Bergalia,0.0,12.0,33.0,15.0,0.0,0.0,20.0,55.0,25.0,0.0,10302
Congo,3.0,32.0,37.0,17.0,3.0,3.3,34.8,40.2,18.5,3.3,11008
Bingie,0.0,20.0,39.0,15.0,0.0,0.0,27.0,52.7,20.3,0.0,10367
Bermagui,32.0,273.0,226.0,85.0,37.0,4.9,41.8,34.6,13.0,5.7,10307
Dalmeny,16.0,346.0,274.0,78.0,32.0,2.1,46.4,36.7,10.5,4.3,11191
Wallaga Lake,5.0,116.0,94.0,24.0,8.0,2.0,47.0,38.1,9.7,3.2,14102
Central Tilba,0.0,36.0,49.0,24.0,6.0,0.0,31.3,42.6,20.9,5.2,10877
North Narooma,4.0,104.0,117.0,34.0,12.0,1.5,38.4,43.2,12.5,4.4,12998
Akolele,3.0,15.0,15.0,6.0,0.0,7.7,38.5,38.5,15.4,0.0,10023
Mystery Bay,0.0,37.0,31.0,13.0,0.0,0.0,45.7,38.3,16.0,0.0,12883
