,Separate house,"Semi-detached, row or terrace house, townhouse etc",Flat or apartment,Other dwelling,Separate house (%),"Semi-detached, row or terrace house, townhouse etc (%)",Flat or apartment (%),Other dwelling (%),SSC_CODE
Lower Boro,67.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12402
New South Wales,1729820.0,317453.0,519390.0,23580.0,66.4,12.2,19.9,0.9,
Australia,6041788.0,1055016.0,1087434.0,64425.0,72.9,12.7,13.1,0.8,
Oallen,51.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13062
Braidwood,569.0,22.0,4.0,3.0,93.4,3.6,0.7,0.5,10547
Majors Creek (NSW),94.0,0.0,0.0,4.0,95.9,0.0,0.0,4.1,12452
Araluen (NSW),68.0,0.0,0.0,0.0,95.8,0.0,0.0,0.0,10070
Reidsdale,43.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13348
Bombay,39.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10456
Warri,35.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14172
Mongarlowe,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12678
Karabar,2383.0,498.0,66.0,4.0,80.6,16.8,2.2,0.1,12071
Queanbeyan,1050.0,647.0,918.0,15.0,39.8,24.5,34.8,0.6,13291
Crestwood,933.0,399.0,649.0,0.0,47.1,20.1,32.8,0.0,11115
Queanbeyan East,535.0,548.0,651.0,0.0,30.8,31.5,37.5,0.0,13292
Greenleigh,203.0,20.0,0.0,0.0,91.0,9.0,0.0,0.0,11767
The Ridgeway,61.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13836
Bungendore,1282.0,22.0,7.0,4.0,97.5,1.7,0.5,0.3,10684
Sutton (NSW),422.0,5.0,0.0,30.0,92.3,1.1,0.0,6.6,13702
Carwoola,448.0,0.0,0.0,3.0,99.3,0.0,0.0,0.7,10841
Hoskinstown,57.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11944
Captains Flat,225.0,0.0,5.0,3.0,96.6,0.0,2.1,1.3,10804
Burra (Queanbeyan-Palerang Regional - NSW),244.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10697
Mount Fairy,74.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12758
Mulloon,44.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12827
Royalla,263.0,0.0,0.0,3.0,98.9,0.0,0.0,1.1,13434
Urila,40.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,14059
Tarago,134.0,0.0,0.0,4.0,97.1,0.0,0.0,2.9,13758
Currawang,58.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11177
Googong,779.0,0.0,0.0,0.0,99.6,0.0,0.0,0.0,11704
Wamboin,514.0,0.0,0.0,3.0,98.8,0.0,0.0,0.6,14123
Bywong,445.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,10735
Michelago,171.0,0.0,0.0,0.0,98.3,0.0,0.0,0.0,12598
Jerrabomberra,2593.0,411.0,0.0,0.0,86.1,13.6,0.0,0.0,12016
Queanbeyan West,810.0,239.0,65.0,0.0,72.5,21.4,5.8,0.0,13293
Delegate,154.0,0.0,0.0,3.0,98.1,0.0,0.0,1.9,11233
Bombala,519.0,9.0,13.0,7.0,94.0,1.6,2.4,1.3,10455
Cathcart (NSW),40.0,0.0,0.0,3.0,93.0,0.0,0.0,7.0,10855
Cooma (NSW),2349.0,108.0,164.0,26.0,87.4,4.0,6.1,1.0,11036
Kosciuszko National Park,0.0,0.0,31.0,3.0,0.0,0.0,24.6,2.4,12199
Adaminaby,129.0,0.0,0.0,0.0,97.7,0.0,0.0,0.0,10015
Nimmitabel,129.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,12966
Numeralla,86.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13039
Colinton (NSW),34.0,0.0,0.0,3.0,91.9,0.0,0.0,8.1,10968
Dairymans Plains,55.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,11188
Binjura,107.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10370
Bunyan,62.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,10691
Bredbo,100.0,0.0,0.0,3.0,97.1,0.0,0.0,2.9,10559
Berridale,405.0,46.0,9.0,0.0,88.0,10.0,2.0,0.0,10316
Kalkite,74.0,3.0,0.0,0.0,96.1,3.9,0.0,0.0,12052
