,Male,Female,Median age,Male (%),Female (%),Median age (%),SSC_CODE
Lower Boro,3.0,0.0,0.0,100.0,0.0,--,12402
New South Wales,107368.0,108809.0,22.0,49.7,50.3,--,
Australia,322171.0,326996.0,23.0,49.6,50.4,--,
Oallen,0.0,0.0,0.0,0.0,0.0,--,13062
Braidwood,19.0,15.0,16.0,55.9,44.1,--,10547
Araluen (NSW),6.0,3.0,20.0,66.7,33.3,--,10070
Bombay,0.0,0.0,27.0,0.0,0.0,--,10456
Manar,3.0,3.0,30.0,50.0,50.0,--,12462
Karabar,242.0,262.0,20.0,48.0,52.0,--,12071
Queanbeyan,75.0,90.0,28.0,45.5,54.5,--,13291
Crestwood,74.0,79.0,22.0,48.4,51.6,--,11115
Queanbeyan East,86.0,74.0,24.0,53.8,46.2,--,13292
Greenleigh,6.0,0.0,12.0,100.0,0.0,--,11767
Bungendore,46.0,38.0,16.0,54.8,45.2,--,10684
Sutton (NSW),6.0,4.0,42.0,60.0,40.0,--,13702
Carwoola,15.0,16.0,24.0,48.4,51.6,--,10841
Hoskinstown,4.0,0.0,20.0,100.0,0.0,--,11944
Captains Flat,6.0,15.0,11.0,28.6,71.4,--,10804
Burra (Queanbeyan-Palerang Regional - NSW),5.0,3.0,30.0,62.5,37.5,--,10697
Mount Fairy,4.0,3.0,51.0,57.1,42.9,--,12758
Mulloon,0.0,3.0,0.0,0.0,100.0,--,12827
Royalla,13.0,15.0,12.0,46.4,53.6,--,13434
Tarago,3.0,5.0,13.0,37.5,62.5,--,13758
Googong,32.0,27.0,25.0,54.2,45.8,--,11704
Wamboin,15.0,11.0,37.0,57.7,42.3,--,14123
Bywong,11.0,13.0,26.0,45.8,54.2,--,10735
Michelago,9.0,8.0,27.0,52.9,47.1,--,12598
Jerrabomberra,80.0,73.0,21.0,52.3,47.7,--,12016
Queanbeyan West,87.0,106.0,22.0,45.1,54.9,--,13293
Delegate,9.0,7.0,27.0,56.2,43.8,--,11233
Bombala,10.0,5.0,23.0,66.7,33.3,--,10455
Cathcart (NSW),5.0,0.0,60.0,100.0,0.0,--,10855
Cooma (NSW),124.0,90.0,30.0,57.9,42.1,--,11036
Kosciuszko National Park,0.0,3.0,34.0,0.0,100.0,--,12199
Nimmitabel,3.0,0.0,62.0,100.0,0.0,--,12966
Numeralla,8.0,7.0,43.0,53.3,46.7,--,13039
Colinton (NSW),0.0,5.0,0.0,0.0,100.0,--,10968
Binjura,7.0,3.0,39.0,70.0,30.0,--,10370
Berridale,9.0,9.0,25.0,50.0,50.0,--,10316
Crackenback,6.0,0.0,19.0,100.0,0.0,--,11103
Jindabyne,21.0,12.0,25.0,63.6,36.4,--,12030
East Jindabyne,0.0,9.0,16.0,0.0,100.0,--,11352
Moonbah,8.0,4.0,23.0,66.7,33.3,--,12698
Catalina,105.0,98.0,20.0,51.7,48.3,--,10853
Batemans Bay,87.0,85.0,24.0,50.6,49.4,--,10229
Nelligen,0.0,3.0,59.0,0.0,100.0,--,12920
Long Beach,18.0,23.0,21.0,43.9,56.1,--,12376
Benandarah,3.0,4.0,25.0,42.9,57.1,--,10287
North Batemans Bay,8.0,13.0,29.0,38.1,61.9,--,12982
Surfside,73.0,79.0,15.0,48.0,52.0,--,13698
Maloneys Beach,0.0,7.0,23.0,0.0,100.0,--,12460
Lilli Pilli (Eurobodalla - NSW),5.0,4.0,43.0,55.6,44.4,--,12321
Malua Bay,20.0,25.0,29.0,44.4,55.6,--,12461
Surf Beach (NSW),49.0,51.0,22.0,49.0,51.0,--,13697
Denhams Beach,6.0,9.0,27.0,40.0,60.0,--,11236
Sunshine Bay,24.0,42.0,24.0,36.4,63.6,--,13695
Rosedale (NSW),0.0,4.0,18.0,0.0,100.0,--,13407
Batehaven,45.0,60.0,20.0,42.9,57.1,--,10228
Bega,131.0,143.0,17.0,47.8,52.2,--,10253
Tathra,7.0,10.0,23.0,41.2,58.8,--,13774
