,Married,Separated,Divorced,Widowed,Never married,Married (%),Separated (%),Divorced (%),Widowed (%),Never married (%),SSC_CODE
Lower Boro,71.0,7.0,15.0,8.0,48.0,47.7,4.7,10.1,5.4,32.2,12402
New South Wales,2965280.0,190198.0,512298.0,331653.0,2094460.0,48.7,3.1,8.4,5.4,34.4,
Australia,9148218.0,608059.0,1626890.0,985204.0,6668910.0,48.1,3.2,8.5,5.2,35.0,
Oallen,57.0,14.0,9.0,15.0,33.0,44.5,10.9,7.0,11.7,25.8,13062
Braidwood,612.0,43.0,190.0,111.0,388.0,45.5,3.2,14.1,8.3,28.9,10547
Majors Creek (NSW),110.0,8.0,24.0,8.0,48.0,55.6,4.0,12.1,4.0,24.2,12452
Araluen (NSW),71.0,7.0,23.0,8.0,43.0,46.7,4.6,15.1,5.3,28.3,10070
Reidsdale,64.0,0.0,10.0,0.0,38.0,57.1,0.0,8.9,0.0,33.9,13348
Bombay,51.0,3.0,7.0,0.0,26.0,58.6,3.4,8.0,0.0,29.9,10456
Warri,45.0,0.0,15.0,0.0,17.0,58.4,0.0,19.5,0.0,22.1,14172
Manar,52.0,0.0,12.0,3.0,29.0,54.2,0.0,12.5,3.1,30.2,12462
Mongarlowe,51.0,4.0,20.0,3.0,30.0,47.2,3.7,18.5,2.8,27.8,12678
Karabar,2973.0,260.0,583.0,351.0,2459.0,44.9,3.9,8.8,5.3,37.1,12071
Queanbeyan,2003.0,200.0,606.0,411.0,2112.0,37.6,3.8,11.4,7.7,39.6,13291
Crestwood,1585.0,159.0,353.0,193.0,1532.0,41.5,4.2,9.2,5.0,40.1,11115
Queanbeyan East,1254.0,116.0,392.0,135.0,1352.0,38.6,3.6,12.1,4.2,41.6,13292
Greenleigh,371.0,13.0,22.0,9.0,174.0,63.0,2.2,3.7,1.5,29.5,11767
The Ridgeway,80.0,0.0,7.0,4.0,46.0,58.4,0.0,5.1,2.9,33.6,13836
Bungendore,1888.0,89.0,231.0,74.0,915.0,59.1,2.8,7.2,2.3,28.6,10684
Sutton (NSW),735.0,44.0,131.0,38.0,423.0,53.6,3.2,9.6,2.8,30.9,13702
Carwoola,724.0,19.0,79.0,29.0,338.0,60.9,1.6,6.6,2.4,28.4,10841
Hoskinstown,72.0,3.0,15.0,0.0,63.0,47.1,2.0,9.8,0.0,41.2,11944
Captains Flat,203.0,14.0,59.0,19.0,184.0,42.4,2.9,12.3,4.0,38.4,10804
Burra (Queanbeyan-Palerang Regional - NSW),407.0,7.0,46.0,10.0,182.0,62.4,1.1,7.1,1.5,27.9,10697
Mount Fairy,98.0,6.0,19.0,0.0,44.0,58.7,3.6,11.4,0.0,26.3,12758
Mulloon,66.0,6.0,18.0,4.0,37.0,50.4,4.6,13.7,3.1,28.2,12827
Royalla,479.0,16.0,44.0,3.0,213.0,63.4,2.1,5.8,0.4,28.2,13434
Primrose Valley,41.0,6.0,19.0,0.0,47.0,36.3,5.3,16.8,0.0,41.6,13265
Urila,50.0,7.0,13.0,3.0,42.0,43.5,6.1,11.3,2.6,36.5,14059
Tarago,209.0,6.0,22.0,10.0,83.0,63.3,1.8,6.7,3.0,25.2,13758
Currawang,95.0,0.0,9.0,13.0,34.0,62.9,0.0,6.0,8.6,22.5,11177
Googong,1261.0,26.0,103.0,28.0,589.0,62.8,1.3,5.1,1.4,29.3,11704
Wamboin,854.0,36.0,91.0,38.0,367.0,61.6,2.6,6.6,2.7,26.5,14123
Bywong,654.0,31.0,98.0,32.0,256.0,61.1,2.9,9.2,3.0,23.9,10735
Michelago,232.0,17.0,45.0,8.0,129.0,53.8,3.9,10.4,1.9,29.9,12598
Jerrabomberra,4375.0,153.0,465.0,144.0,2085.0,60.6,2.1,6.4,2.0,28.9,12016
Queanbeyan West,1076.0,83.0,243.0,102.0,1009.0,42.8,3.3,9.7,4.1,40.2,13293
Delegate,144.0,17.0,30.0,26.0,92.0,46.6,5.5,9.7,8.4,29.8,11233
Bombala,525.0,42.0,111.0,110.0,337.0,46.7,3.7,9.9,9.8,30.0,10455
Cathcart (NSW),52.0,4.0,10.0,6.0,20.0,56.5,4.3,10.9,6.5,21.7,10855
Cooma (NSW),2489.0,231.0,548.0,482.0,1890.0,44.1,4.1,9.7,8.5,33.5,11036
Kosciuszko National Park,179.0,14.0,42.0,6.0,267.0,35.2,2.8,8.3,1.2,52.6,12199
Adaminaby,129.0,15.0,24.0,27.0,62.0,50.2,5.8,9.3,10.5,24.1,10015
Nimmitabel,141.0,8.0,30.0,13.0,74.0,53.0,3.0,11.3,4.9,27.8,12966
Numeralla,124.0,3.0,22.0,11.0,45.0,60.5,1.5,10.7,5.4,22.0,13039
Colinton (NSW),61.0,7.0,8.0,3.0,29.0,56.5,6.5,7.4,2.8,26.9,10968
Dairymans Plains,80.0,0.0,3.0,6.0,40.0,62.0,0.0,2.3,4.7,31.0,11188
Binjura,141.0,6.0,23.0,18.0,71.0,54.4,2.3,8.9,6.9,27.4,10370
Bunyan,66.0,4.0,16.0,3.0,34.0,53.7,3.3,13.0,2.4,27.6,10691
Bredbo,156.0,6.0,35.0,4.0,82.0,55.1,2.1,12.4,1.4,29.0,10559
Berridale,442.0,45.0,107.0,69.0,301.0,45.9,4.7,11.1,7.2,31.2,10316
Kalkite,102.0,3.0,14.0,4.0,50.0,59.0,1.7,8.1,2.3,28.9,12052
Crackenback,72.0,5.0,11.0,0.0,62.0,48.0,3.3,7.3,0.0,41.3,11103
Jindabyne,833.0,51.0,169.0,49.0,1110.0,37.7,2.3,7.6,2.2,50.2,12030
East Jindabyne,293.0,23.0,48.0,20.0,170.0,52.9,4.2,8.7,3.6,30.7,11352
Dalgety,68.0,11.0,27.0,5.0,56.0,40.7,6.6,16.2,3.0,33.5,11190
Moonbah,229.0,17.0,37.0,12.0,135.0,53.3,4.0,8.6,2.8,31.4,12698
Catalina,897.0,77.0,227.0,224.0,527.0,46.0,3.9,11.6,11.5,27.0,10853
Batemans Bay,419.0,70.0,208.0,167.0,458.0,31.7,5.3,15.7,12.6,34.6,10229
Nelligen,162.0,8.0,33.0,20.0,75.0,54.4,2.7,11.1,6.7,25.2,12920
Long Beach,747.0,30.0,107.0,56.0,257.0,62.4,2.5,8.9,4.7,21.5,12376
Benandarah,64.0,11.0,34.0,4.0,36.0,43.0,7.4,22.8,2.7,24.2,10287
North Batemans Bay,248.0,27.0,67.0,36.0,125.0,49.3,5.4,13.3,7.2,24.9,12982
Surfside,506.0,41.0,132.0,72.0,308.0,47.8,3.9,12.5,6.8,29.1,13698
Maloneys Beach,180.0,6.0,34.0,22.0,68.0,58.1,1.9,11.0,7.1,21.9,12460
