,"No Religion, so described",Catholic,Not stated,Anglican,"Christian, nfd",Buddhism,Uniting Church,Eastern Orthodox,Pentecostal,Islam,Presbyterian and Reformed,Baptist,Seventh-day Adventist,Jehovah's Witnesses,Salvation Army,Lutheran,Other Protestant,Latter-day Saints,Hinduism,Brethren,Other Spiritual Beliefs,Sikhism,Australian Aboriginal Traditional Religions,Oriental Orthodox,Nature Religions,Judaism,Other Christian,Secular Beliefs,Japanese Religions,Assyrian Apostolic,Miscellaneous Religions,"No Religion, so described (%)",Catholic (%),Not stated (%),Anglican (%),"Christian, nfd (%)",Buddhism (%),Uniting Church (%),Eastern Orthodox (%),Pentecostal (%),Islam (%),Presbyterian and Reformed (%),Baptist (%),Seventh-day Adventist (%),Jehovah's Witnesses (%),Salvation Army (%),Lutheran (%),Other Protestant (%),Latter-day Saints (%),Hinduism (%),Brethren (%),Other Spiritual Beliefs (%),Sikhism (%),Australian Aboriginal Traditional Religions (%),Oriental Orthodox (%),Nature Religions (%),Judaism (%),Other Christian (%),Secular Beliefs (%),Japanese Religions (%),Assyrian Apostolic (%),Miscellaneous Religions (%),SSC_CODE
Lower Boro,57,36,22,20,10,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,21.4,13.1,11.9,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12402
New South Wales,"1,879,562","1,846,443","684,969","1,161,810","165,351",,,,,,,,,,,,,,,,,,,,,,,,,,,25.1,24.7,9.2,15.5,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"6,933,708","5,291,834","2,238,735","3,101,185","612,371",,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,22.6,9.6,13.3,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oallen,41,28,38,27,,3,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,20.0,27.1,19.3,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,13062
Braidwood,527,391,215,334,,,52,,,,,,,,,,,,,,,,,,,,,,,,,32.4,24.0,13.2,20.5,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,10547
Majors Creek (NSW),94,45,33,47,,9,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,18.2,13.4,19.0,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,12452
Araluen (NSW),58,39,34,28,,,,3,,,,,,,,,,,,,,,,,,,,,,,,34.5,23.2,20.2,16.7,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,10070
Reidsdale,52,29,11,32,,0,,,,,,,,,,,,,,,,,,,,,,,,,,41.9,23.4,8.9,25.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,13348
Bombay,51,28,16,14,,,5,,,,,,,,,,,,,,,,,,,,,,,,,43.6,23.9,13.7,12.0,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,10456
Warri,59,9,8,18,,,4,,,,,,,,,,,,,,,,,,,,,,,,,60.2,9.2,8.2,18.4,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,14172
