,Median rent,Households where rent payments are less than 30% of household income,Households with rent payments greater than or equal to 30% of household income,Median rent (%),Households where rent payments are less than 30% of household income (%),Households with rent payments greater than or equal to 30% of household income (%),SSC_CODE
Lower Boro,0.0,--,--,--,100.0,0.0,12402
New South Wales,380.0,--,--,--,87.1,12.9,
Australia,335.0,--,--,--,88.5,11.5,
Braidwood,278.0,--,--,--,90.3,9.7,10547
Majors Creek (NSW),300.0,--,--,--,90.6,9.4,12452
Araluen (NSW),150.0,--,--,--,93.8,6.2,10070
Reidsdale,250.0,--,--,--,91.3,8.7,13348
Bombay,125.0,--,--,--,89.5,10.5,10456
Warri,200.0,--,--,--,100.0,0.0,14172
Manar,350.0,--,--,--,88.9,11.1,12462
Mongarlowe,98.0,--,--,--,100.0,0.0,12678
Karabar,300.0,--,--,--,90.1,9.9,12071
Queanbeyan,290.0,--,--,--,85.7,14.3,13291
Crestwood,260.0,--,--,--,87.1,12.9,11115
Queanbeyan East,270.0,--,--,--,84.8,15.2,13292
Greenleigh,350.0,--,--,--,100.0,0.0,11767
The Ridgeway,500.0,--,--,--,94.8,5.2,13836
Bungendore,450.0,--,--,--,95.9,4.1,10684
Sutton (NSW),350.0,--,--,--,97.2,2.8,13702
Carwoola,350.0,--,--,--,98.2,1.8,10841
Captains Flat,285.0,--,--,--,93.1,6.9,10804
Burra (Queanbeyan-Palerang Regional - NSW),340.0,--,--,--,98.3,1.7,10697
Mount Fairy,250.0,--,--,--,94.7,5.3,12758
Mulloon,210.0,--,--,--,90.0,10.0,12827
Royalla,527.0,--,--,--,98.9,1.1,13434
Primrose Valley,300.0,--,--,--,91.5,8.5,13265
Urila,400.0,--,--,--,100.0,0.0,14059
Tarago,220.0,--,--,--,97.7,2.3,13758
Googong,480.0,--,--,--,99.6,0.4,11704
Wamboin,365.0,--,--,--,98.4,1.6,14123
Bywong,340.0,--,--,--,98.0,2.0,10735
Michelago,370.0,--,--,--,97.7,2.3,12598
Jerrabomberra,415.0,--,--,--,96.7,3.3,12016
Queanbeyan West,320.0,--,--,--,89.4,10.6,13293
Delegate,80.0,--,--,--,100.0,0.0,11233
Bombala,175.0,--,--,--,94.5,5.5,10455
Cathcart (NSW),100.0,--,--,--,100.0,0.0,10855
Cooma (NSW),225.0,--,--,--,88.7,11.3,11036
Kosciuszko National Park,245.0,--,--,--,85.2,14.8,12199
Adaminaby,150.0,--,--,--,97.7,2.3,10015
Nimmitabel,163.0,--,--,--,95.6,4.4,12966
Numeralla,250.0,--,--,--,96.6,3.4,13039
Binjura,275.0,--,--,--,97.3,2.7,10370
Bredbo,250.0,--,--,--,97.2,2.8,10559
