,Male,Female,Male (%),Female (%),SSC_CODE
Lower Boro,--,--,57.1,42.9,12402
New South Wales,--,--,17.8,82.2,
Australia,--,--,18.2,81.8,
Oallen,--,--,0.0,100.0,13062
Braidwood,--,--,23.9,76.1,10547
Warri,--,--,0.0,0.0,14172
Karabar,--,--,20.6,79.4,12071
Queanbeyan,--,--,22.8,77.2,13291
Crestwood,--,--,24.3,75.7,11115
Queanbeyan East,--,--,20.5,79.5,13292
Greenleigh,--,--,30.0,70.0,11767
Bungendore,--,--,20.0,80.0,10684
Sutton (NSW),--,--,36.4,63.6,13702
Carwoola,--,--,25.0,75.0,10841
Burra (Queanbeyan-Palerang Regional - NSW),--,--,21.4,78.6,10697
Mount Fairy,--,--,50.0,50.0,12758
Royalla,--,--,31.6,68.4,13434
Tarago,--,--,27.3,72.7,13758
Googong,--,--,16.9,83.1,11704
Wamboin,--,--,22.6,77.4,14123
Bywong,--,--,35.3,64.7,10735
Queanbeyan West,--,--,19.4,80.6,13293
Delegate,--,--,33.3,66.7,11233
Bombala,--,--,28.8,71.2,10455
Cooma (NSW),--,--,17.5,82.5,11036
Kosciuszko National Park,--,--,100.0,0.0,12199
Adaminaby,--,--,42.9,57.1,10015
Berridale,--,--,23.7,76.3,10316
Jindabyne,--,--,28.0,72.0,12030
East Jindabyne,--,--,29.2,70.8,11352
Moonbah,--,--,28.6,71.4,12698
Catalina,--,--,19.2,80.8,10853
Batemans Bay,--,--,19.8,80.2,10229
Long Beach,--,--,36.8,63.2,12376
North Batemans Bay,--,--,20.8,79.2,12982
Surfside,--,--,16.0,84.0,13698
Maloneys Beach,--,--,13.6,86.4,12460
Surf Beach (NSW),--,--,18.4,81.6,13697
Sunshine Bay,--,--,12.7,87.3,13695
Batehaven,--,--,16.7,83.3,10228
Bega,--,--,14.8,85.2,10253
Tathra,--,--,22.0,78.0,13774
Bournda,--,--,40.0,60.0,10524
Lochiel (NSW),--,--,70.0,30.0,12367
Candelo,--,--,14.7,85.3,10788
Cobargo,--,--,21.6,78.4,10951
Buckajo,--,--,45.5,54.5,10629
Broulee,--,--,17.7,82.3,10608
Mossy Point,--,--,34.8,65.2,12741
Bodalla,--,--,15.0,85.0,10434
Narooma,--,--,21.2,78.8,12900
Kianga (NSW),--,--,30.4,69.6,12119
Tuross Head,--,--,24.1,75.9,13979
Pambula Beach,--,--,9.7,90.3,13141
Merimbula,--,--,16.1,83.9,12575
South Pambula,--,--,18.8,81.2,13595
Pambula,--,--,15.8,84.2,13140
Bingie,--,--,37.5,62.5,10367
Dalmeny,--,--,19.0,81.0,11191
North Narooma,--,--,17.2,82.8,12998
Goulburn,--,--,18.6,81.4,11725
Run-o-Waters,--,--,22.2,77.8,13440
Marulan,--,--,34.0,66.0,12513
Quialigo,--,--,62.5,37.5,13297
Crookwell,--,--,14.0,86.0,11123
Tallong,--,--,11.5,88.5,13733
Yass,--,--,19.9,80.1,14493
Binalong,--,--,26.3,73.7,10362
Dalton,--,--,44.4,55.6,11194
Bowning,--,--,38.5,61.5,10535
Gunning,--,--,22.9,77.1,11813
Young,--,--,12.9,87.1,14518
Harden,--,--,17.4,82.6,11851
Avoca Beach,--,--,20.1,79.9,10114
Killcare Heights,--,--,23.1,76.9,12134
Macmasters Beach,--,--,27.7,72.3,12432
St Huberts Island,--,--,9.1,90.9,13638
Bensville,--,--,13.9,86.1,10297
Kincumber South,--,--,18.5,81.5,12142
Woy Woy,--,--,18.0,82.0,14425
Kariong,--,--,20.7,79.3,12074
Spencer,--,--,46.2,53.8,13607
Erina,--,--,15.9,84.1,11433
Green Point (Central Coast - NSW),--,--,18.7,81.3,11753
Terrigal,--,--,17.6,82.4,13805
Springfield (Central Coast - NSW),--,--,16.5,83.5,13623
West Gosford,--,--,17.1,82.9,14244
Gosford,--,--,21.0,79.0,11722
East Gosford,--,--,13.3,86.7,11349
Point Frederick,--,--,17.0,83.0,13232
Kincumber,--,--,16.6,83.4,12141
Niagara Park,--,--,25.5,74.5,12961
Point Clare,--,--,14.1,85.9,13231
Saratoga,--,--,16.8,83.2,13492
Davistown,--,--,28.9,71.1,11221
Booker Bay,--,--,6.8,93.2,10477
Ettalong Beach,--,--,14.9,85.1,11445
Wamberal,--,--,25.8,74.2,14122
Blackwall (NSW),--,--,19.1,80.9,10399
San Remo (NSW),--,--,16.3,83.7,13470
Doyalson,--,--,13.0,87.0,11286
Budgewoi,--,--,16.4,83.6,10642
Chittaway Bay,--,--,20.2,79.8,10911
Kanwal,--,--,18.3,81.7,12067
Wyongah,--,--,10.8,89.2,14448
Tuggerawong,--,--,7.8,92.2,13951
Gorokan,--,--,18.1,81.9,11721
Lake Haven,--,--,15.2,84.8,12247
Jilliby,--,--,32.3,67.7,12027
Chain Valley Bay,--,--,21.5,78.5,10880
Toowoon Bay,--,--,17.9,82.1,13916
The Entrance,--,--,18.9,81.1,13818
Noraville,--,--,14.4,85.6,12974
Mardi,--,--,11.8,88.2,12488
Hamlyn Terrace,--,--,12.5,87.5,11843
Woongarrah,--,--,14.5,85.5,14415
Wallarah,--,--,29.6,70.4,14109
Wadalba,--,--,11.7,88.3,14080
Llanarth (NSW),--,--,14.3,85.7,12362
West Bathurst,--,--,11.4,88.6,14241
Abercrombie,--,--,8.8,91.2,10004
Kelso (NSW),--,--,16.2,83.8,12090
Perthville,--,--,41.7,58.3,13189
Woodstock (Cowra - NSW),--,--,15.4,84.6,14394
Forbes (NSW),--,--,21.1,78.9,11536
Eugowra,--,--,22.7,77.3,11454
Trundle,--,--,43.5,56.5,13940
Bogan Gate,--,--,53.8,46.2,10438
Wyalong,--,--,36.7,63.3,14431
South Bowenfels,--,--,40.9,59.1,13578
Lithgow,--,--,15.3,84.7,12347
Morts Estate,--,--,28.2,71.8,12732
Littleton,--,--,10.0,90.0,12360
Millthorpe,--,--,7.0,93.0,12623
Clifton Grove,--,--,43.8,56.2,10934
Grafton,--,--,14.6,85.4,11733
South Grafton,--,--,15.7,84.3,13582
Junction Hill,--,--,7.7,92.3,12045
Glenreagh,--,--,22.4,77.6,11675
Wooli,--,--,26.7,73.3,14403
Whiteman Creek,--,--,30.8,69.2,14277
Coutts Crossing,--,--,15.1,84.9,11094
Pillar Valley,--,--,38.1,61.9,13204
Yamba (NSW),--,--,19.6,80.4,14458
Woombah,--,--,24.2,75.8,14414
Maclean,--,--,14.2,85.8,12431
Iluka (NSW),--,--,31.4,68.6,11975
Harwood,--,--,27.8,72.2,11865
North Boambee Valley,--,--,7.3,92.7,12983
Coramba,--,--,35.0,65.0,11065
Nana Glen,--,--,29.5,70.5,12889
Upper Orara,--,--,35.7,64.3,14041
Moonee Beach,--,--,25.9,74.1,12703
Boambee,--,--,39.6,60.4,10421
Brewarrina,--,--,23.5,76.5,10563
Cobar,--,--,19.5,80.5,10949
Walgett,--,--,15.5,84.5,14096
Baradine,--,--,11.9,88.1,10190
Mendooran,--,--,39.3,60.7,12570
Dubbo,--,--,17.3,82.7,11296
Geurie,--,--,26.5,73.5,11608
Greta (NSW),--,--,22.3,77.7,11778
Bellbird Heights,--,--,22.5,77.5,10269
Clarence Town,--,--,25.4,74.6,10920
Paterson (NSW),--,--,31.2,68.8,13159
Heddon Greta,--,--,23.3,76.7,11888
Wattle Ponds,--,--,39.1,60.9,14193
South Maitland,--,--,34.2,65.8,13591
Horseshoe Bend,--,--,12.1,87.9,11939
Metford,--,--,12.3,87.7,12592
Raworth,--,--,10.4,89.6,13325
Morpeth,--,--,9.8,90.2,12727
Largs,--,--,19.7,80.3,12278
Aberglasslyn,--,--,10.6,89.4,10009
Millers Forest,--,--,66.7,33.3,12618
Lemon Tree Passage,--,--,21.9,78.1,12300
Tanilba Bay,--,--,12.6,87.4,13748
Soldiers Point,--,--,24.6,75.4,13570
Corlette,--,--,15.6,84.4,11075
Fingal Bay,--,--,29.1,70.9,11518
Tomago,--,--,60.0,40.0,13889
Heatherbrae,--,--,45.8,54.2,11884
Wallalong,--,--,23.8,76.2,14104
Brandy Hill,--,--,29.4,70.6,10548
Hawks Nest,--,--,32.2,67.8,11873
Karuah,--,--,29.7,70.3,12076
Denman,--,--,13.8,86.2,11241
Brownsville,--,--,35.9,64.1,10612
Kiama,--,--,20.4,79.6,12116
Shellharbour,--,--,19.3,80.7,13533
Tarrawanna,--,--,12.2,87.8,13769
Russell Vale,--,--,13.7,86.3,13448
Wollongong,--,--,23.2,76.8,14358
West Kempsey,--,--,13.5,86.5,14247
Aldavilla,--,--,26.9,73.1,10028
Dondingalong,--,--,21.7,78.3,11272
East Kempsey,--,--,9.6,90.4,11354
Yarravel,--,--,27.5,72.5,14483
Smithtown,--,--,8.3,91.7,13564
Argents Hill,--,--,47.1,52.9,10079
Bonny Hills,--,--,26.6,73.4,10470
Lake Innes,--,--,41.2,58.8,12251
Mortons Creek,--,--,55.6,44.4,12731
King Creek,--,--,25.7,74.3,12145
Taree South,--,--,42.1,57.9,13765
Tinonee,--,--,6.0,94.0,13876
Lansdowne (Mid-Coast - NSW),--,--,11.1,88.9,12273
Holbrook,--,--,22.1,77.9,11920
Mulwala,--,--,20.3,79.7,12830
Howlong,--,--,25.6,74.4,11950
Mathoura,--,--,39.4,60.6,12522
Barham,--,--,24.4,75.6,10199
Barooga,--,--,23.0,77.0,10205
Tabulam,--,--,29.0,71.0,13723
Boggabri,--,--,20.9,79.1,10442
Barraba,--,--,12.0,88.0,10206
Blacksmiths,--,--,26.4,73.6,10396
