,Registered marriage,De facto marriage,Not married,Registered marriage (%),De facto marriage (%),Not married (%),SSC_CODE
Lower Boro,57.0,10.0,55.0,46.7,8.2,45.1,12402
New South Wales,2612630.0,506133.0,2290887.0,48.3,9.4,42.3,
Australia,8001141.0,1751731.0,7024973.0,47.7,10.4,41.9,
Oallen,36.0,13.0,36.0,42.4,15.3,42.4,13062
Braidwood,508.0,164.0,429.0,46.1,14.9,39.0,10547
Majors Creek (NSW),86.0,29.0,57.0,50.0,16.9,33.1,12452
Araluen (NSW),48.0,16.0,50.0,42.1,14.0,43.9,10070
Reidsdale,52.0,18.0,18.0,59.1,20.5,20.5,13348
Bombay,44.0,13.0,20.0,57.1,16.9,26.0,10456
Warri,42.0,11.0,18.0,59.2,15.5,25.4,14172
Manar,41.0,20.0,28.0,46.1,22.5,31.5,12462
Mongarlowe,40.0,13.0,34.0,46.0,14.9,39.1,12678
Karabar,2665.0,713.0,2659.0,44.1,11.8,44.0,12071
Queanbeyan,1649.0,519.0,2217.0,37.6,11.8,50.6,13291
Crestwood,1394.0,387.0,1665.0,40.5,11.2,48.3,11115
Queanbeyan East,1081.0,420.0,1383.0,37.5,14.6,48.0,13292
Greenleigh,337.0,27.0,167.0,63.5,5.1,31.5,11767
The Ridgeway,75.0,13.0,44.0,56.8,9.8,33.3,13836
Bungendore,1643.0,374.0,800.0,58.3,13.3,28.4,10684
Sutton (NSW),573.0,107.0,359.0,55.1,10.3,34.6,13702
Carwoola,620.0,129.0,296.0,59.3,12.3,28.3,10841
Hoskinstown,60.0,23.0,49.0,45.5,17.4,37.1,11944
Captains Flat,172.0,83.0,163.0,41.1,19.9,39.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),335.0,65.0,145.0,61.5,11.9,26.6,10697
Mount Fairy,83.0,17.0,41.0,58.9,12.1,29.1,12758
Mulloon,47.0,19.0,27.0,50.5,20.4,29.0,12827
Royalla,424.0,76.0,184.0,62.0,11.1,26.9,13434
Primrose Valley,40.0,26.0,35.0,39.6,25.7,34.7,13265
Urila,40.0,18.0,20.0,51.3,23.1,25.6,14059
Tarago,166.0,42.0,83.0,57.0,14.4,28.5,13758
Currawang,74.0,11.0,35.0,61.7,9.2,29.2,11177
Googong,1118.0,220.0,443.0,62.8,12.4,24.9,11704
Wamboin,727.0,113.0,353.0,60.9,9.5,29.6,14123
Bywong,580.0,106.0,275.0,60.4,11.0,28.6,10735
Michelago,201.0,58.0,116.0,53.6,15.5,30.9,12598
Jerrabomberra,3985.0,562.0,2159.0,59.4,8.4,32.2,12016
Queanbeyan West,957.0,296.0,1007.0,42.3,13.1,44.6,13293
Delegate,122.0,24.0,124.0,45.2,8.9,45.9,11233
Bombala,468.0,125.0,369.0,48.6,13.0,38.4,10455
Cathcart (NSW),43.0,9.0,25.0,55.8,11.7,32.5,10855
Cooma (NSW),2084.0,473.0,2110.0,44.7,10.1,45.2,11036
Kosciuszko National Park,76.0,38.0,80.0,39.2,19.6,41.2,12199
Adaminaby,120.0,30.0,81.0,51.9,13.0,35.1,10015
Nimmitabel,115.0,18.0,94.0,50.7,7.9,41.4,12966
Numeralla,88.0,16.0,51.0,56.8,10.3,32.9,13039
Colinton (NSW),49.0,13.0,27.0,55.1,14.6,30.3,10968
Dairymans Plains,80.0,13.0,46.0,57.6,9.4,33.1,11188
Binjura,112.0,32.0,72.0,51.9,14.8,33.3,10370
Bunyan,61.0,11.0,42.0,53.5,9.6,36.8,10691
Bredbo,130.0,38.0,69.0,54.9,16.0,29.1,10559
Berridale,386.0,141.0,310.0,46.1,16.8,37.0,10316
Kalkite,89.0,20.0,52.0,55.3,12.4,32.3,12052
Crackenback,43.0,12.0,42.0,44.3,12.4,43.3,11103
Jindabyne,661.0,261.0,805.0,38.3,15.1,46.6,12030
East Jindabyne,246.0,61.0,158.0,52.9,13.1,34.0,11352
Dalgety,63.0,30.0,59.0,41.4,19.7,38.8,11190
Moonbah,198.0,59.0,112.0,53.7,16.0,30.4,12698
Catalina,765.0,170.0,715.0,46.4,10.3,43.3,10853
Batemans Bay,319.0,118.0,614.0,30.4,11.2,58.4,10229
Nelligen,140.0,39.0,85.0,53.0,14.8,32.2,12920
Long Beach,636.0,116.0,280.0,61.6,11.2,27.1,12376
Benandarah,49.0,12.0,38.0,49.5,12.1,38.4,10287
North Batemans Bay,200.0,45.0,178.0,47.3,10.6,42.1,12982
Surfside,453.0,127.0,384.0,47.0,13.2,39.8,13698
Maloneys Beach,154.0,25.0,100.0,55.2,9.0,35.8,12460
Lilli Pilli (Eurobodalla - NSW),276.0,48.0,150.0,58.2,10.1,31.6,12321
Malua Bay,778.0,153.0,457.0,56.1,11.0,32.9,12461
Surf Beach (NSW),661.0,143.0,572.0,48.0,10.4,41.6,13697
Denhams Beach,185.0,46.0,134.0,50.7,12.6,36.7,11236
Sunshine Bay,493.0,104.0,377.0,50.6,10.7,38.7,13695
Rosedale (NSW),104.0,12.0,44.0,65.0,7.5,27.5,13407
Batehaven,540.0,126.0,612.0,42.3,9.9,47.9,10228
Bega,1362.0,448.0,1435.0,42.0,13.8,44.2,10253
Tathra,605.0,148.0,459.0,49.9,12.2,37.9,13774
Kalaru,258.0,63.0,133.0,56.8,13.9,29.3,12051
Wallagoot,192.0,61.0,92.0,55.7,17.7,26.7,14103
Bournda,39.0,17.0,39.0,41.1,17.9,41.1,10524
Black Range (NSW),74.0,11.0,29.0,64.9,9.6,25.4,10388
Tarraganda,147.0,33.0,86.0,55.3,12.4,32.3,13768
Kanoona,63.0,15.0,28.0,59.4,14.2,26.4,12066
Toothdale,73.0,22.0,29.0,58.9,17.7,23.4,13914
Wolumla,243.0,76.0,173.0,49.4,15.4,35.2,14362
South Wolumla,75.0,16.0,26.0,64.1,13.7,22.2,13602
Wyndham (NSW),113.0,55.0,89.0,44.0,21.4,34.6,14443
Kiah,53.0,13.0,42.0,49.1,12.0,38.9,12115
Towamba,71.0,36.0,72.0,39.7,20.1,40.2,13927
Lochiel (NSW),140.0,49.0,84.0,51.3,17.9,30.8,12367
Nethercote,146.0,23.0,75.0,59.8,9.4,30.7,12932
Candelo,209.0,89.0,182.0,43.5,18.5,37.9,10788
Tantawangalo,55.0,17.0,25.0,56.7,17.5,25.8,13753
Bemboka,211.0,41.0,167.0,50.4,9.8,39.9,10284
Quaama,98.0,28.0,80.0,47.6,13.6,38.8,13285
Cobargo,254.0,66.0,237.0,45.6,11.8,42.5,10951
Yowrie,42.0,18.0,26.0,48.8,20.9,30.2,14520
Wandella (NSW),76.0,10.0,29.0,66.1,8.7,25.2,14128
Angledale,54.0,22.0,40.0,46.6,19.0,34.5,10056
Verona,110.0,38.0,68.0,50.9,17.6,31.5,14073
Tanja,53.0,26.0,37.0,45.7,22.4,31.9,13749
Coolagolite,91.0,45.0,63.0,45.7,22.6,31.7,11023
Brogo,173.0,58.0,141.0,46.5,15.6,37.9,10589
Coopers Gully,63.0,20.0,33.0,54.3,17.2,28.4,11048
Stony Creek (Bega Valley - NSW),57.0,10.0,36.0,55.3,9.7,35.0,13668
Numbugga,53.0,7.0,29.0,59.6,7.9,32.6,13038
Buckajo,110.0,18.0,81.0,52.6,8.6,38.8,10629
Kameruka,56.0,3.0,23.0,68.3,3.7,28.0,12054
Greigs Flat,57.0,17.0,26.0,57.0,17.0,26.0,11775
Broulee,594.0,88.0,498.0,50.3,7.5,42.2,10608
Tomakin,383.0,73.0,258.0,53.6,10.2,36.1,13890
Mossy Point,232.0,36.0,142.0,56.6,8.8,34.6,12741
Bodalla,264.0,75.0,248.0,45.0,12.8,42.2,10434
Narooma,881.0,214.0,843.0,45.5,11.0,43.5,12900
Eden,963.0,259.0,953.0,44.3,11.9,43.8,11375
South Durras,121.0,18.0,80.0,55.3,8.2,36.5,13580
Mogo (Eurobodalla - NSW),76.0,54.0,94.0,33.9,24.1,42.0,12660
Jeremadra,58.0,30.0,43.0,44.3,22.9,32.8,12012
Mogendoura,69.0,30.0,54.0,45.1,19.6,35.3,12657
Turlinjah,50.0,22.0,46.0,42.4,18.6,39.0,13975
Potato Point,52.0,19.0,30.0,51.5,18.8,29.7,13253
Kianga (NSW),322.0,65.0,192.0,55.6,11.2,33.2,12119
Tuross Head,989.0,176.0,636.0,54.9,9.8,35.3,13979
Pambula Beach,257.0,50.0,185.0,52.2,10.2,37.6,13141
Merimbula,1101.0,332.0,1124.0,43.1,13.0,44.0,12575
Tura Beach,1420.0,225.0,685.0,60.9,9.7,29.4,13973
South Pambula,164.0,49.0,113.0,50.3,15.0,34.7,13595
Pambula,270.0,83.0,305.0,41.0,12.6,46.4,13140
Broadwater (Bega Valley - NSW),48.0,17.0,23.0,54.5,19.3,26.1,10579
Bald Hills (NSW),94.0,26.0,41.0,58.4,16.1,25.5,10147
Millingandi,197.0,42.0,121.0,54.7,11.7,33.6,12622
Mirador,172.0,42.0,62.0,62.3,15.2,22.5,12644
Berrambool,152.0,48.0,152.0,43.2,13.6,43.2,10312
Moruya,1406.0,316.0,1240.0,47.5,10.7,41.9,12734
Moruya Heads,364.0,92.0,260.0,50.8,12.8,36.3,12735
Bergalia,76.0,9.0,23.0,70.4,8.3,21.3,10302
Congo,63.0,21.0,75.0,39.6,13.2,47.2,11008
Bingie,77.0,22.0,52.0,51.0,14.6,34.4,10367
Bermagui,542.0,149.0,440.0,47.9,13.2,38.9,10307
Dalmeny,677.0,163.0,481.0,51.2,12.3,36.4,11191
Wallaga Lake,210.0,69.0,143.0,49.8,16.4,33.9,14102
Central Tilba,111.0,36.0,70.0,51.2,16.6,32.3,10877
North Narooma,281.0,59.0,138.0,58.8,12.3,28.9,12998
Akolele,40.0,6.0,45.0,44.0,6.6,49.5,10023
Mystery Bay,63.0,29.0,56.0,42.6,19.6,37.8,12883
Goulburn,6837.0,1689.0,6955.0,44.2,10.9,44.9,11725
Run-o-Waters,227.0,32.0,88.0,65.4,9.2,25.4,13440
Marulan,434.0,92.0,321.0,51.2,10.9,37.9,12513
Windellama,115.0,22.0,111.0,46.4,8.9,44.8,14318
Bigga,86.0,13.0,58.0,54.8,8.3,36.9,10346
Tirrannaville,98.0,26.0,59.0,53.6,14.2,32.2,13883
Lake Bathurst,70.0,22.0,45.0,51.1,16.1,32.8,12239
Quialigo,112.0,14.0,52.0,62.9,7.9,29.2,13297
Laggan,156.0,21.0,83.0,60.0,8.1,31.9,12235
Grabben Gullen,83.0,10.0,69.0,51.2,6.2,42.6,11731
Parkesbourne,78.0,19.0,31.0,60.9,14.8,24.2,13152
Yarra,74.0,9.0,34.0,63.2,7.7,29.1,14468
Crookwell,1037.0,174.0,725.0,53.6,9.0,37.4,11123
Bungonia,138.0,34.0,89.0,52.9,13.0,34.1,10685
Collector,133.0,17.0,63.0,62.4,8.0,29.6,10972
Middle Arm,157.0,21.0,100.0,56.5,7.6,36.0,12599
Taralga,136.0,25.0,138.0,45.5,8.4,46.2,13759
Tarlo,82.0,11.0,31.0,66.1,8.9,25.0,13767
Wayo,44.0,15.0,31.0,48.9,16.7,34.4,14204
Kingsdale,89.0,13.0,20.0,73.0,10.7,16.4,12155
Bannister (NSW),52.0,3.0,21.0,68.4,3.9,27.6,10183
Brayton,61.0,14.0,43.0,51.7,11.9,36.4,10554
Greenwich Park,55.0,9.0,29.0,59.1,9.7,31.2,11771
Tallong,366.0,61.0,177.0,60.6,10.1,29.3,13733
Carrick (NSW),47.0,7.0,37.0,51.6,7.7,40.7,10828
Brisbane Grove,46.0,14.0,34.0,48.9,14.9,36.2,10577
Binda,98.0,27.0,57.0,53.8,14.8,31.3,10363
Towrang,53.0,15.0,53.0,43.8,12.4,43.8,13930
Mummel,45.0,12.0,21.0,57.7,15.4,26.9,12835
Baw Baw (NSW),118.0,11.0,48.0,66.7,6.2,27.1,10234
Boxers Creek,86.0,13.0,68.0,51.5,7.8,40.7,10541
Gundary,112.0,10.0,63.0,60.5,5.4,34.1,11806
Yass,2220.0,550.0,1731.0,49.3,12.2,38.5,14493
Bookham,69.0,10.0,29.0,63.9,9.3,26.9,10478
