,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Owned outright (%),Owned with a mortgage (%),Rented (%),Other tenure type (%),Tenure type not stated (%),SSC_CODE
Lower Boro,27.0,44.0,0.0,0.0,0.0,38.0,62.0,0.0,0.0,0.0,12402
New South Wales,839665.0,840004.0,826922.0,23968.0,73763.0,32.2,32.3,31.8,0.9,2.8,
Australia,2565695.0,2855222.0,2561302.0,78994.0,224869.0,31.0,34.5,30.9,1.0,2.7,
Oallen,32.0,18.0,3.0,0.0,0.0,60.4,34.0,5.7,0.0,0.0,13062
Braidwood,235.0,170.0,169.0,3.0,39.0,38.1,27.6,27.4,0.5,6.3,10547
Majors Creek (NSW),36.0,36.0,22.0,0.0,3.0,37.1,37.1,22.7,0.0,3.1,12452
Araluen (NSW),41.0,20.0,5.0,0.0,4.0,58.6,28.6,7.1,0.0,5.7,10070
Reidsdale,25.0,13.0,3.0,0.0,0.0,61.0,31.7,7.3,0.0,0.0,13348
Bombay,25.0,9.0,10.0,0.0,0.0,56.8,20.5,22.7,0.0,0.0,10456
Warri,11.0,21.0,3.0,0.0,0.0,31.4,60.0,8.6,0.0,0.0,14172
Manar,7.0,20.0,7.0,0.0,0.0,20.6,58.8,20.6,0.0,0.0,12462
Mongarlowe,27.0,17.0,3.0,0.0,0.0,57.4,36.2,6.4,0.0,0.0,12678
Karabar,867.0,1116.0,883.0,15.0,78.0,29.3,37.7,29.8,0.5,2.6,12071
Queanbeyan,539.0,739.0,1237.0,34.0,87.0,20.4,28.0,46.9,1.3,3.3,13291
Crestwood,475.0,598.0,852.0,3.0,57.0,23.9,30.1,42.9,0.2,2.9,11115
Queanbeyan East,325.0,469.0,904.0,6.0,50.0,18.5,26.7,51.5,0.3,2.9,13292
Greenleigh,115.0,90.0,8.0,0.0,6.0,52.5,41.1,3.7,0.0,2.7,11767
The Ridgeway,30.0,16.0,12.0,0.0,0.0,51.7,27.6,20.7,0.0,0.0,13836
Bungendore,318.0,747.0,225.0,3.0,23.0,24.2,56.8,17.1,0.2,1.7,10684
Sutton (NSW),210.0,154.0,74.0,0.0,9.0,47.0,34.5,16.6,0.0,2.0,13702
Carwoola,192.0,207.0,39.0,3.0,6.0,43.0,46.3,8.7,0.7,1.3,10841
Hoskinstown,23.0,25.0,4.0,0.0,4.0,41.1,44.6,7.1,0.0,7.1,11944
Captains Flat,73.0,114.0,41.0,0.0,5.0,31.3,48.9,17.6,0.0,2.1,10804
Burra (Queanbeyan-Palerang Regional - NSW),91.0,128.0,23.0,3.0,3.0,36.7,51.6,9.3,1.2,1.2,10697
Mount Fairy,27.0,42.0,4.0,0.0,0.0,37.0,57.5,5.5,0.0,0.0,12758
Mulloon,6.0,25.0,8.0,0.0,0.0,15.4,64.1,20.5,0.0,0.0,12827
Royalla,70.0,191.0,8.0,0.0,4.0,25.6,70.0,2.9,0.0,1.5,13434
Primrose Valley,13.0,25.0,13.0,0.0,0.0,25.5,49.0,25.5,0.0,0.0,13265
Urila,16.0,11.0,5.0,0.0,0.0,50.0,34.4,15.6,0.0,0.0,14059
Tarago,54.0,59.0,19.0,0.0,4.0,39.7,43.4,14.0,0.0,2.9,13758
Currawang,24.0,22.0,3.0,4.0,3.0,42.9,39.3,5.4,7.1,5.4,11177
Googong,168.0,537.0,63.0,4.0,13.0,21.4,68.4,8.0,0.5,1.7,11704
Wamboin,198.0,282.0,28.0,3.0,9.0,38.1,54.2,5.4,0.6,1.7,14123
Bywong,174.0,219.0,44.0,4.0,12.0,38.4,48.3,9.7,0.9,2.6,10735
Michelago,50.0,99.0,19.0,4.0,0.0,29.1,57.6,11.0,2.3,0.0,12598
Jerrabomberra,769.0,1562.0,638.0,12.0,39.0,25.5,51.7,21.1,0.4,1.3,12016
Queanbeyan West,271.0,437.0,384.0,5.0,28.0,24.1,38.8,34.1,0.4,2.5,13293
Delegate,89.0,32.0,22.0,9.0,6.0,56.3,20.3,13.9,5.7,3.8,11233
Bombala,251.0,143.0,140.0,0.0,22.0,45.1,25.7,25.2,0.0,4.0,10455
Cathcart (NSW),25.0,7.0,6.0,0.0,0.0,65.8,18.4,15.8,0.0,0.0,10855
Cooma (NSW),962.0,772.0,823.0,11.0,121.0,35.8,28.7,30.6,0.4,4.5,11036
Kosciuszko National Park,23.0,7.0,45.0,8.0,39.0,18.9,5.7,36.9,6.6,32.0,12199
Adaminaby,80.0,27.0,20.0,3.0,0.0,61.5,20.8,15.4,2.3,0.0,10015
Nimmitabel,74.0,37.0,18.0,0.0,5.0,55.2,27.6,13.4,0.0,3.7,12966
Numeralla,41.0,34.0,7.0,0.0,4.0,47.7,39.5,8.1,0.0,4.7,13039
Colinton (NSW),21.0,11.0,3.0,0.0,3.0,55.3,28.9,7.9,0.0,7.9,10968
Dairymans Plains,21.0,27.0,8.0,0.0,3.0,35.6,45.8,13.6,0.0,5.1,11188
Binjura,51.0,43.0,15.0,0.0,0.0,46.8,39.4,13.8,0.0,0.0,10370
Bunyan,35.0,25.0,3.0,0.0,0.0,55.6,39.7,4.8,0.0,0.0,10691
Bredbo,33.0,61.0,9.0,0.0,3.0,31.1,57.5,8.5,0.0,2.8,10559
Berridale,174.0,146.0,112.0,3.0,25.0,37.8,31.7,24.3,0.7,5.4,10316
Kalkite,26.0,30.0,15.0,0.0,4.0,34.7,40.0,20.0,0.0,5.3,12052
Crackenback,30.0,8.0,16.0,3.0,0.0,52.6,14.0,28.1,5.3,0.0,11103
Jindabyne,225.0,277.0,361.0,11.0,36.0,24.7,30.4,39.7,1.2,4.0,12030
East Jindabyne,81.0,99.0,46.0,0.0,10.0,34.3,41.9,19.5,0.0,4.2,11352
Dalgety,47.0,29.0,13.0,0.0,3.0,51.1,31.5,14.1,0.0,3.3,11190
Moonbah,70.0,88.0,30.0,0.0,5.0,36.3,45.6,15.5,0.0,2.6,12698
Catalina,421.0,187.0,245.0,16.0,38.0,46.4,20.6,27.0,1.8,4.2,10853
Batemans Bay,195.0,59.0,368.0,27.0,30.0,28.7,8.7,54.2,4.0,4.4,10229
Nelligen,56.0,62.0,18.0,0.0,4.0,40.0,44.3,12.9,0.0,2.9,12920
Long Beach,247.0,189.0,91.0,0.0,11.0,45.9,35.1,16.9,0.0,2.0,12376
Benandarah,32.0,11.0,12.0,3.0,0.0,55.2,19.0,20.7,5.2,0.0,10287
North Batemans Bay,97.0,59.0,64.0,0.0,9.0,42.4,25.8,27.9,0.0,3.9,12982
Surfside,223.0,132.0,149.0,3.0,16.0,42.6,25.2,28.5,0.6,3.1,13698
Maloneys Beach,75.0,29.0,41.0,0.0,0.0,51.7,20.0,28.3,0.0,0.0,12460
Lilli Pilli (Eurobodalla - NSW),133.0,63.0,34.0,3.0,3.0,56.4,26.7,14.4,1.3,1.3,12321
Malua Bay,345.0,208.0,154.0,0.0,18.0,47.6,28.7,21.2,0.0,2.5,12461
Surf Beach (NSW),346.0,165.0,240.0,3.0,23.0,44.5,21.2,30.9,0.4,3.0,13697
Denhams Beach,103.0,34.0,58.0,0.0,0.0,52.8,17.4,29.7,0.0,0.0,11236
Sunshine Bay,264.0,132.0,105.0,5.0,20.0,50.2,25.1,20.0,1.0,3.8,13695
Rosedale (NSW),49.0,23.0,12.0,0.0,3.0,56.3,26.4,13.8,0.0,3.4,13407
Batehaven,294.0,148.0,266.0,3.0,23.0,40.1,20.2,36.2,0.4,3.1,10228
Bega,648.0,472.0,594.0,25.0,75.0,35.7,26.0,32.7,1.4,4.1,10253
Tathra,303.0,164.0,210.0,3.0,24.0,43.0,23.3,29.8,0.4,3.4,13774
Kalaru,104.0,102.0,26.0,0.0,7.0,43.5,42.7,10.9,0.0,2.9,12051
Wallagoot,77.0,88.0,21.0,0.0,3.0,40.7,46.6,11.1,0.0,1.6,14103
Bournda,11.0,14.0,25.0,0.0,3.0,20.8,26.4,47.2,0.0,5.7,10524
Black Range (NSW),21.0,34.0,7.0,0.0,0.0,33.9,54.8,11.3,0.0,0.0,10388
Tarraganda,66.0,42.0,16.0,0.0,3.0,52.0,33.1,12.6,0.0,2.4,13768
Kanoona,10.0,24.0,0.0,0.0,0.0,29.4,70.6,0.0,0.0,0.0,12066
Toothdale,24.0,25.0,8.0,0.0,4.0,39.3,41.0,13.1,0.0,6.6,13914
Wolumla,112.0,106.0,29.0,3.0,6.0,43.8,41.4,11.3,1.2,2.3,14362
South Wolumla,31.0,24.0,4.0,0.0,0.0,52.5,40.7,6.8,0.0,0.0,13602
Wyndham (NSW),65.0,50.0,25.0,0.0,3.0,45.5,35.0,17.5,0.0,2.1,14443
Kiah,32.0,20.0,8.0,0.0,0.0,53.3,33.3,13.3,0.0,0.0,12115
Towamba,61.0,30.0,8.0,0.0,0.0,61.6,30.3,8.1,0.0,0.0,13927
Lochiel (NSW),65.0,47.0,16.0,0.0,3.0,49.6,35.9,12.2,0.0,2.3,12367
