,"Car, as driver",Worked at home,"Car, as passenger",Train,Bus,&nbsp;,People who travelled to work by public transport,People who travelled to work by car as driver or passenger,Walked only,Truck,Other,"Bus, car as passenger",Ferry,Motorbike/scooter,Tram,"Train, car as driver",Bicycle,"Car as driver, car as passenger","Car as driver, truck","Car as driver, motorbike/scooter","Train, bus","Ferry, car as driver","Train, car as passenger",Taxi,"Car as driver, car as passenger, truck","Car as driver, car as passenger, motorbike/scooter","Car as driver, other","Ferry, car as driver, car as passenger","Truck, motorbike/scooter, other","Truck, other","Bus, car as driver","Train, other","Train, ferry","Car, as driver (%)",Worked at home (%),"Car, as passenger (%)",Train (%),Bus (%),&nbsp; (%),People who travelled to work by public transport (%),People who travelled to work by car as driver or passenger (%),Walked only (%),Truck (%),Other (%),"Bus, car as passenger (%)",Ferry (%),Motorbike/scooter (%),Tram (%),"Train, car as driver (%)",Bicycle (%),"Car as driver, car as passenger (%)","Car as driver, truck (%)","Car as driver, motorbike/scooter (%)","Train, bus (%)","Ferry, car as driver (%)","Train, car as passenger (%)",Taxi (%),"Car as driver, car as passenger, truck (%)","Car as driver, car as passenger, motorbike/scooter (%)","Car as driver, other (%)","Ferry, car as driver, car as passenger (%)","Truck, motorbike/scooter, other (%)","Truck, other (%)","Bus, car as driver (%)","Train, other (%)","Train, ferry (%)",SSC_CODE
Lower Boro,48,6,4,0,0,&nbsp;,0,52,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,8.3,5.6,0.0,0.0,&nbsp;,0.0,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,12402
New South Wales,"1,953,399","163,026","144,820","252,786","133,903",&nbsp;,"540,215","2,182,854",,,,,,,,,,,,,,,,,,,,,,,,,,57.8,4.8,4.3,7.5,4.0,&nbsp;,16.0,64.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"6,574,571","503,582","489,922","488,012","323,201",&nbsp;,"1,225,668","7,305,271",,,,,,,,,,,,,,,,,,,,,,,,,,61.5,4.7,4.6,4.6,3.0,&nbsp;,11.5,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Oallen,29,7,,0,0,&nbsp;,0,29,6,,,,,,,,,,,,,,,,,,,,,,,,,63.0,15.2,,0.0,0.0,&nbsp;,0.0,60.4,13.0,,,,,,,,,,,,,,,,,,,,,,,,,13062
Braidwood,365,83,37,,,&nbsp;,12,408,77,19,,,,,,,,,,,,,,,,,,,,,,,,54.2,12.3,5.5,,,&nbsp;,1.7,59.8,11.4,2.8,,,,,,,,,,,,,,,,,,,,,,,,10547
Majors Creek (NSW),70,13,3,0,0,&nbsp;,0,77,,,,,,,,,,,,,,,,,,,,,,,,,,72.2,13.4,3.1,0.0,0.0,&nbsp;,0.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,12452
Araluen (NSW),31,8,3,,3,&nbsp;,3,36,6,,,,,,,,,,,,,,,,,,,,,,,,,51.7,13.3,5.0,,5.0,&nbsp;,5.0,61.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10070
Reidsdale,43,8,,0,,&nbsp;,0,45,4,,3,,,,,,,,,,,,,,,,,,,,,,,67.2,12.5,,0.0,,&nbsp;,0.0,70.3,6.2,,4.7,,,,,,,,,,,,,,,,,,,,,,,13348
Bombay,26,15,,0,0,&nbsp;,3,29,,,,3,,,,,,,,,,,,,,,,,,,,,,59.1,34.1,,0.0,0.0,&nbsp;,5.9,60.4,,,,6.8,,,,,,,,,,,,,,,,,,,,,,10456
Warri,40,8,,0,0,&nbsp;,0,40,,,,,0,,,,,,,,,,,,,,,,,,,,,71.4,14.3,,0.0,0.0,&nbsp;,0.0,70.2,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14172
Manar,39,,5,0,0,&nbsp;,3,51,3,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,9.6,0.0,0.0,&nbsp;,4.7,81.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,12462
Mongarlowe,30,,,0,0,&nbsp;,0,30,,3,3,,,,,,,,,,,,,,,,,,,,,,,61.2,,,0.0,0.0,&nbsp;,0.0,57.7,,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,12678
Karabar,"3,126",75,290,,,&nbsp;,69,"3,475",62,,,,,45,,,,,,,,,,,,,,,,,,,,74.6,1.8,6.9,,,&nbsp;,1.6,83.1,1.5,,,,,1.1,,,,,,,,,,,,,,,,,,,,12071
Queanbeyan,"2,232",59,212,,55,&nbsp;,70,"2,488",176,,,,,,,,,,,,,,,,,,,,,,,,,70.3,1.9,6.7,,1.7,&nbsp;,2.2,77.9,5.5,,,,,,,,,,,,,,,,,,,,,,,,,13291
Crestwood,"1,769",,149,,55,&nbsp;,70,"1,940",65,,,,,40,,,,,,,,,,,,,,,,,,,,73.3,,6.2,,2.3,&nbsp;,2.9,80.3,2.7,,,,,1.7,,,,,,,,,,,,,,,,,,,,11115
Queanbeyan East,"1,522",37,140,,37,&nbsp;,53,"1,698",99,,,,,,,,,,,,,,,,,,,,,,,,,70.1,1.7,6.4,,1.7,&nbsp;,2.4,78.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,,13292
Greenleigh,293,19,17,,,&nbsp;,4,314,6,8,,,,,,,,,,,,,,,,,,,,,,,,76.7,5.0,4.5,,,&nbsp;,1.1,82.0,1.6,2.1,,,,,,,,,,,,,,,,,,,,,,,,11767
The Ridgeway,64,10,8,0,,&nbsp;,0,67,3,,,,,,,,,,,,,,,,,,,,,,,,,68.8,10.8,8.6,0.0,,&nbsp;,0.0,81.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,13836
Bungendore,"1,570",117,122,,,&nbsp;,17,"1,721",54,25,,,,,,,,,,,,,,,,,,,,,,,,70.0,5.2,5.4,,,&nbsp;,0.8,76.4,2.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,10684
Sutton (NSW),515,65,41,,,&nbsp;,10,562,,27,,,,8,,,,,,,,,,,,,,,,,,,,67.2,8.5,5.4,,,&nbsp;,1.3,73.9,,3.5,,,,1.0,,,,,,,,,,,,,,,,,,,,13702
Carwoola,556,39,46,,,&nbsp;,9,614,11,15,,,,,,,,,,,,,,,,,,,,,,,,75.7,5.3,6.3,,,&nbsp;,1.2,82.2,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,10841
Hoskinstown,75,4,3,0,,&nbsp;,0,80,3,,,,,,,,,,,,,,,,,,,,,,,,,79.8,4.3,3.2,0.0,,&nbsp;,0.0,83.3,3.2,,,,,,,,,,,,,,,,,,,,,,,,,11944
Captains Flat,198,11,19,,3,&nbsp;,6,222,13,,,,,,,,,,,,,,,,,,,,,,,,,72.5,4.0,7.0,,1.1,&nbsp;,2.1,77.4,4.8,,,,,,,,,,,,,,,,,,,,,,,,,10804
Burra (Queanbeyan-Palerang Regional - NSW),294,17,20,,,&nbsp;,0,313,8,5,,,,,,,,,,,,,,,,,,,,,,,,75.0,4.3,5.1,,,&nbsp;,0.0,80.7,2.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,10697
Mount Fairy,63,11,5,0,,&nbsp;,3,76,3,,,,,,,,,,,,,,,,,,,,,,,,,67.7,11.8,5.4,0.0,,&nbsp;,2.9,69.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,12758
Mulloon,48,6,3,0,,&nbsp;,0,50,4,,,,,,,,,,,,,,,,,,,,,,,,,70.6,8.8,4.4,0.0,,&nbsp;,0.0,73.5,5.9,,,,,,,,,,,,,,,,,,,,,,,,,12827
Royalla,385,19,28,,,&nbsp;,4,424,,18,7,,,,,,,,,,,,,,,,,,,,,,,74.8,3.7,5.4,,,&nbsp;,0.8,80.9,,3.5,1.4,,,,,,,,,,,,,,,,,,,,,,,13434
Primrose Valley,55,,,0,0,&nbsp;,0,59,,,,,0,,0,,,,,,,,,,,,,,,,,,,82.1,,,0.0,0.0,&nbsp;,0.0,78.7,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,13265
Urila,44,9,,0,0,&nbsp;,0,41,,,,,0,,,,,,,,,,,,,,,,,,,,,75.9,15.5,,0.0,0.0,&nbsp;,0.0,78.8,,,,,0.0,,,,,,,,,,,,,,,,,,,,,14059
Tarago,148,25,6,,,&nbsp;,0,155,5,6,,,,,,,,,,,,,,,,,,,,,,,,67.3,11.4,2.7,,,&nbsp;,0.0,72.8,2.3,2.7,,,,,,,,,,,,,,,,,,,,,,,,13758
Currawang,53,14,3,,,&nbsp;,0,60,,,4,,,3,,,,,,,,,,,,,,,,,,,,58.2,15.4,3.3,,,&nbsp;,0.0,62.5,,,4.4,,,3.3,,,,,,,,,,,,,,,,,,,,11177
Googong,"1,097",42,76,,,&nbsp;,18,"1,188",,17,,,,13,,,,,,,,,,,,,,,,,,,,73.8,2.8,5.1,,,&nbsp;,1.2,80.5,,1.1,,,,0.9,,,,,,,,,,,,,,,,,,,,11704
Wamboin,632,67,30,,,&nbsp;,5,678,11,15,,,,,,,,,,,,,,,,,,,,,,,,72.3,7.7,3.4,,,&nbsp;,0.6,76.9,1.3,1.7,,,,,,,,,,,,,,,,,,,,,,,,14123
Bywong,491,58,42,,,&nbsp;,8,540,16,8,,,,,,,,,,,,,,,,,,,,,,,,70.1,8.3,6.0,,,&nbsp;,1.1,76.9,2.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,10735
Michelago,228,15,13,,,&nbsp;,0,245,5,7,,,,,,,,,,,,,,,,,,,,,,,,76.5,5.0,4.4,,,&nbsp;,0.0,82.2,1.7,2.3,,,,,,,,,,,,,,,,,,,,,,,,12598
Jerrabomberra,"4,210",140,297,,,&nbsp;,45,"4,564",52,,,,,54,,,,,,,,,,,,,,,,,,,,77.1,2.6,5.4,,,&nbsp;,0.8,83.4,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,12016
Queanbeyan West,"1,261",28,118,,,&nbsp;,23,"1,394",,18,,,,18,,,,,,,,,,,,,,,,,,,,76.2,1.7,7.1,,,&nbsp;,1.4,84.2,,1.1,,,,1.1,,,,,,,,,,,,,,,,,,,,13293
Delegate,95,13,3,,,&nbsp;,0,97,12,4,,,,,,,,,,,,,,,,,,,,,,,,63.8,8.7,2.0,,,&nbsp;,0.0,66.4,8.1,2.7,,,,,,,,,,,,,,,,,,,,,,,,11233
Bombala,427,28,29,,,&nbsp;,5,466,38,19,,,,,,,,,,,,,,,,,,,,,,,,68.5,4.5,4.7,,,&nbsp;,0.8,74.1,6.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,10455
Cathcart (NSW),24,4,,0,0,&nbsp;,0,22,3,,,,,,,,,,,,,,,,,,,,,,,,,58.5,9.8,,0.0,0.0,&nbsp;,0.0,52.4,7.3,,,,,,,,,,,,,,,,,,,,,,,,,10855
Cooma (NSW),"1,883",115,184,,,&nbsp;,13,"2,091",201,34,,,,,,,,,,,,,,,,,,,,,,,,66.0,4.0,6.4,,,&nbsp;,0.5,72.9,7.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,11036
Kosciuszko National Park,48,41,,,7,&nbsp;,16,50,155,,23,,,,,,,,,,,,,,,,,,,,,,,14.9,12.7,,,2.2,&nbsp;,4.9,15.5,48.1,,7.1,,,,,,,,,,,,,,,,,,,,,,,12199
Adaminaby,74,9,7,,,&nbsp;,0,84,19,,3,,,,,,,,,,,,,,,,,,,,,,,61.2,7.4,5.8,,,&nbsp;,0.0,63.6,15.7,,2.5,,,,,,,,,,,,,,,,,,,,,,,10015
Nimmitabel,56,26,3,,,&nbsp;,0,61,12,8,,,,,,,,,,,,,,,,,,,,,,,,46.3,21.5,2.5,,,&nbsp;,0.0,51.3,9.9,6.6,,,,,,,,,,,,,,,,,,,,,,,,12966
Numeralla,86,4,6,0,0,&nbsp;,0,94,,,,,,,,,,,,,,,,,,,,,,,,,,84.3,3.9,5.9,0.0,0.0,&nbsp;,0.0,85.5,,,,,,,,,,,,,,,,,,,,,,,,,,13039
Colinton (NSW),48,11,3,0,,&nbsp;,0,47,,,3,,,,,,,,,,,,,,,,,,,,,,,70.6,16.2,4.4,0.0,,&nbsp;,0.0,72.3,,,4.4,,,,,,,,,,,,,,,,,,,,,,,10968
Dairymans Plains,66,,4,0,,&nbsp;,0,73,3,3,,,,,,,,,,,,,,,,,,,,,,,,78.6,,4.8,0.0,,&nbsp;,0.0,83.0,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,11188
Binjura,112,14,7,0,0,&nbsp;,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,75.2,9.4,4.7,0.0,0.0,&nbsp;,0.0,79.6,,,,,,,,,,,,,,,,,,,,,,,,,,10370
Bunyan,52,14,,0,0,&nbsp;,0,54,,,,,0,,,,,,,,,,,,,,,,,,,,,66.7,17.9,,0.0,0.0,&nbsp;,0.0,67.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,,10691
Bredbo,115,13,18,,3,&nbsp;,3,130,8,,,,,,,,,,,,,,,,,,,,,,,,,64.2,7.3,10.1,,1.7,&nbsp;,1.7,74.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,10559
Berridale,369,42,26,,,&nbsp;,5,402,31,,8,,,,,,,,,,,,,,,,,,,,,,,64.5,7.3,4.5,,,&nbsp;,0.9,68.8,5.4,,1.4,,,,,,,,,,,,,,,,,,,,,,,10316
Kalkite,78,10,12,0,,&nbsp;,0,90,3,,,,,,,,,,,,,,,,,,,,,,,,,72.9,9.3,11.2,0.0,,&nbsp;,0.0,79.6,2.8,,,,,,,,,,,,,,,,,,,,,,,,,12052
Crackenback,51,6,,,3,&nbsp;,7,57,17,,6,,,,,,,,,,,,,,,,,,,,,,,51.5,6.1,,,3.0,&nbsp;,6.5,52.3,17.2,,6.1,,,,,,,,,,,,,,,,,,,,,,,11103
Jindabyne,894,84,143,,,&nbsp;,80,"1,106",149,,,,,,,22,,,,,,,,,,,,,,,,,,55.3,5.2,8.8,,,&nbsp;,4.9,68.2,9.2,,,,,,,1.4,,,,,,,,,,,,,,,,,,12030
East Jindabyne,262,31,14,,4,&nbsp;,11,289,12,,,,,,,,,,,,,,,,,,,,,,,,,68.6,8.1,3.7,,1.0,&nbsp;,2.8,72.6,3.1,,,,,,,,,,,,,,,,,,,,,,,,,11352
Dalgety,68,15,,0,,&nbsp;,0,70,6,3,,,,,,,,,,,,,,,,,,,,,,,,65.4,14.4,,0.0,,&nbsp;,0.0,63.1,5.8,2.9,,,,,,,,,,,,,,,,,,,,,,,,11190
Moonbah,191,26,15,5,,&nbsp;,7,218,5,,,,,,,,,,,,,,,,,,,,,,,,,65.2,8.9,5.1,1.7,,&nbsp;,2.3,71.9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,12698
Catalina,508,23,53,,,&nbsp;,8,566,9,10,,,,,,,,,,,,,,,,,,,,,,,,70.0,3.2,7.3,,,&nbsp;,1.1,76.4,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,10853
Batemans Bay,243,15,28,,,&nbsp;,3,280,54,3,,,,,,,,,,,,,,,,,,,,,,,,59.4,3.7,6.8,,,&nbsp;,0.7,67.6,13.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,10229
Nelligen,107,13,9,,,&nbsp;,0,118,9,4,,,,,,,,,,,,,,,,,,,,,,,,67.7,8.2,5.7,,,&nbsp;,0.0,74.2,5.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,12920
Long Beach,425,26,27,,,&nbsp;,0,459,3,8,,,,,,,,,,,,,,,,,,,,,,,,77.4,4.7,4.9,,,&nbsp;,0.0,81.7,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,12376
Benandarah,34,3,,0,0,&nbsp;,0,38,3,,,,,,,,,,,,,,,,,,,,,,,,,79.1,7.0,,0.0,0.0,&nbsp;,0.0,76.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,10287
North Batemans Bay,124,14,11,,3,&nbsp;,3,140,21,,,,,,,,,,,,,,,,,,,,,,,,,62.3,7.0,5.5,,1.5,&nbsp;,1.4,64.5,10.6,,,,,,,,,,,,,,,,,,,,,,,,,12982
Surfside,333,20,30,,,&nbsp;,0,361,11,5,,,,,,,,,,,,,,,,,,,,,,,,73.3,4.4,6.6,,,&nbsp;,0.0,79.0,2.4,1.1,,,,,,,,,,,,,,,,,,,,,,,,13698
Maloneys Beach,94,5,7,0,,&nbsp;,0,99,,,3,,,,,,,,,,,,,,,,,,,,,,,70.1,3.7,5.2,0.0,,&nbsp;,0.0,77.3,,,2.2,,,,,,,,,,,,,,,,,,,,,,,12460
Lilli Pilli (Eurobodalla - NSW),169,13,14,,3,&nbsp;,3,185,,4,,,,,,,,,,,,,,,,,,,,,,,,71.6,5.5,5.9,,1.3,&nbsp;,1.3,77.7,,1.7,,,,,,,,,,,,,,,,,,,,,,,,12321
Malua Bay,523,48,44,,14,&nbsp;,17,567,13,,,,,,,,,,,,,,,,,,,,,,,,,70.0,6.4,5.9,,1.9,&nbsp;,2.3,76.1,1.7,,,,,,,,,,,,,,,,,,,,,,,,,12461
Surf Beach (NSW),433,31,33,,,&nbsp;,4,468,13,14,,,,,,,,,,,,,,,,,,,,,,,,68.9,4.9,5.3,,,&nbsp;,0.6,74.1,2.1,2.2,,,,,,,,,,,,,,,,,,,,,,,,13697
Denhams Beach,116,8,15,,3,&nbsp;,3,132,,4,,,,,,,,,,,,,,,,,,,,,,,,70.3,4.8,9.1,,1.8,&nbsp;,1.7,78.1,,2.4,,,,,,,,,,,,,,,,,,,,,,,,11236
Sunshine Bay,268,10,34,,,&nbsp;,3,302,10,10,,,,,,,,,,,,,,,,,,,,,,,,68.0,2.5,8.6,,,&nbsp;,0.8,76.6,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,13695
Rosedale (NSW),55,4,4,,,&nbsp;,0,57,4,,4,,,,,,,,,,,,,,,,,,,,,,,62.5,4.5,4.5,,,&nbsp;,0.0,67.1,4.5,,4.5,,,,,,,,,,,,,,,,,,,,,,,13407
Batehaven,396,25,27,,,&nbsp;,10,425,30,,6,,,,,,,,,,,,,,,,,,,,,,,68.9,4.3,4.7,,,&nbsp;,1.7,73.1,5.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,10228
Bega,"1,186",70,101,,,&nbsp;,8,"1,307",156,33,,,,,,,,,,,,,,,,,,,,,,,,64.0,3.8,5.5,,,&nbsp;,0.4,70.3,8.4,1.8,,,,,,,,,,,,,,,,,,,,,,,,10253
Tathra,466,27,30,,,&nbsp;,7,502,39,,,,,,,,8,,,,,,,,,,,,,,,,,66.5,3.9,4.3,,,&nbsp;,1.0,72.3,5.6,,,,,,,,1.1,,,,,,,,,,,,,,,,,13774
Kalaru,202,17,10,,,&nbsp;,0,222,8,,,,,,,,,5,,,,,,,,,,,,,,,,68.7,5.8,3.4,,,&nbsp;,0.0,73.8,2.7,,,,,,,,,1.7,,,,,,,,,,,,,,,,12051
Wallagoot,154,35,,,,&nbsp;,0,161,,,4,,,5,,,,,4,,,,,,,,,,,,,,,65.3,14.8,,,,&nbsp;,0.0,66.5,,,1.7,,,2.1,,,,,1.7,,,,,,,,,,,,,,,14103
Bournda,42,9,,0,0,&nbsp;,0,44,4,,,,,,,,,,,,,,,,,,,,,,,,,70.0,15.0,,0.0,0.0,&nbsp;,0.0,68.8,6.7,,,,,,,,,,,,,,,,,,,,,,,,,10524
Black Range (NSW),64,9,10,0,,&nbsp;,0,72,,3,,,,,,,,,,,,,,,,,,,,,,,,64.6,9.1,10.1,0.0,,&nbsp;,0.0,75.8,,3.0,,,,,,,,,,,,,,,,,,,,,,,,10388
