,Less than 5 hours per week,5 to 14 hours per week,15 to 29 hours per week,30 hours or more per week,Less than 5 hours per week (%),5 to 14 hours per week (%),15 to 29 hours per week (%),30 hours or more per week (%),SSC_CODE
Lower Boro,25.0,57.0,18.0,24.0,15.7,35.8,11.3,15.1,12402
New South Wales,1359656.0,1531206.0,690934.0,545925.0,22.3,25.1,11.3,9.0,
Australia,4298593.0,4944578.0,2189776.0,1710970.0,22.6,26.0,11.5,9.0,
Oallen,18.0,27.0,23.0,15.0,14.2,21.3,18.1,11.8,13062
Braidwood,236.0,373.0,190.0,149.0,17.6,27.8,14.2,11.1,10547
Majors Creek (NSW),32.0,61.0,38.0,25.0,16.0,30.5,19.0,12.5,12452
Araluen (NSW),18.0,28.0,17.0,25.0,12.1,18.8,11.4,16.8,10070
Reidsdale,13.0,33.0,19.0,13.0,13.3,33.7,19.4,13.3,13348
Bombay,13.0,24.0,13.0,16.0,13.7,25.3,13.7,16.8,10456
Warri,17.0,28.0,17.0,14.0,19.3,31.8,19.3,15.9,14172
Manar,34.0,30.0,8.0,7.0,34.7,30.6,8.2,7.1,12462
Mongarlowe,7.0,31.0,10.0,14.0,6.7,29.5,9.5,13.3,12678
Karabar,1566.0,1858.0,761.0,542.0,23.6,28.0,11.5,8.2,12071
Queanbeyan,1239.0,1469.0,507.0,307.0,23.2,27.5,9.5,5.7,13291
Crestwood,966.0,1098.0,357.0,245.0,25.3,28.7,9.3,6.4,11115
Queanbeyan East,846.0,927.0,288.0,208.0,26.0,28.5,8.9,6.4,13292
Greenleigh,146.0,194.0,91.0,52.0,25.0,33.2,15.6,8.9,11767
The Ridgeway,24.0,42.0,25.0,8.0,16.7,29.2,17.4,5.6,13836
Bungendore,748.0,1104.0,433.0,286.0,23.4,34.6,13.6,9.0,10684
Sutton (NSW),276.0,338.0,191.0,116.0,20.2,24.7,14.0,8.5,13702
Carwoola,238.0,379.0,188.0,119.0,20.1,32.0,15.9,10.1,10841
Hoskinstown,34.0,41.0,22.0,17.0,22.7,27.3,14.7,11.3,11944
Captains Flat,99.0,138.0,60.0,48.0,20.7,28.8,12.5,10.0,10804
Burra (Queanbeyan-Palerang Regional - NSW),122.0,213.0,108.0,74.0,18.8,32.8,16.6,11.4,10697
Mount Fairy,40.0,50.0,32.0,14.0,23.4,29.2,18.7,8.2,12758
Mulloon,30.0,32.0,17.0,11.0,22.9,24.4,13.0,8.4,12827
Royalla,180.0,256.0,114.0,69.0,23.5,33.4,14.9,9.0,13434
Primrose Valley,29.0,39.0,15.0,16.0,22.7,30.5,11.7,12.5,13265
Urila,13.0,31.0,12.0,12.0,11.2,26.7,10.3,10.3,14059
Tarago,67.0,109.0,42.0,33.0,19.6,32.0,12.3,9.7,13758
Currawang,21.0,47.0,21.0,16.0,13.4,29.9,13.4,10.2,11177
Googong,498.0,646.0,281.0,159.0,24.8,32.1,14.0,7.9,11704
Wamboin,282.0,449.0,222.0,140.0,20.4,32.5,16.1,10.1,14123
Bywong,245.0,348.0,177.0,109.0,22.9,32.6,16.6,10.2,10735
Michelago,79.0,133.0,71.0,42.0,18.2,30.7,16.4,9.7,12598
Jerrabomberra,1956.0,2480.0,981.0,553.0,27.1,34.3,13.6,7.6,12016
Queanbeyan West,585.0,725.0,285.0,192.0,23.4,29.0,11.4,7.7,13293
Delegate,59.0,65.0,57.0,34.0,19.3,21.2,18.6,11.1,11233
Bombala,193.0,291.0,150.0,133.0,16.9,25.5,13.2,11.7,10455
Cathcart (NSW),15.0,15.0,15.0,16.0,16.7,16.7,16.7,17.8,10855
Cooma (NSW),1073.0,1483.0,656.0,521.0,19.1,26.4,11.7,9.3,11036
Kosciuszko National Park,139.0,92.0,27.0,12.0,27.0,17.9,5.3,2.3,12199
Adaminaby,44.0,64.0,36.0,43.0,17.0,24.7,13.9,16.6,10015
Nimmitabel,44.0,50.0,48.0,40.0,17.3,19.6,18.8,15.7,12966
Numeralla,37.0,68.0,27.0,25.0,17.9,32.9,13.0,12.1,13039
Colinton (NSW),18.0,27.0,22.0,16.0,17.0,25.5,20.8,15.1,10968
Dairymans Plains,25.0,44.0,19.0,13.0,20.2,35.5,15.3,10.5,11188
Binjura,53.0,80.0,32.0,35.0,21.0,31.7,12.7,13.9,10370
Bunyan,26.0,41.0,16.0,16.0,20.8,32.8,12.8,12.8,10691
Bredbo,54.0,89.0,38.0,31.0,19.2,31.7,13.5,11.0,10559
Berridale,180.0,278.0,116.0,98.0,18.7,28.8,12.0,10.2,10316
Kalkite,38.0,45.0,28.0,16.0,21.8,25.9,16.1,9.2,12052
Crackenback,38.0,48.0,19.0,8.0,24.5,31.0,12.3,5.2,11103
Jindabyne,700.0,611.0,185.0,123.0,31.6,27.6,8.4,5.6,12030
East Jindabyne,152.0,181.0,64.0,38.0,27.7,33.0,11.7,6.9,11352
Dalgety,29.0,52.0,28.0,18.0,16.2,29.1,15.6,10.1,11190
Moonbah,100.0,134.0,63.0,44.0,23.5,31.5,14.8,10.4,12698
Catalina,281.0,468.0,286.0,194.0,14.3,23.9,14.6,9.9,10853
Batemans Bay,216.0,308.0,114.0,118.0,16.2,23.1,8.5,8.8,10229
Nelligen,47.0,79.0,55.0,17.0,16.7,28.0,19.5,6.0,12920
Long Beach,193.0,339.0,231.0,148.0,16.1,28.3,19.3,12.4,12376
Benandarah,21.0,27.0,12.0,18.0,13.5,17.4,7.7,11.6,10287
North Batemans Bay,90.0,117.0,70.0,52.0,18.1,23.5,14.1,10.4,12982
Surfside,177.0,249.0,159.0,146.0,16.4,23.1,14.7,13.5,13698
Maloneys Beach,49.0,86.0,47.0,40.0,16.1,28.2,15.4,13.1,12460
Lilli Pilli (Eurobodalla - NSW),86.0,161.0,109.0,71.0,15.7,29.3,19.9,12.9,12321
Malua Bay,292.0,461.0,258.0,176.0,17.9,28.2,15.8,10.8,12461
Surf Beach (NSW),212.0,423.0,272.0,179.0,13.4,26.8,17.2,11.3,13697
Denhams Beach,85.0,130.0,53.0,51.0,15.2,23.2,9.5,9.1,11236
Sunshine Bay,158.0,250.0,176.0,148.0,15.0,23.7,16.7,14.0,13695
Rosedale (NSW),26.0,51.0,32.0,27.0,13.8,27.0,16.9,14.3,13407
Batehaven,261.0,353.0,223.0,169.0,16.8,22.7,14.3,10.8,10228
Bega,700.0,955.0,473.0,447.0,18.6,25.4,12.6,11.9,10253
Tathra,263.0,443.0,224.0,142.0,18.1,30.5,15.4,9.8,13774
Kalaru,97.0,167.0,76.0,57.0,18.1,31.2,14.2,10.7,12051
Wallagoot,75.0,127.0,63.0,60.0,17.4,29.4,14.6,13.9,14103
Bournda,17.0,30.0,14.0,20.0,13.7,24.2,11.3,16.1,10524
Black Range (NSW),37.0,33.0,22.0,17.0,26.1,23.2,15.5,12.0,10388
Tarraganda,55.0,84.0,41.0,48.0,19.4,29.6,14.4,16.9,13768
Kanoona,24.0,27.0,24.0,18.0,21.8,24.5,21.8,16.4,12066
Toothdale,26.0,43.0,20.0,15.0,19.0,31.4,14.6,10.9,13914
Wolumla,104.0,165.0,75.0,89.0,18.3,29.0,13.2,15.7,14362
South Wolumla,18.0,42.0,21.0,17.0,13.7,32.1,16.0,13.0,13602
Wyndham (NSW),56.0,94.0,38.0,54.0,17.0,28.5,11.5,16.4,14443
Kiah,20.0,36.0,23.0,10.0,15.9,28.6,18.3,7.9,12115
Towamba,33.0,44.0,31.0,37.0,17.7,23.7,16.7,19.9,13927
Lochiel (NSW),48.0,99.0,48.0,35.0,16.4,33.8,16.4,11.9,12367
