,Did unpaid domestic work (last week),Cared for child/children (last two weeks),Provided unpaid assistance to a person with a disability (last two weeks),Did voluntary work through an organisation or group (last 12 months),Did unpaid domestic work (last week) (%),Cared for child/children (last two weeks) (%),Provided unpaid assistance to a person with a disability (last two weeks) (%),Did voluntary work through an organisation or group (last 12 months) (%),SSC_CODE
Lower Boro,119.0,26.0,16.0,36.0,77.3,17.7,11.2,24.7,12402
New South Wales,4127723.0,1659250.0,709415.0,1103790.0,67.7,27.2,11.6,18.1,
Australia,13143914.0,5259400.0,2145203.0,3620726.0,69.0,27.6,11.3,19.0,
Oallen,75.0,17.0,18.0,28.0,63.0,13.7,14.1,23.0,13062
Braidwood,948.0,366.0,167.0,416.0,70.6,27.4,12.5,31.1,10547
Majors Creek (NSW),151.0,54.0,18.0,59.0,77.4,26.3,9.0,29.4,12452
Araluen (NSW),97.0,27.0,23.0,43.0,61.4,17.8,15.5,27.6,10070
Reidsdale,77.0,30.0,14.0,32.0,79.4,28.3,13.9,31.4,13348
Bombay,66.0,35.0,15.0,37.0,69.5,38.9,17.6,41.6,10456
Warri,69.0,39.0,10.0,25.0,85.2,46.4,12.3,31.2,14172
Manar,81.0,23.0,15.0,20.0,81.0,22.5,15.2,19.2,12462
Mongarlowe,65.0,15.0,17.0,35.0,60.2,14.0,15.3,31.5,12678
Karabar,4719.0,1894.0,821.0,1059.0,71.2,28.6,12.4,16.0,12071
Queanbeyan,3520.0,1253.0,514.0,800.0,65.8,23.5,9.6,15.0,13291
Crestwood,2668.0,968.0,355.0,601.0,69.7,25.3,9.3,15.7,11115
Queanbeyan East,2269.0,844.0,345.0,508.0,69.8,25.9,10.6,15.6,13292
Greenleigh,489.0,156.0,83.0,184.0,82.7,26.4,14.0,31.2,11767
The Ridgeway,99.0,37.0,22.0,39.0,68.8,25.3,15.4,27.7,13836
Bungendore,2573.0,1047.0,334.0,786.0,80.5,32.7,10.5,24.6,10684
Sutton (NSW),920.0,351.0,167.0,317.0,67.3,25.6,12.2,23.1,13702
Carwoola,921.0,326.0,144.0,304.0,78.0,27.4,12.2,25.8,10841
