,People,Male,Female,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied)
Abbotsbury,3848.0,1916.0,1932.0,3553.0,1213.0,4.0,976.0,1059.0
Abbotsford,4849.0,2301.0,2548.0,4269.0,1384.0,49.0,1397.0,2328.0
Acacia Gardens,1775.0,876.0,899.0,1617.0,487.0,6.0,488.0,540.0
Adamstown,4874.0,2352.0,2522.0,4561.0,511.0,15.0,1272.0,2350.0
Adamstown Heights,5209.0,2563.0,2646.0,4923.0,704.0,15.0,1614.0,2075.0
Airds,4105.0,1918.0,2187.0,3246.0,842.0,11.0,987.0,1279.0
Albion Park,10473.0,5207.0,5266.0,9576.0,1558.0,33.0,2881.0,3430.0
Albion Park Rail,7252.0,3562.0,3690.0,6490.0,1310.0,7.0,1997.0,2586.0
Alexandria,4200.0,2215.0,1985.0,3275.0,1083.0,37.0,1005.0,2267.0
Alfords Point,3565.0,1776.0,1789.0,3340.0,746.0,13.0,893.0,954.0
Allambie Heights,6748.0,3207.0,3541.0,6039.0,1699.0,54.0,1847.0,2485.0
Allawah,4343.0,2075.0,2268.0,3226.0,2241.0,54.0,1171.0,1916.0
Ambarvale,7554.0,3689.0,3865.0,6511.0,1814.0,14.0,1957.0,2381.0
Annandale,8111.0,3940.0,4171.0,6686.0,2114.0,117.0,1917.0,3972.0
Argenton,1282.0,623.0,659.0,1213.0,153.0,3.0,369.0,579.0
Arncliffe,9235.0,4541.0,4694.0,7849.0,3986.0,205.0,2312.0,3314.0
Artarmon,8082.0,3873.0,4209.0,6115.0,3228.0,141.0,2038.0,3842.0
Ashbury,3224.0,1588.0,1636.0,2827.0,1150.0,10.0,889.0,1134.0
Ashcroft,3267.0,1692.0,1575.0,2754.0,1104.0,6.0,805.0,1156.0
Ashfield,20346.0,9960.0,10386.0,14670.0,10049.0,335.0,4721.0,8762.0
Asquith,3070.0,1533.0,1537.0,2757.0,708.0,18.0,843.0,1143.0
Auburn,26467.0,13569.0,12898.0,20181.0,14378.0,244.0,6256.0,8651.0
Austinmer,2214.0,1068.0,1146.0,1984.0,323.0,9.0,603.0,904.0
Avoca Beach,4090.0,2057.0,2033.0,3692.0,518.0,33.0,1096.0,2143.0
Balgowlah,6183.0,2953.0,3230.0,5212.0,1612.0,77.0,1696.0,2887.0
Balgowlah Heights,3135.0,1538.0,1597.0,2764.0,784.0,33.0,891.0,1135.0
Balgownie,6181.0,3038.0,3143.0,5594.0,1354.0,13.0,1737.0,2372.0
Balmain,9010.0,4307.0,4703.0,7121.0,2591.0,176.0,2257.0,4655.0
Balmain East,1749.0,836.0,913.0,1428.0,479.0,36.0,460.0,934.0
Bangor,5672.0,2830.0,2842.0,5263.0,889.0,27.0,1518.0,1744.0
Banksia,3001.0,1509.0,1492.0,2561.0,1345.0,12.0,809.0,1034.0
Bankstown,25293.0,12499.0,12794.0,19969.0,13417.0,214.0,6330.0,8929.0
Bar Beach,1339.0,666.0,673.0,1163.0,158.0,14.0,300.0,718.0
Barden Ridge,3868.0,1952.0,1916.0,3623.0,615.0,13.0,1001.0,1059.0
Bardwell Park,2219.0,1102.0,1117.0,1995.0,778.0,19.0,615.0,861.0
Bardwell Valley,1914.0,947.0,967.0,1694.0,685.0,10.0,512.0,733.0
Barnsley,1835.0,940.0,895.0,1740.0,105.0,0.0,514.0,621.0
Barrack Heights,6397.0,3201.0,3196.0,5738.0,1675.0,10.0,1849.0,2422.0
Barrack Point,570.0,298.0,272.0,521.0,75.0,3.0,154.0,283.0
Bass Hill,8603.0,4274.0,4329.0,7770.0,2881.0,39.0,2229.0,3055.0
Bateau Bay,11139.0,5176.0,5963.0,10342.0,1228.0,14.0,3075.0,4752.0
Baulkham Hills,33462.0,16469.0,16993.0,30083.0,8968.0,199.0,9560.0,11723.0
Bayview,3135.0,1426.0,1709.0,2774.0,693.0,18.0,848.0,1284.0
Beacon Hill,5994.0,2958.0,3036.0,5338.0,1574.0,58.0,1711.0,2077.0
Beaconsfield,689.0,381.0,308.0,543.0,248.0,3.0,183.0,337.0
Beecroft,8514.0,4019.0,4495.0,7812.0,2131.0,72.0,2367.0,2928.0
Belfield,5679.0,2743.0,2936.0,4922.0,2349.0,33.0,1514.0,2110.0
Bella Vista,4459.0,2170.0,2289.0,4011.0,1538.0,36.0,1203.0,1334.0
Bellambi,4357.0,2137.0,2220.0,3822.0,868.0,0.0,1150.0,1789.0
Bellevue Hill,9574.0,4654.0,4920.0,7837.0,3263.0,179.0,2299.0,4432.0
Belmont,6023.0,2860.0,3163.0,5604.0,487.0,27.0,1683.0,2811.0
Belmont North,5429.0,2629.0,2800.0,5102.0,409.0,15.0,1560.0,2112.0
Belmont South,1133.0,560.0,573.0,1052.0,79.0,3.0,325.0,515.0
Belmore,12386.0,6223.0,6163.0,9584.0,6053.0,87.0,3082.0,4618.0
Belrose,7585.0,3553.0,4032.0,6925.0,1867.0,50.0,2110.0,2644.0
Bensville,1758.0,899.0,859.0,1635.0,171.0,8.0,484.0,601.0
Berala,7727.0,3909.0,3818.0,6307.0,4012.0,39.0,2001.0,2783.0
Berkeley,7483.0,3658.0,3825.0,6664.0,1887.0,15.0,2049.0,2794.0
Berkeley Vale,9383.0,4464.0,4919.0,8569.0,1004.0,19.0,2555.0,3436.0
Berowra,4321.0,2172.0,2149.0,3876.0,936.0,31.0,1191.0,1496.0
Berowra Heights,5126.0,2618.0,2508.0,4661.0,959.0,20.0,1506.0,1746.0
Beverley Park,2074.0,1036.0,1038.0,1838.0,634.0,12.0,563.0,781.0
Beverly Hills,8730.0,4192.0,4538.0,7465.0,3260.0,67.0,2420.0,3390.0
Bexley,17850.0,8587.0,9263.0,14867.0,7142.0,123.0,4571.0,6620.0
Bexley North,3911.0,1898.0,2013.0,3411.0,1463.0,9.0,1078.0,1496.0
Bidwill,4567.0,2160.0,2407.0,3723.0,993.0,10.0,1129.0,1440.0
