,People,Male,Female,Median age,Australian citizenship,People born overseas,Overseas visitors (excluded from people counts),Families,All private dwellings (including unoccupied),Average people per household,Median weekly household income,Median monthly mortgage repayment,Median weekly rent
Abbotsbury,4190.0,2080.0,2110.0,33.0,3943.0,1383.0,10.0,1108.0,1188.0,3.7,1603.0,1733.0,300.0
Abbotsford,4946.0,2377.0,2569.0,40.0,4089.0,1401.0,47.0,1323.0,2368.0,2.3,1472.0,2167.0,327.0
Acacia Gardens,3110.0,1512.0,1598.0,30.0,2732.0,1062.0,13.0,876.0,986.0,3.3,1746.0,2253.0,298.0
Adamstown,5267.0,2535.0,2732.0,36.0,4780.0,538.0,18.0,1333.0,2472.0,2.2,823.0,1300.0,180.0
Adamstown Heights,5190.0,2551.0,2639.0,42.0,4855.0,656.0,29.0,1523.0,2061.0,2.6,1115.0,1390.0,230.0
Airds,3742.0,1688.0,2054.0,23.0,3052.0,660.0,3.0,938.0,1238.0,3.1,503.0,867.0,120.0
Albion Park,11261.0,5592.0,5669.0,31.0,10328.0,1511.0,14.0,3107.0,3794.0,3.1,1184.0,1550.0,220.0
Albion Park Rail,6937.0,3355.0,3582.0,35.0,6206.0,1116.0,20.0,1929.0,2589.0,2.7,965.0,1339.0,200.0
Alexandria,5852.0,3091.0,2761.0,33.0,4386.0,1522.0,54.0,1384.0,3224.0,2.0,1690.0,2167.0,340.0
Alfords Point,3376.0,1692.0,1684.0,35.0,3201.0,724.0,6.0,902.0,950.0,3.7,2060.0,1780.0,405.0
Allambie Heights,6540.0,3122.0,3418.0,41.0,5839.0,1605.0,54.0,1758.0,2376.0,2.8,1314.0,2098.0,250.0
Allawah,4924.0,2338.0,2586.0,35.0,3693.0,2567.0,59.0,1321.0,2185.0,2.4,1025.0,1733.0,240.0
Ambarvale,7345.0,3577.0,3768.0,28.0,6340.0,1667.0,13.0,1962.0,2507.0,3.1,1020.0,1408.0,180.0
Annandale,8286.0,4025.0,4261.0,36.0,6778.0,1988.0,80.0,1958.0,3956.0,2.1,1673.0,2340.0,320.0
Argenton,1337.0,686.0,651.0,39.0,1227.0,135.0,4.0,369.0,561.0,2.4,678.0,1085.0,170.0
Arncliffe,8508.0,4281.0,4227.0,36.0,7189.0,3489.0,119.0,2113.0,3120.0,2.8,941.0,1924.0,220.0
Artarmon,8363.0,4064.0,4299.0,34.0,6380.0,3415.0,116.0,2165.0,3861.0,2.3,1578.0,2167.0,335.0
Ashbury,3242.0,1603.0,1639.0,39.0,2812.0,1055.0,20.0,876.0,1131.0,3.0,1352.0,2000.0,330.0
Ashcroft,3091.0,1527.0,1564.0,32.0,2599.0,1013.0,14.0,779.0,1134.0,2.9,602.0,1300.0,125.0
Ashfield,21260.0,10378.0,10882.0,35.0,14642.0,10585.0,305.0,5060.0,9287.0,2.3,1041.0,1733.0,245.0
