,People,Male,Female,Median age,Families,Average children per family,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Abbotsbury,4194.0,2080.0,2114.0,35.0,1128.0,2.0,1228.0,3.5,1971.0,2200.0,433.0,2.4
Abbotsford,4907.0,2481.0,2426.0,35.0,1040.0,1.6,2279.0,2.3,1793.0,2200.0,391.0,1.2
Acacia Gardens,3681.0,1816.0,1865.0,32.0,1014.0,1.9,1134.0,3.4,2217.0,2500.0,450.0,2.0
Adamstown,5642.0,2711.0,2931.0,35.0,1450.0,1.8,2592.0,2.3,1214.0,1950.0,270.0,1.5
Adamstown Heights,5174.0,2570.0,2604.0,41.0,1541.0,1.8,2078.0,2.6,1448.0,1950.0,315.0,1.8
Airds,3507.0,1584.0,1923.0,26.0,879.0,2.2,1211.0,2.9,544.0,1213.0,144.0,1.0
Albion Park,12872.0,6276.0,6596.0,33.0,3579.0,2.0,4382.0,3.0,1483.0,1993.0,310.0,2.0
Albion Park Rail,7003.0,3402.0,3601.0,37.0,1948.0,1.9,2641.0,2.7,1028.0,1733.0,255.0,1.8
Alexandria,7050.0,3649.0,3401.0,33.0,1740.0,1.5,3801.0,2.0,2075.0,2500.0,480.0,1.1
Alfords Point,3303.0,1666.0,1637.0,38.0,913.0,2.1,968.0,3.6,2496.0,2500.0,530.0,2.6
Allambie Heights,6742.0,3213.0,3529.0,41.0,1807.0,1.9,2449.0,2.8,1689.0,3000.0,325.0,1.8
Allawah,5367.0,2598.0,2769.0,35.0,1522.0,1.6,2255.0,2.5,1204.0,2000.0,360.0,1.3
Ambarvale,7213.0,3542.0,3671.0,31.0,1851.0,2.0,2494.0,3.0,1160.0,1733.0,250.0,1.6
Annandale,8974.0,4390.0,4584.0,35.0,2433.0,2.0,2990.0,3.1,1944.0,1923.0,365.0,2.1
Argenton,1370.0,689.0,681.0,40.0,397.0,1.7,601.0,2.4,810.0,1603.0,208.0,1.5
Arncliffe,8420.0,4236.0,4184.0,36.0,2130.0,2.0,2978.0,2.9,1251.0,2277.0,340.0,1.4
Artarmon,8642.0,4201.0,4441.0,34.0,2315.0,1.6,3921.0,2.4,1910.0,2500.0,460.0,1.2
Ashbury,3134.0,1531.0,1603.0,41.0,889.0,1.9,1106.0,3.0,1693.0,2500.0,443.0,1.7
Ashcroft,3308.0,1640.0,1668.0,32.0,799.0,2.1,1196.0,3.0,694.0,1647.0,150.0,1.3
