,People,Male,Female,Median age,Families,Average children per family for families with children,Average children per family for all families,All private dwellings,Average people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Abbotsbury,4253.0,0.488,0.512,38.0,1177.0,2.0,1.3,1266.0,3.5,2171.0,2167.0,505.0,2.5
Abbotsford,5373.0,0.47200000000000003,0.528,45.0,1532.0,1.6,0.6,2520.0,2.3,2006.0,2600.0,520.0,1.6
Acacia Gardens,3798.0,0.5,0.5,34.0,1070.0,1.8,1.2,1151.0,3.4,2378.0,2383.0,520.0,2.0
Adamstown,6044.0,0.48200000000000004,0.518,36.0,1541.0,1.8,0.7,2678.0,2.4,1404.0,1842.0,325.0,1.6
Adamstown Heights,5299.0,0.501,0.499,41.0,1532.0,1.8,0.8,2074.0,2.7,1770.0,2008.0,395.0,1.9
Airds,2926.0,0.456,0.544,30.0,715.0,2.1,1.2,1093.0,2.8,677.0,1200.0,178.0,1.1
Albion Park,13316.0,0.48200000000000004,0.518,35.0,3674.0,1.9,1.0,4604.0,3.0,1678.0,1950.0,385.0,2.1
Albion Park Rail,6918.0,0.488,0.512,40.0,1915.0,1.8,0.8,2696.0,2.6,1198.0,1700.0,320.0,1.9
Alexandria,8262.0,0.51,0.49,33.0,2062.0,1.5,0.3,4264.0,2.1,2421.0,2500.0,590.0,1.1
Alfords Point,3109.0,0.49,0.51,40.0,896.0,2.0,1.3,965.0,3.4,2622.0,2400.0,740.0,2.6
Allambie Heights,7009.0,0.48600000000000004,0.514,41.0,1829.0,1.9,1.0,2459.0,3.0,2229.0,2902.0,478.0,1.9
Allawah,5706.0,0.5,0.5,33.0,1571.0,1.6,0.6,2233.0,2.7,1494.0,1950.0,440.0,1.3
Ambarvale,7374.0,0.488,0.512,32.0,1989.0,2.0,1.1,2534.0,3.0,1287.0,1700.0,330.0,1.7
Annandale,9451.0,0.48100000000000004,0.519,37.0,2244.0,1.7,0.6,4324.0,2.3,2337.0,3000.0,540.0,1.3
Argenton,1351.0,0.503,0.49700000000000005,40.0,363.0,1.7,0.7,610.0,2.4,1002.0,1517.0,275.0,1.6
Arncliffe,10590.0,0.501,0.499,33.0,2604.0,1.9,0.8,3936.0,2.9,1657.0,2167.0,500.0,1.4
Artarmon,9523.0,0.488,0.512,35.0,2539.0,1.6,0.7,4062.0,2.5,2183.0,2483.0,541.0,1.2
Ashbury,3329.0,0.49700000000000005,0.503,42.0,915.0,1.8,1.1,1162.0,3.1,2157.0,2500.0,560.0,1.8
Ashcroft,3585.0,0.49,0.51,31.0,789.0,2.2,1.2,1228.0,3.1,887.0,1733.0,225.0,1.5
Ashfield,23841.0,0.494,0.506,34.0,5715.0,1.5,0.5,9731.0,2.5,1632.0,2058.0,440.0,1.2
Asquith,3376.0,0.48,0.52,39.0,933.0,1.8,0.9,1283.0,3.0,2029.0,2400.0,528.0,1.7
Auburn,37366.0,0.55,0.45,30.0,8314.0,2.1,1.0,11157.0,3.5,1240.0,1733.0,400.0,1.6
Austinmer,2560.0,0.485,0.515,41.0,678.0,1.9,0.9,1016.0,2.7,2031.0,2383.0,473.0,1.9
Avoca Beach,4584.0,0.498,0.502,41.0,1251.0,1.9,1.0,2248.0,2.8,1896.0,2167.0,440.0,2.0
Balgowlah,7961.0,0.48100000000000004,0.519,39.0,2167.0,1.7,0.8,3440.0,2.5,2261.0,3000.0,580.0,1.5
Balgowlah Heights,3342.0,0.48600000000000004,0.514,41.0,887.0,2.0,1.3,1117.0,3.2,3726.0,4292.0,1100.0,2.0
Balgownie,5525.0,0.48100000000000004,0.519,43.0,1576.0,1.8,0.8,2218.0,2.6,1558.0,2167.0,375.0,1.9
Balmain,10453.0,0.48,0.52,40.0,2637.0,1.7,0.6,5009.0,2.3,2550.0,3000.0,600.0,1.2
Balmain East,1932.0,0.49100000000000005,0.509,43.0,524.0,1.8,0.5,981.0,2.2,2485.0,3500.0,580.0,1.3
Bangor,5568.0,0.49600000000000005,0.504,42.0,1604.0,1.9,1.0,1888.0,3.0,2289.0,2500.0,598.0,2.3
Banksia,3388.0,0.495,0.505,38.0,920.0,1.8,0.9,1186.0,3.0,1685.0,2383.0,480.0,1.6
Bankstown,32113.0,0.493,0.507,32.0,7809.0,1.9,1.0,11155.0,3.1,1120.0,1733.0,400.0,1.5
Bar Beach,1256.0,0.54,0.46,39.0,272.0,2.0,0.6,649.0,2.1,1719.0,2435.0,300.0,1.5
Barden Ridge,4329.0,0.493,0.507,37.0,1156.0,2.1,1.4,1247.0,3.5,2772.0,2383.0,615.0,2.6
Bardwell Park,2242.0,0.49200000000000005,0.508,41.0,618.0,1.8,0.9,835.0,2.9,1992.0,2257.0,500.0,1.7
Bardwell Valley,2323.0,0.478,0.522,40.0,627.0,1.9,1.0,864.0,2.9,1684.0,2288.0,490.0,1.8
Barnsley,1747.0,0.5,0.5,36.0,494.0,1.8,0.9,634.0,2.8,1402.0,1700.0,340.0,2.2
Barrack Heights,5900.0,0.48600000000000004,0.514,40.0,1692.0,1.8,0.8,2427.0,2.6,1088.0,1647.0,320.0,1.8
Barrack Point,689.0,0.505,0.495,45.0,171.0,2.0,0.8,305.0,2.5,1342.0,2167.0,340.0,2.0
Bass Hill,9069.0,0.493,0.507,34.0,2236.0,2.2,1.2,3001.0,3.2,1225.0,2080.0,380.0,1.9
Bateau Bay,12146.0,0.469,0.531,44.0,3238.0,1.8,0.8,5122.0,2.5,1245.0,1820.0,340.0,1.8
Baulkham Hills,37050.0,0.49,0.51,38.0,10451.0,1.8,1.0,12895.0,3.0,2107.0,2300.0,520.0,1.9
Bayview,3620.0,0.459,0.541,56.0,933.0,1.8,0.6,1672.0,2.3,1476.0,3000.0,500.0,1.8
Beacon Hill,7457.0,0.5,0.5,40.0,2044.0,1.9,1.1,2403.0,3.2,2369.0,2900.0,736.0,2.1
Beaconsfield,987.0,0.522,0.478,34.0,251.0,1.6,0.4,454.0,2.3,2330.0,2455.0,623.0,1.3
Beecroft,9396.0,0.474,0.526,43.0,2621.0,1.9,1.0,3190.0,3.1,2598.0,3000.0,595.0,2.0
Belfield,6322.0,0.484,0.516,39.0,1677.0,1.9,1.0,2282.0,2.9,1440.0,2378.0,430.0,1.7
Bella Vista,7837.0,0.494,0.506,38.0,2134.0,1.9,1.2,2321.0,3.5,2942.0,2700.0,710.0,2.4
Bellambi,3947.0,0.484,0.516,40.0,1039.0,1.8,0.7,1787.0,2.4,924.0,1842.0,215.0,1.4
