ss,low_income,high_income,p_income,f_income,h_income,chinese_p,owner,mortgage,rent,rental,rent_distress,repay,repay_distress,house,semi,unit,ssc,POA_CODE_2016
Lilli Pilli,19.4,8.8,599,1359,1260,0,56.4,26.7,14.4,330,3.1,1400,5.8,96.2,2.6,0,12322,2229
Darlington,17.4,14,662,1812,1437,1.1,30.1,37.8,29.4,270,8.8,1690,5.3,76.4,21.5,2.1,11214,2008
Silverwater,23.7,11.8,553,1575,1160,0,37.4,35.5,23.4,345,10.1,1842,7.1,97.1,2.9,0,13547,2128
Baulkham Hills,10.8,29.3,794,2269,2107,12.4,34.6,42.9,20.3,520,7,2300,9.7,74.8,15.3,9.6,10233,2153
Bella Vista,7.2,49.1,842,2873,2942,13,37.2,49.1,11.9,710,4.1,2700,11.6,83.3,16.6,0,10263,2153
Glenhaven,11.2,37.4,797,2531,2259,2.1,42.2,38.4,6.4,650,2.1,2685,7.2,78.1,17.3,4.6,11667,2156
Castle Hill,12.4,34.3,787,2410,2219,12.5,35.6,38.9,19.8,555,7.3,2500,8.8,74.6,12.3,12.9,10847,2154
West Pennant Hills,9.3,44.6,875,2830,2675,15.9,43.7,42.5,11.1,590,3.8,2750,9.1,91.1,7.2,1.6,14249,2125
Cherrybrook,9.8,39.1,768,2599,2443,15.299999999999999,40.1,43.1,14.1,650,4.2,2500,8.7,80.7,15.9,3.1,10898,2126
Kellyville,7,39.9,889,2587,2564,7.8,24.5,55.7,17.6,630,5.5,2600,12.9,90.8,7.4,1.3,12088,2155
Rouse Hill,8.2,34.9,881,2506,2401,3.2,20.3,54.5,20.7,595,7.8,2600,12.8,59.5,33.7,3.6,13429,2155
Blacktown,17.9,12,615,1565,1459,0,24.2,31.9,39.8,380,15.7,1900,8.4,68.3,16.3,15,10397,2148
Kings Park,11.6,16.8,835,2031,1904,1.8,26.8,50.7,20.5,430,7.3,2129,12.2,92.7,7.3,0,12150,2148
Woodcroft,8.7,29.4,784,2221,2270,0,24.8,55.4,16.8,440,5.7,2167,12.2,80.9,19,0,14381,2767
Seven Hills,19.3,16,645,1721,1551,2.4,30.3,34.7,31.4,380,11.3,2058,7.8,87.3,10.6,1.3,13518,2147
Toongabbie,15.4,17.5,673,1848,1729,2.8,28.9,37.9,30.2,400,10.5,2000,9.6,65.6,24.2,9.3,13907,2146
Glenwood,6.8,35.6,785,2418,2476,2.6,22.4,56.8,19.1,570,6.1,2400,11.9,96.9,2.9,0.1,11682,2768
Stanhope Gardens,11.2,32.4,882,2405,2291,2.9,21.6,56.2,19.3,575,6.7,2500,13.1,85.6,14.2,0.1,13649,2768
Riverstone,15.9,17.8,707,1807,1667,0,26.6,38,31.9,400,13.4,2191,9.8,93.3,3.3,0.3,13368,2765
Hebersham,22.6,8,493,1319,1237,0,24,30.9,40.3,320,17.4,1600,8.1,93.1,5.2,1.5,11886,2770
Dharruk,19.4,7.7,521,1293,1281,0,27.3,38.6,30,325,11.2,1555,10.6,97.9,1.3,0,11248,2770
Blackett,27.9,6,478,1085,1018,0,21.7,24.7,49.4,294,20.3,1523,7.1,89.6,9,1.4,10392,2770
Emerton,28.8,6.1,484,1226,1072,0,20.3,23.9,52.4,310,21.5,1500,3.8,78.5,13.3,8.2,11413,2770
Dean Park,14.7,12.3,638,1733,1600,0,23.9,47.5,25.7,400,10.7,1788,12.3,95.9,3.8,0.3,11224,2761
Plumpton,10.2,19.3,685,1855,1880,0,18.6,54.9,23,400,8.7,2000,14.4,84.2,15.4,0,13230,2761
Hassall Grove,9.8,14.8,680,1727,1718,0,17.9,53.8,26.5,400,10.6,1950,13.9,96.6,3,0,11866,2761
Willmot,30.9,5.5,423,929,886,0,20.5,18.4,57.7,280,25.5,1465,4.6,87.4,9.4,3.2,14302,2770
Tregear,29.3,5.1,454,1077,947,0,16.9,16.5,60.5,290,26,1473,5,88.4,2.9,7.2,13934,2770
Lethbridge Park,30.1,5.5,473,1079,959,0,18.1,22.4,54.2,290,21.8,1500,5.2,89.4,3.2,6.6,12307,2770
Mount Druitt,20.2,8,500,1342,1268,0,18.5,29.8,48.2,350,23,1733,9,45.2,28.4,25.7,12756,2770
Eastern Creek,14.6,9.6,651,1657,1613,0,24.5,39.2,33.1,380,10.4,1763,8.8,94.6,5.4,0,11366,2766
Minchinbury,9.8,22.5,724,1962,2002,0,26.9,52.5,18.3,420,6.5,2156,12.2,94.8,1.8,3.2,12633,2770
Rooty Hill,12.8,16.2,638,1814,1766,0,24.6,43,29.2,400,9.9,2000,10.5,78.7,19.5,1.2,13395,2766
Botany,14.2,26.6,900,2290,2028,3.9,23.4,39.9,33.4,520,13.6,2600,10.4,32.5,26.1,39.7,10517,2019
Mascot,15.4,26.1,806,2103,1955,14.6,21.1,28.4,47.5,610,19.6,2490,8.1,31.9,6.4,60.7,12519,2020
Eastlakes,32.4,9.3,495,1384,1051,4.6,23.9,20,51.1,400,25.1,2000,6.3,27,2.4,70.3,11368,2018
Rosebery,16.1,23.1,811,2154,1891,14.5,25.9,28.6,42.4,580,18.9,2200,8.1,33.3,6.2,57.7,13405,2018
Pagewood,20.1,29,731,2286,1870,5.9,38.1,33.4,24.4,420,9.8,2795,7.5,74.9,10.7,14.2,13125,2035
Daceyville,56.3,8.6,400,1010,498,2.6,9.8,8.1,75.6,130,35.8,2550,0.6,15.5,67.1,17.4,11185,2032
Matraville,20.7,24.7,701,2083,1713,7.7,32.7,29.9,34,435,14.4,2500,8.1,47.9,31,20.7,12524,2036
Marrickville,16.3,23.8,793,2096,1814,1.7,24.2,27,45.2,450,16.7,2383,5.8,32.4,20.2,45.2,12504,2204
Petersham,13.6,29.9,1017,2647,1966,1.8,18.6,28.6,49.4,440,18.3,2600,5.6,22.4,27.8,46.7,13190,2049
Newtown,13.5,30.5,1067,2694,2080,3.9000000000000004,15.8,22.7,58.4,520,22.6,2600,4,4.2,54,38.9,12960,2042
Lewisham,15.9,28.5,927,2612,1974,1.8,23,29.1,44.6,470,17.8,2510,6.1,37.5,18.7,40.9,12313,2049
Stanmore,11.3,32.9,1067,2656,2179,1.6,22.7,28.4,45.3,500,15.2,2600,5,19.1,39.7,37.6,13650,2048
