Suburb_Code,Suburb_Name,State_Code,State_Name
11006,Abbotsbury,1,New South Wales
11011,Abbotsford,1,New South Wales
11016,Acacia Gardens,1,New South Wales
11021,Airds,1,New South Wales
11026,Alexandria,1,New South Wales
11031,Alfords Point,1,New South Wales
11036,Allambie Heights,1,New South Wales
11041,Allawah,1,New South Wales
11046,Ambarvale,1,New South Wales
11051,Annandale,1,New South Wales
11056,Arncliffe,1,New South Wales
11061,Artarmon,1,New South Wales
11066,Ashbury,1,New South Wales
11071,Ashcroft,1,New South Wales
11076,Ashfield,1,New South Wales
11081,Asquith,1,New South Wales
11086,Auburn,1,New South Wales
11091,Avalon,1,New South Wales
11096,Balgowlah,1,New South Wales
11101,Balgowlah Heights,1,New South Wales
11106,Balmain,1,New South Wales
11111,Balmain East,1,New South Wales
11116,Bangor,1,New South Wales
11121,Banksia,1,New South Wales
11126,Bankstown,1,New South Wales
11131,Barden Ridge,1,New South Wales
11136,Bardwell Park,1,New South Wales
11141,Bardwell Valley,1,New South Wales
11146,Bass Hill,1,New South Wales
11151,Baulkham Hills,1,New South Wales
11156,Bayview,1,New South Wales
11161,Beacon Hill,1,New South Wales
11166,Beaconsfield,1,New South Wales
11171,Beecroft,1,New South Wales
11176,Belfield,1,New South Wales
11181,Bella Vista,1,New South Wales
11186,Bellevue Hill,1,New South Wales
11191,Belmore,1,New South Wales
11196,Belrose,1,New South Wales
11201,Berala,1,New South Wales
11206,Berowra,1,New South Wales
11211,Berowra Heights,1,New South Wales
11216,Beverley Park,1,New South Wales
11221,Beverly Hills,1,New South Wales
11226,Bexley,1,New South Wales
11231,Bexley North,1,New South Wales
11236,Bidwill,1,New South Wales
11241,Bilgola,1,New South Wales
11246,Birchgrove,1,New South Wales
11251,Birrong,1,New South Wales
11256,Blackett,1,New South Wales
11261,Blacktown,1,New South Wales
11266,Blairmount,1,New South Wales
11271,Blakehurst,1,New South Wales
11276,Blaxland,1,New South Wales
11281,Bondi,1,New South Wales
11286,Bondi Beach,1,New South Wales
11291,Bondi Junction,1,New South Wales
11296,Bonnet Bay,1,New South Wales
11301,Bonnyrigg,1,New South Wales
11306,Bonnyrigg Heights,1,New South Wales
11311,Bossley Park,1,New South Wales
11316,Botany,1,New South Wales
11321,Bow Bowing,1,New South Wales
11326,Bradbury,1,New South Wales
11336,Brighton Le Sands,1,New South Wales
11341,Bronte,1,New South Wales
11346,Brookvale,1,New South Wales
11351,Burwood,1,New South Wales
11356,Burwood Heights,1,New South Wales
11361,Busby,1,New South Wales
11366,Cabarita,1,New South Wales
11371,Cabramatta,1,New South Wales
11376,Cabramatta West,1,New South Wales
11381,Cambridge Gardens,1,New South Wales
11386,Cambridge Park,1,New South Wales
11391,Camden,1,New South Wales
11396,Camden South,1,New South Wales
11401,Cammeray,1,New South Wales
11406,Campbelltown,1,New South Wales
11411,Camperdown,1,New South Wales
11416,Campsie,1,New South Wales
11421,Canada Bay,1,New South Wales
11426,Canley Heights,1,New South Wales
11431,Canley Vale,1,New South Wales
11436,Canterbury,1,New South Wales
11441,Caringbah,1,New South Wales
11446,Carlingford,1,New South Wales
