"RA_2006_CODE","RA_2006_NAME","SSC_2006_CODE","SSC_2006_NAME","RATIO","PERCENT"
"10","Major Cities of Australia","11003","Abbotsbury",1,100
"10","Major Cities of Australia","11005","Abbotsford",1,100
"10","Major Cities of Australia","11007","Acacia Gardens",1,100
"10","Major Cities of Australia","11009","Airds",1,100
"10","Major Cities of Australia","11011","Alexandria",1,100
"10","Major Cities of Australia","11013","Alfords Point",1,100
"10","Major Cities of Australia","11015","Allambie Heights",1,100
"10","Major Cities of Australia","11017","Allawah",1,100
"10","Major Cities of Australia","11019","Ambarvale",1,100
"10","Major Cities of Australia","11021","Annandale",1,100
"10","Major Cities of Australia","11023","Arncliffe",1,100
"10","Major Cities of Australia","11025","Artarmon",1,100
"10","Major Cities of Australia","11027","Ashbury",1,100
"10","Major Cities of Australia","11029","Ashcroft",1,100
"10","Major Cities of Australia","11031","Ashfield",1,100
"10","Major Cities of Australia","11033","Asquith",1,100
"10","Major Cities of Australia","11035","Auburn",1,100
"10","Major Cities of Australia","11037","Avalon",1,100
"10","Major Cities of Australia","11039","Balgowlah",1,100
"10","Major Cities of Australia","11041","Balgowlah Heights",1,100
"10","Major Cities of Australia","11043","Balmain",1,100
"10","Major Cities of Australia","11045","Balmain East",1,100
"10","Major Cities of Australia","11047","Bangor",1,100
"10","Major Cities of Australia","11049","Banksia",1,100
"10","Major Cities of Australia","11051","Banksmeadow",1,100
"10","Major Cities of Australia","11053","Bankstown",1,100
"10","Major Cities of Australia","11055","Barden Ridge",1,100
"10","Major Cities of Australia","11057","Bardwell Park",1,100
"10","Major Cities of Australia","11059","Bardwell Valley",1,100
"10","Major Cities of Australia","11061","Bass Hill",1,100
"10","Major Cities of Australia","11063","Baulkham Hills",1,100
"10","Major Cities of Australia","11065","Bayview",1,100
"10","Major Cities of Australia","11067","Beacon Hill",1,100
"10","Major Cities of Australia","11069","Beaconsfield",1,100
"10","Major Cities of Australia","11071","Beaumont Hills",1,100
