"address","lon","lat"
"Level 11, 501 George Street, Sydney, Nsw 2000, Sydney NSW 2000",151.206424,-33.8746231
"Level 2 Park House 187 Macquarie St, Sydney NSW 2000",151.2122081,-33.8669701
"No 2 Martin Pl, Sydney NSW 2000",151.2073914,-33.8672142
"Suite 3, Level 7, 139-141 Macquarie St, Sydney, Sydney NSW 2000",151.2123835,-33.8644787
"2 Martin Pl, Sydney NSW 2000",151.2073914,-33.8672142
"321 Kent St, Sydney NSW 2000",151.2038853,-33.8675124
"Lvl 13 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"308 George St, Sydney NSW 2000",151.2074121,-33.8658257
"195 Maquarie St, Sydney NSW 2000",151.2120209,-33.8671673
"Lvl 7/ 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"82 Elizabeth St, Sydney NSW 2000",151.2108132,-33.8687847
"Lvl 8 309 Pitt St, Sydney NSW 2000",151.207758,-33.873772
"Level 14 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Genea Day Surgery 321 Kent St, Sydney NSW 2000",151.203803,-33.867668
"Level 4 321 Kent St, Sydney NSW 2000",151.2039087,-33.8673031
"Level 3 321 Kent St, Sydney NSW 2000",151.203803,-33.867668
"Suite 1002 Level 10 37 Bligh St, Sydney NSW 2000",151.209886,-33.8658536
"Suite 1001 Level 10 37 Bligh St, Sydney NSW 2000",151.209886,-33.8658536
"Suite 23, Level 6, Park House,, Sydney NSW 2000",151.2076605,-33.8727057
"Level 11 187 Macquarie St, Sydney NSW 2000",151.2120706,-33.8669778
"Mezzanine Level, Kyle House 27-31 Macquarie Place, Sydney NSW 2000",NA,NA
"231 Macquarie St, Sydney NSW 2000",151.2118192,-33.8685722
"Ste 1/Grnd Flr/ 229-231 Macquarie St, Sydney NSW 2000",151.2118099,-33.8685791
"Dymocks Building Level 7 428 George St, Sydney NSW 2000",151.2073756,-33.8699387
"60 Park St, Sydney NSW 2000",151.2096951,-33.8730607
"580 George St, Sydney NSW 2000",151.2068292,-33.8757147
"Level 1 70 Pitt St, Sydney NSW 2000",151.2038129,-33.8919312
"Level 1 33 York St, Sydney NSW 2000",151.2055071,-33.8661804
"Level 5 31 Market St, Sydney NSW 2000",151.2471613,-33.9049969
"Ground Floor, 309 Pitt St, Town Hall, Sydney NSW 2000",151.2077637,-33.8737704
"260 Castlereagh St, Sydney NSW 2000",151.2088698,-33.8759265
"Level 32/ 60 Margaret St, Sydney NSW 2000",151.2068173,-33.8647516
"Suite 504 Level 5 37 Bligh St, Sydney NSW 2000",151.209886,-33.8658536
"Ground floor 195 Macquarie St, Sydney NSW 2000",151.2120209,-33.8671673
"Level 12 Suite 1208 370 Pitt St, Sydney NSW 2000",151.2040818,-33.8902793
"Level 9 / 17 Castlereagh St, Sydney NSW 2000",151.2095127,-33.8670193
"92 Pitt Street, Inside Cbd Pharmacy 92 Pitt St, Sydney NSW 2000",151.2086388,-33.8670994
