"Name","Line","lon","lat"
"Abbotsford","C3",151.1281712,-33.8436713
"Balmain","C4",151.186356,-33.854717
"Balmain East","C5",151.1961761,-33.856804
"Barangaroo","D5",151.200621,-33.8642274
"Birchgrove","C4",151.1863357,-33.8464548
"Cabarita","C3",151.1164867,-33.8409541
"Chiswick","C3",151.1417704,-33.845548
"Circular Quay","D5",151.2097834,-33.8610965
"Cockatoo Island","C4",151.1732386,-33.8455932
"Cremorne Point","C6",151.2305175,-33.8409076
"Darling Harbour","D5",151.2011641,-33.8696742
"Darling Point","C7",151.2395019,-33.8664563
"Double Bay","C7",151.2425757,-33.8733419
"Drummoyne","C4",151.1570899,-33.845482
"Garden Island","C6",151.2299208,-33.8581277
"Greenwich Point","C4",151.1807993,-33.842093
"Huntleys Point","C3",151.142242,-33.841923
"Kirribilli","C5",151.2202876,-33.8493586
"Kissing Point","C2",151.1019844,-33.8316891
"Kurraba Point","C6",151.2218312,-33.8434313
"Manly","A8",151.2838539,-33.8005196
"McMahons Point Point","C5",151.2062904,-33.8486486
"Meadowbank","C2",151.0898749,-33.8211444
"Milsons Point","C5",151.2107318,-33.8494621
"Mosman Bay","B6",151.2323297,-33.8384667
"Neutral Bay","B6",151.2192931,-33.84232
"North Sydney","B5",151.2187213,-33.8449615
"Old Cremorne","B6",151.2305175,-33.8409076
"Parramatta","C2",151.0102809,-33.8138283
"Pyrmont Bay","D5",151.1976548,-33.8692033
"Rose Bay","C7",151.262143,-33.8706473
"Rydalmere","C2",151.0437473,-33.8179825
"South Mosman","C6",151.2325997,-33.8432776
"Sydney Olympic Park","C2",151.0791172,-33.8222288
"Taronga Zoo","C7",151.241913,-33.8430217
"Watsons Bay","C8",151.281023,-33.8434316
"Woolwich","C4",151.1760366,-33.8387498
