"Name","Line","lon","lat"
"Arlington","D2",151.1381626,-33.9018296
"Capitol Square","B8",151.2056445,-33.8797449
"Central","B8",151.2066803,-33.8823829
"Convention","B7",151.1981325,-33.872602
"Dulwich Grove","D2",151.1391056,-33.9050145
"Dulwich Hill","D2",151.1391056,-33.9050145
"Exhibition Centre","B7",151.199694,-33.8771738
"Fish Market","A6",151.1924885,-33.8708835
"Glebe","B6",151.1787542,-33.8753523
"Hawthorne","B2",151.147308,-33.879341
"John Street Square","A6",151.1920542,-33.8674847
"Jubilee Park","B5",151.1787542,-33.8753523
"Leichhardt North","B3",151.154489,-33.8749891
"Lewisham West","C2",151.1436131,-33.8936522
"Lilyfield","B4",151.1649158,-33.8741622
"Marion","C2",151.1451577,-33.8838531
"Paddy's Markets","B8",151.2027377,-33.8792408
"Pyrmont Bay","A7",151.1976548,-33.8692033
"Rozelle Bay","B4",151.172699,-33.8718097
"Taverners Hill","C2",151.1452071,-33.8891828
"The Star","A7",151.1952268,-33.8673788
"Waratah Mills","C2",151.140167,-33.8988158
"Wentworth Park","B6",151.1940978,-33.8744187
