"Name","Code","Image","Served by","Railway line(s)","Distance fromCentral Station (km)[2][3][4][5][6][7][8][9][10][11][12]","Date opened","Previous name(s)","Interchanges","lon","lat"
"Allawah","ALW",NA,"T4","Illawarra","13.690","25 October 1925","",NA,151.1145487,-33.96973
"Arncliffe","ARN",NA,"T4","Illawarra","8.420","15 October 1884","",NA,151.1471044,-33.9368139
"Artarmon","ATM",NA,"T1","North Shore","10.300","6 July 1898
(original site),
7 October 1900
(present site)","",NA,151.1851338,-33.8088462
"Ashfield","ASH",NA,"T2","Main Suburban","8.380","26 September 1855","",NA,151.1257964,-33.8876216
"Asquith","ASQ",NA,"T1","Main Northern","35.690","1 November 1915","",NA,151.1081745,-33.6887073
"Auburn","AUB",NA,"T1


T2","Main Suburban","18.630","18 February 1877","",NA,151.0329196,-33.8492228
"Banksia","BAN",NA,"T4","Illawarra","9.600","21 October 1906","",NA,151.140458,-33.94519
"Bankstown","BNK",NA,"T3","Bankstown","18.720","14 April 1909","",NA,151.0341437,-33.9178532
"Bardwell Park","BPK",NA,"T2","East Hills","10.100","21 September 1931","",NA,151.1253131,-33.9313462
"Beecroft","BCF",NA,"T1","Main Northern","26.900","17 September 1886
(original site)
7 March 1892
(present site)","",NA,151.0666703,-33.7494775
"Belmore","BMR",NA,"T3","Bankstown","13.250","1 February 1895","",NA,151.0883315,-33.917181
"Berala","BAA",NA,"T3","Main South","18.360","11 November 1912","",NA,151.0324957,-33.8716223
"Berowra","BEW",NA,"T1","Main Northern","44.660","7 April 1887","","NSW TrainLink intercity trains",151.1529859,-33.6233665
"Beverly Hills","BVH",NA,"T2","East Hills","14.650","21 September 1931","Dumbleton (1931–1940)",NA,151.0810102,-33.9490886
"Bexley North","BXN",NA,"T2","East Hills","11.370","21 September 1931","",NA,151.1136524,-33.9374584
"Birrong","BRG",NA,"T3","Bankstown","22.110","16 July 1928","",NA,151.0239787,-33.8928869
"Blacktown","BAK",NA,"T1


T5","Main WesternRichmond","34.870","4 July 1860","Blacktown Road (1860–1862)","Major InterchangeNSW TrainLink intercity trains",150.9074192,-33.768589
"Bondi Junction","BJN",NA,"T4","Eastern Suburbs","6.760","23 June 1979","",NA,151.2484687,-33.8910387
"Burwood","BUW",NA,"T1


T2","Main Suburban","10.620","26 September 1855
(original site)
13 March 1892
(present site)","",NA,151.103898,-33.8770228
"Cabramatta","CAB",NA,"T2


T3


T5","Main South","28.430","1870","",NA,150.9388232,-33.8947601
"Camellia","CEL",NA,"T6","Carlingford","22.950","21 January 1885","Subiaco
(1885–1901)",NA,151.0240696,-33.8189516
"Campbelltown","CTN",NA,"T2


T5","Main South","54.710","17 May 1858","","Major InterchangeNSW TrainLink intercity and regional trains, buses",150.8145699,-34.0634601
"Campsie","CMP",NA,"T3","Bankstown","11.700","1 February 1895","",NA,151.1029853,-33.9104043
"Canley Vale","CVE",NA,"T2


T5","Old Main South","30.980","15 April 1878","",NA,150.9434962,-33.8873656
"Canterbury","CTB",NA,"T3","Bankstown","10.160","1 February 1895","",NA,151.1189744,-33.9120653
"Caringbah","CIH",NA,"T4","Cronulla","31.510","16 December 1939","",NA,151.1221247,-34.041611
"Carlingford","CGF",NA,"T6","Carlingford","27.850","20 April 1896","Pennant Hills
(1896–1901)",NA,151.0471415,-33.782135
"Carlton","CLJ",NA,"T4","Illawarra","12.740","1889","",NA,151.1243625,-33.9682746
