"Name","Region","lon","lat"
"Broadway Shopping Centre"," Sydney CBD",151.1939445,-33.8836298
"Capitol Square","Sydney CBD",151.205747,-33.879454
"Central Park"," Sydney",151.2005557,-33.8846095
"The Galeries Victoria","Sydney CBD",151.2076174,-33.8725518
"Harbourside Shopping Centre","Sydney CBD",151.198867,-33.871968
"MetCentre","Sydney CBD",151.2068173,-33.8647516
"Mid City Centre","Sydney CBD",151.2075451,-33.8696277
"MLC Centre","Sydney CBD",151.2090293,-33.8687636
"Queen Victoria Building (QVB)","Sydney CBD",151.2067078,-33.871722
"Soul Pattinson Building","Sydney CBD",151.2084156,-33.8694874
"Stockland Glasshouse","Sydney CBD",151.2087416,-33.869167
"Stockland Piccadilly","Sydney CBD",151.208281,-33.8715317
"The Strand Arcade","Sydney CBD",151.2076775,-33.8694348
"Westfield Sydney","Sydney CBD",151.208984,-33.8700822
"World Square","Sydney CBD",151.2068788,-33.8771813
"Auburn Central"," Auburn",151.0323063,-33.8507379
"Bankstown Central"," Bankstown",151.0384083,-33.9162285
"Bass Hill Plaza"," Bass Hill",150.99337,-33.899699
"Birkenhead Point Outlet Centre"," Drummoyne",151.1622828,-33.856006
"Burwood Plaza"," Burwood",151.102556,-33.8775665
"Carlingford Court"," Carlingford",151.0523454,-33.7769852
"Castle Towers"," Castle Hill",151.0053721,-33.7304839
"Casula Mall"," Casula",150.899674,-33.948068
"Chatswood Chase"," Chatswood",151.1860217,-33.7941762
"Chatswood Interchange"," Chatswood",151.1811997,-33.7971906
"Chatswood Mall"," Chatswood",151.1841106,-33.7968921
"Eastgate Bondi Junction"," Bondi Junction",151.2478647,-33.8928745
"Eastwood Shopping Centre"," Eastwood",151.0807817,-33.792412
"Hurstville Central"," Hurstville",151.1026053,-33.9674044
"Lidcombe Shopping Centre"," Lidcombe",151.0488042,-33.8494164
"Macarthur Square"," Campbelltown",150.797835,-34.074829
"Macquarie Centre"," Macquarie Park/North Ryde",151.1204625,-33.7768102
"North Rocks Shopping Centre (formerly Westfield North Rocks)"," North Rocks",151.0283822,-33.7689456
"Rhodes Waterside"," Rhodes",151.0851668,-33.8350723
"Rockdale Plaza"," Rockdale",151.1399434,-33.9577496
"Roselands Shopping Centre"," Roselands",151.069044,-33.935057
"Rouse Hill Town Centre"," Rouse Hill",150.9261401,-33.6903678
"Southgate Shopping Centre"," Sylvania",151.1033822,-34.0103501
"St Ives Shopping Village"," St Ives",151.1586872,-33.7297495
"Strathfield Plaza"," Strathfield",151.093171,-33.873032
"Stockland Balgowlah"," Balgowlah",151.2648486,-33.7934332
"Stockland Baulkham Hills"," Baulkham Hills",150.9915523,-33.7588989
"Stockland Merrylands"," Merrylands",150.9892875,-33.8346522
"Stockland Wetherill Park"," Wetherill Park",150.8987778,-33.8587829
"Top Ryde City"," Ryde",151.1060215,-33.812182
"Warriewood Square"," Warriewood",151.29559,-33.69583
"Westfield Bondi Junction"," Bondi Junction",151.2507132,-33.8921302
"Westfield Burwood"," Burwood",151.1058779,-33.874692
"Westfield Chatswood"," Chatswood",151.1841106,-33.7968921
"Westfield Eastgardens"," Eastgardens",151.2243306,-33.9448563
"Westfield Hornsby"," Hornsby",151.100281,-33.7049459
"Westfield Hurstville"," Hurstville",151.1051846,-33.9661934
"Westfield Liverpool"," Liverpool",150.923629,-33.91941
"Westfield Miranda"," Miranda",151.100356,-34.035057
"Westfield Mount Druitt"," Mount Druitt",150.820001,-33.767311
"Westfield Parramatta"," Parramatta",151.0013298,-33.8174945
"Westfield Penrith"," Penrith",150.692457,-33.751239
"Westfield Warringah Mall"," Brookvale",151.265968,-33.767719
"Westpoint Blacktown"," Blacktown",150.9059427,-33.7703519
