"address","lon","lat"
"Shop 3/ 66 Queen St, St Marys NSW 2760",150.7747601,-33.7644787
"60A Avenue Rd, Mosman NSW 2088",151.2385406,-33.8316793
"220 Glenmore Rd, Paddington NSW 2021",151.2277929,-33.8819446
"Shop 1 110 Cumberland St, The Rocks NSW 2000",151.206996,-33.8599735
"Cnr Park and George Street, Sydney NSW 2000",151.207043,-33.8729583
"1 Crystal St, Waterloo NSW 2017",151.212951,-33.897654
"17-19 Aurelia St, Toongabbie NSW 2146",150.949288,-33.787581
"61-79 Henry Street (Cr. Lawson St.), Penrith NSW 2750",150.7002896,-33.7529096
"492 High St, Penrith NSW 2750",150.6954534,-33.7533497
"642A King St, Newtown NSW 2042",151.1811162,-33.9054732
"642A King St, Newtown NSW 2042",151.1811162,-33.9054732
"74B Old Bells Line Of Rd, Kurrajong NSW 2758",150.6665307,-33.5534713
"76 Gymea Bay Rd, Gymea NSW 2227",151.0851268,-34.0363793
"St Leonards Parcel Lockers 2 Herbert St, St Leonards NSW 2065",151.191771,-33.819382
"Level 1, Building A 11 Talavera Rd, North Ryde NSW 2113",151.1296423,-33.7821305
"79 King Georges Rd, Wiley Park NSW 2195",151.0676821,-33.9223566
"69 York Rd, Penrith NSW 2750",150.6872113,-33.7689261
"3/ 17 Greek St, Glebe NSW 2037",151.1939731,-33.8826638
"20-30 Blamey St, Revesby NSW 2212",151.0146188,-33.9532591
"Shop 1a, 49 Kiora Road, Miranda NSW 2228",151.1018607,-34.0346572
"Shop-1A, Bradbury Park, The Parkway, Bradbury NSW 2560",150.813344,-34.084442
"25 Scott St, Liverpool NSW 2170",150.9255656,-33.9249214
"Shops 7-9 Bringelly Village, 1197 The Northern Rd, Bringelly NSW 2556",150.7313425,-33.9402388
"21-23 Erskineville Rd, Newtown NSW 2042",151.1818424,-33.8984974
"86-96 Station St, Wentworthville NSW 2145",150.9718194,-33.8099689
"4/12 Garfield St, Five Dock NSW 2046",151.1286231,-33.8680191
"Store K 1014 L 1 Macquarie St, Liverpool NSW 2170",150.9249225,-33.9161861
"20 Parkers Farm Pl, Casula NSW 2170",150.8806837,-33.9591658
"Rockdale Plaza 1 Rockdale Plaza Dr, Rockdale NSW 2216",151.1399434,-33.9577496
