"Name","Line","lon","lat"
"Bella Vista","North West",150.944016,-33.730568
"Castle Hill","North West",151.0073179,-33.7316246
"Chatswood","North West",151.1808539,-33.7980105
"Cherrybrook","North West",151.0319586,-33.7366921
"Epping","North West",151.0820495,-33.7727196
"Hills Showground","North West",150.9870149,-33.7279085
"Kellyville","North West",150.9351156,-33.7134446
"Macquarie Park","North West",151.1282541,-33.7852397
"Macquarie University","North West",151.1180126,-33.7770817
"North Ryde","North West",151.137836,-33.7946193
"Norwest","North West",150.9636301,-33.7346268
"Rouse Hill","North West",150.9242988,-33.6920081
"Tallawong","North West",150.9060436,-33.6916153
