SSC_NAME_2016,POA_NAME_2016,n_MB_CODE_2016,share_MB_CODE_2016
Abbotsbury,2176,40,1
Abbotsford (NSW),2046,73,1
Acacia Gardens,2763,36,1
Alexandria,2015,117,1
Alfords Point,2234,40,1
Allambie Heights,2100,81,1
Allawah,2218,76,1
Annandale (NSW),2038,133,1
Annangrove,2156,11,1
Arcadia (NSW),2159,16,1
Arncliffe,2205,107,1
Arndell Park,2148,13,1
Artarmon,2064,144,1
Ashbury,2193,34,1
Ashcroft,2168,37,1
Ashfield (NSW),2131,289,1
Asquith,2077,45,1
Auburn (NSW),2144,350,1
Austral,2179,27,0.9642857142857143
Avalon Beach,2107,130,1
Balgowlah,2093,97,1
Balgowlah Heights,2093,43,1
Balmain,2041,147,1
Balmain East,2041,34,1
Bangor (NSW),2234,79,1
Banksia,2216,52,0.9811320754716981
Banksmeadow,2019,16,1
Bankstown,2200,387,1
Bankstown Aerodrome,2200,10,1
Bar Point,2083,8,1
Barangaroo,2000,2,1
Barden Ridge,2234,52,1
Bardwell Park,2207,39,1
Bardwell Valley,2207,29,1
Bass Hill,2197,103,1
Baulkham Hills,2153,383,1
Bayview (NSW),2104,47,1
Beacon Hill,2100,80,1
Beaconsfield (NSW),2015,15,1
Beaumont Hills,2155,85,1
Beecroft,2119,100,1
Belfield,2191,64,1
Bella Vista,2153,74,1
Bellevue Hill,2023,139,1
Belmore,2192,151,1
Belrose,2085,107,1
Berala,2141,82,1
Berkshire Park,2765,20,1
Berowra,2081,50,1
Berowra Creek,2082,7,1
Berowra Heights,2082,52,1
Berowra Waters,2082,2,1
Berrilee,2159,6,1
Beverley Park,2217,28,1
Beverly Hills,2209,120,1
Bexley,2207,229,1
Bexley North,2207,66,1
Bidwill (NSW),2770,46,1
Bilgola Beach,2107,10,1
Bilgola Plateau,2107,35,1
Birchgrove,2041,47,1
Birrong,2143,36,1
Blackett,2770,39,1
Blacktown,2148,490,1
Blakehurst,2221,80,1
Bondi,2026,145,1
Bondi Beach,2026,175,1
Bondi Junction,2022,127,1
Bonnet Bay,2226,38,1
Bonnyrigg,2177,96,1
Bonnyrigg Heights,2177,81,1
Bossley Park,2176,157,1
Botany,2019,110,1
Box Hill (NSW),2765,11,1
Breakfast Point,2137,30,1
Brighton-le-Sands,2216,129,1
Bronte,2024,98,0.98989898989899
Brooklyn (NSW),2083,21,1
Brookvale,2100,88,1
Bundeena,2230,28,1
Bungarribee,2767,22,1
Burraneer,2230,50,1
Burwood (NSW),2134,176,1
Burwood Heights,2136,12,1
Busby,2168,37,1
Cabarita (NSW),2137,24,1
Cabramatta,2166,220,1
Cabramatta West,2166,80,1
Caddens,2747,2,1
Cambridge Gardens,2747,27,1
Cambridge Park,2747,77,1
Camellia,2142,2,1
Cammeray,2062,116,1
Camperdown (NSW),2050,96,0.9696969696969697
Campsie,2194,253,1
Canada Bay,2046,15,1
Canley Heights,2166,132,1
Canley Vale,2166,122,1
Canoelands,2157,4,1
