mass_var,dist_spec,target_key,source,target,dist,mass_source,mass_target,gravity,gravity_rank
n_hospitals,radial_distance,2026,2000,2026,0.06768519290450856,1,0.1,22,204
n_hospitals,radial_distance,2026,2006,2026,0.08522574760435998,1,0.1,14,200
n_hospitals,radial_distance,2026,2007,2026,0.0751092207033994,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2008,2026,0.0757936347587296,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2009,2026,0.0815972202076043,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2010,2026,0.057985427070340316,5,0.1,149,212
n_hospitals,radial_distance,2026,2011,2026,0.051834051599541256,1,0.1,37,208
n_hospitals,radial_distance,2026,2015,2026,0.08154417513332247,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2016,2026,0.0659692950138738,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2017,2026,0.06605261522225032,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2018,2026,0.07288340799082241,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2019,2026,0.09006628188805448,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2020,2026,0.10362050082804473,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2021,2026,0.044384345191761085,0.1,0.1,5,176
n_hospitals,radial_distance,2026,2022,2026,0.024041902687970462,0.1,0.1,17,201
n_hospitals,radial_distance,2026,2023,2026,0.019011678833461162,0.1,0.1,28,207
n_hospitals,radial_distance,2026,2024,2026,0.017573826183669795,2,0.1,648,214
n_hospitals,radial_distance,2026,2025,2026,0.02872672698348538,1,0.1,121,211
n_hospitals,radial_distance,2026,2027,2026,0.0386894125815378,0.1,0.1,7,184
n_hospitals,radial_distance,2026,2028,2026,0.031014143348355967,0.1,0.1,10,195
n_hospitals,radial_distance,2026,2029,2026,0.016138145393595912,0.1,0.1,38,209
n_hospitals,radial_distance,2026,2030,2026,0.032792885109771616,0.1,0.1,9,193
n_hospitals,radial_distance,2026,2031,2026,0.03818833537753405,5,0.1,343,213
n_hospitals,radial_distance,2026,2032,2026,0.05706192569746804,0.1,0.1,3,166
n_hospitals,radial_distance,2026,2033,2026,0.058233779414115845,0.1,0.1,3,166
n_hospitals,radial_distance,2026,2034,2026,0.039182726516245436,0.1,0.1,7,184
n_hospitals,radial_distance,2026,2035,2026,0.06355461046221142,0.1,0.1,2,148
n_hospitals,radial_distance,2026,2036,2026,0.08786679730922707,1,0.1,13,198
n_hospitals,radial_distance,2026,2037,2026,0.08786955322523231,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2038,2026,0.10148544493711219,0.1,0.1,1,113
n_hospitals,radial_distance,2026,2039,2026,0.10213354670268704,0.1,0.1,1,113
