POA_CODE_2016,low_income,high_income,p_income,f_income,h_income,chinese_p,english_only_n,non_english_n,owner,rent,rental,rent_distress,repay,repay_distress,house,semi,unit
2000,15.928731343283584,29.692910447761196,4617,11618,10322,18.045522388059702,6444,6184,17.228731343283584,63.514925373134325,757.723880597015,35.505970149253734,2559.5,4.816044776119403,0.28246268656716417,1.8492537313432837,97.15895522388061
2007,33,15.1,386,1751,1230,35.1,2091,2012,11.4,69.5,554,45.1,2000,3.7,0.2,8.2,90.6
2008,41.8,22.4,486,2625,1111,22.3,1691,553,10.4,69.5,500,47,2800,4.1,3.4,49.3,44.2
2009,11.6,37.3,1111,2670,2280,12.8,6296,2519,16.7,60.60000000000001,652,23.8,2597,5.2,1.1,6.5,92.1
2010,13.2,35.3,1285,3095,2158,1.6,7115,1402,15.7,59.8,560,23.5,2500,4.6,0.5,21.1,77
2011,14.865503875968994,29.035658914728682,3885,8743,5625,1.437984496124031,11179,2107,16.272480620155036,65.19457364341086,491.1240310077519,25.41550387596899,2281.232558139535,3.7658914728682173,0.4437984496124031,9.886821705426355,88.61666666666666
2015,8.5,35.2,1197,2767,2330,7.3,655,117,17.4,43.4,623,17.3,2455,10.1,9.6,50.4,36.7
2016,26.3,28.7,991,2592,1821,6.6,8141,2008,13.3,61.70000000000001,500,22.6,2500,4.1,0.8,29,68.3
2017,28.832374100719424,23.710791366906477,1663,4464,3261,22.89568345323741,10633,5599,7.122302158273381,67.65755395683453,568.6330935251799,30.297841726618703,2325.179856115108,7.171223021582733,0.26258992805755393,8.964028776978417,90.33597122302159
2018,23.4,16.919631901840493,1306,3538,2942,10.066257668711657,6717,3927,25.004294478527605,46.29631901840491,499.3865030674847,21.67668711656442,2110.429447852761,7.293865030674847,30.478527607361965,4.498159509202455,63.342944785276075
2019,14.2,26.6,900,2290,2028,3.9,7395,1201,23.4,33.4,520,13.6,2600,10.4,32.5,26.1,39.7
2020,15.4,26.1,806,2103,1955,14.6,6344,3044,21.1,47.5,610,19.6,2490,8.1,31.9,6.4,60.7
2021,11.1,45.5,1422,3719,2509,0,10015,980,26.7,45.5,630,15.9,3500,5.900000000000001,2.7999999999999994,63.70000000000001,31.899999999999995
2022,15,32.6,1057,2488,2026,3,5543,1304,26.6,50,630,21.4,2817,4.6,5.6,27.2,61.4
2023,8.8,48.6,1318,3619,2892,1.7,8024,943,35,33.4,625,14.1,3000,7.5,33.8,4.5,60.900000000000006
