"POA_CODE_2016","low_income","high_income","p_income","f_income","h_income","chinese_p","english_only_n","non_english_n","owner","rent","rental","rent_distress","repay","repay_distress","house","semi","unit"
2000,15.9287313432836,29.6929104477612,4617,11618,10322,18.0455223880597,6444,6184,17.2287313432836,63.5149253731343,757.723880597015,35.5059701492537,2559.5,4.8160447761194,0.282462686567164,1.84925373134328,97.1589552238806
2007,33,15.1,386,1751,1230,35.1,2091,2012,11.4,69.5,554,45.1,2000,3.7,0.2,8.2,90.6
2008,41.8,22.4,486,2625,1111,22.3,1691,553,10.4,69.5,500,47,2800,4.1,3.4,49.3,44.2
2009,11.6,37.3,1111,2670,2280,12.8,6296,2519,16.7,60.6,652,23.8,2597,5.2,1.1,6.5,92.1
2010,13.2,35.3,1285,3095,2158,1.6,7115,1402,15.7,59.8,560,23.5,2500,4.6,0.5,21.1,77
2011,14.865503875969,29.0356589147287,3885,8743,5625,1.43798449612403,11179,2107,16.272480620155,65.1945736434109,491.124031007752,25.415503875969,2281.23255813953,3.76589147286822,0.443798449612403,9.88682170542635,88.6166666666667
2015,8.5,35.2,1197,2767,2330,7.3,655,117,17.4,43.4,623,17.3,2455,10.1,9.6,50.4,36.7
2016,26.3,28.7,991,2592,1821,6.6,8141,2008,13.3,61.7,500,22.6,2500,4.1,0.8,29,68.3
2017,28.8323741007194,23.7107913669065,1663,4464,3261,22.8956834532374,10633,5599,7.12230215827338,67.6575539568345,568.63309352518,30.2978417266187,2325.17985611511,7.17122302158273,0.262589928057554,8.96402877697842,90.3359712230216
2018,23.4,16.9196319018405,1306,3538,2942,10.0662576687117,6717,3927,25.0042944785276,46.2963190184049,499.386503067485,21.6766871165644,2110.42944785276,7.29386503067485,30.478527607362,4.49815950920245,63.3429447852761
2019,14.2,26.6,900,2290,2028,3.9,7395,1201,23.4,33.4,520,13.6,2600,10.4,32.5,26.1,39.7
2020,15.4,26.1,806,2103,1955,14.6,6344,3044,21.1,47.5,610,19.6,2490,8.1,31.9,6.4,60.7
2021,11.1,45.5,1422,3719,2509,0,10015,980,26.7,45.5,630,15.9,3500,5.9,2.8,63.7,31.9
2022,15,32.6,1057,2488,2026,3,5543,1304,26.6,50,630,21.4,2817,4.6,5.6,27.2,61.4
2023,8.8,48.6,1318,3619,2892,1.7,8024,943,35,33.4,625,14.1,3000,7.5,33.8,4.5,60.9
2024,11.6798742138365,41.6320754716981,2309,6344,4809,0.460377358490566,8293,912,28.4157232704403,41.051572327044,593.14465408805,14.7251572327044,3308.17610062893,6.02327044025157,25.4603773584906,21.5471698113208,51.2691823899371
2025,11.7,45.6,1375,3646,2529,1.6,5596,556,33.7,36.7,655,13.5,3033,5.3,15,33.5,50.2
2026,12.0303225806452,38.7705376344086,4962,12327,10320,0,22032,3577,20.5849462365591,53.8045161290323,636.860215053763,20.3378494623656,2836.72258064516,4.92344086021505,10.0006451612903,16.2703225806452,72.618064516129
2027,9.88235294117647,46.8757352941176,4671,11356,8808,3.45514705882353,5917,716,40.6007352941176,38.6426470588235,742.669117647059,14.0088235294118,3199.31617647059,4.52058823529412,9.59191176470588,9.93308823529412,79.9580882352941
2028,11.6,43.8,1427,3421,2478,3.3,3449,417,34.3,41,680,15,3000,5.1,14.6,9.6,75.1
2029,11.9,38.4,1154,2942,2272,1.3,7380,974,30.1,43.2,600,19.2,3000,5.7,22.1,8.3,68.5
2030,10.2336683417085,47.5321608040201,3286,10403,8355,2.09195979899497,10440,1270,41.0155778894472,24.1859296482412,668.467336683417,11.7748743718593,3528.86432160804,9.18693467336683,53.3693467336683,11.0854271356784,33.8035175879397
2031,12.4492063492063,35.2895691609977,2398,6132,4937,4.44671201814059,24196,3773,24.5006802721088,48.6875283446712,571.269841269841,17.5662131519274,2774.36054421769,5.18979591836735,15.6421768707483,18.0777777777778,64.2156462585034
2032,56.3,8.6,400,1010,498,2.6,766,173,9.8,75.6,130,35.8,2550,0.6,15.5,67.1,17.4
2033,23,22.6,514,2200,1646,20.1,7100,2374,21.9,57.8,515,31.5,2600,4.7,19.2,6.5,72.9
2034,14.7613861386139,37.1821782178218,2040,5708,3913,0.810891089108911,14974,2014,22.2039603960396,52.6930693069307,512.049504950495,17.8861386138614,2823.88118811881,4.36237623762376,15.9851485148515,10.8009900990099,72.2514851485149
2035,20.1,29,731,2286,1870,5.9,2315,538,38.1,24.4,420,9.8,2795,7.5,74.9,10.7,14.2
2036,20.2863387978142,26.079781420765,2969,8310,7101,6.6879781420765,11506,2212,30.3885245901639,34.6606557377049,419,14.3754098360656,2547.60655737705,7.62295081967213,47.396174863388,24.8841530054645,27.2715846994536
2037,17.8,34.7,1063,2923,2143,13.6,2849,699,14.3,61.3,600,25.9,2900,5.1,1.6,41.6,55.9
2040,14.6487719298246,37.8368421052632,2225,6013,4566,2,16529,2213,24.5554385964912,38.9445614035088,540.638596491228,13.9378947368421,3000,5.78140350877193,30.6656140350877,45.6656140350877,22.0747368421053
2041,12.8399122807018,46.3052631578947,4172,11112,8260,0.914912280701754,12582,1001,30.009649122807,39.3258771929825,607.324561403509,12.4324561403509,3074.56140350877,5.39649122807018,7.07719298245614,59.4328947368421,32.6583333333333
2042,13.5,30.5,1067,2694,2080,3.9,10774,1430,15.8,58.4,520,22.6,2600,4,4.2,54,38.9
2043,9.7,39.3,1381,3011,2482,3.9,5955,793,12.7,50.1,602,14.8,2600,6.8,3.5,40.2,55.3
2044,13.1774774774775,29.5036036036036,2681,6836,6091,3.87297297297297,5017,974,26.0108108108108,32.4333333333333,562.702702702703,12.2225225225225,2584.68468468468,8.06036036036036,43.7414414414414,37.7972972972973,16.3594594594595
2046,16.0014760147601,33.6712177121771,4730,12919,10786,5.20036900369004,12856,2931,34.3140221402214,31.6343173431734,557.416974169742,10.6446494464945,2684.35793357934,6.88708487084871,53.6959409594096,9.51291512915129,35.2571955719557
2047,12.4,39.2,1170,2993,2353,3.4,8477,1276,32.7,37,571,11.3,2900,5.8,31.1,11.2,55.3
2048,11.3,32.9,1067,2656,2179,1.6,5654,816,22.7,45.3,500,15.2,2600,5,19.1,39.7,37.6
2049,14.2960526315789,29.4763157894737,1944,5259,3940,1.8,7900,1293,19.9315789473684,47.9473684210526,449.078947368421,18.1486842105263,2572.76315789474,5.75131578947368,26.9697368421053,25.0460526315789,44.9447368421053
2050,28,26.5,889,2819,1796,11.9,6683,1666,11.7,64.3,500,33.8,2516,4.8,2,20.9,76.4
