from,to,m,km,miles,seconds,minutes,hours,mode,source,target
"Sydney postcode 2000, NSW, Australia","Sydney postcode 2026, NSW, Australia",9191,9.191,5.711287400000001,1293,21.55,0.3591666666666667,driving,2000,2026
"Sydney postcode 2006, NSW, Australia","Sydney postcode 2026, NSW, Australia",10942,10.942,6.7993588,1506,25.1,0.41833333333333333,driving,2006,2026
"Sydney postcode 2007, NSW, Australia","Sydney postcode 2026, NSW, Australia",9543,9.543,5.9300202,1235,20.583333333333332,0.34305555555555556,driving,2007,2026
"Sydney postcode 2008, NSW, Australia","Sydney postcode 2026, NSW, Australia",9200,9.2,5.716880000000001,1352,22.533333333333335,0.37555555555555553,driving,2008,2026
"Sydney postcode 2009, NSW, Australia","Sydney postcode 2026, NSW, Australia",9885,9.885,6.142539,1295,21.583333333333332,0.3597222222222222,driving,2009,2026
"Sydney postcode 2010, NSW, Australia","Sydney postcode 2026, NSW, Australia",6519,6.519,4.0509066,917,15.283333333333333,0.25472222222222224,driving,2010,2026
"Sydney postcode 2011, NSW, Australia","Sydney postcode 2026, NSW, Australia",6681,6.681,4.1515734,1076,17.933333333333334,0.29888888888888887,driving,2011,2026
"Sydney postcode 2015, NSW, Australia","Sydney postcode 2026, NSW, Australia",9432,9.432,5.8610448,1557,25.95,0.4325,driving,2015,2026
"Sydney postcode 2016, NSW, Australia","Sydney postcode 2026, NSW, Australia",8589,8.589,5.337204600000001,1254,20.9,0.34833333333333333,driving,2016,2026
"Sydney postcode 2017, NSW, Australia","Sydney postcode 2026, NSW, Australia",8081,8.081,5.0215334,1279,21.316666666666666,0.3552777777777778,driving,2017,2026
"Sydney postcode 2018, NSW, Australia","Sydney postcode 2026, NSW, Australia",9756,9.756,6.0623784,1368,22.8,0.38,driving,2018,2026
"Sydney postcode 2019, NSW, Australia","Sydney postcode 2026, NSW, Australia",12658,12.658,7.8656812,1672,27.866666666666667,0.46444444444444444,driving,2019,2026
"Sydney postcode 2020, NSW, Australia","Sydney postcode 2026, NSW, Australia",14733,14.733,9.155086200000001,1678,27.966666666666665,0.4661111111111111,driving,2020,2026
"Sydney postcode 2021, NSW, Australia","Sydney postcode 2026, NSW, Australia",4704,4.704,2.9230656,670,11.166666666666666,0.18611111111111112,driving,2021,2026
"Sydney postcode 2022, NSW, Australia","Sydney postcode 2026, NSW, Australia",3020,3.02,1.8766280000000002,530,8.833333333333334,0.14722222222222223,driving,2022,2026
"Sydney postcode 2023, NSW, Australia","Sydney postcode 2026, NSW, Australia",2718,2.718,1.6889652000000002,462,7.7,0.12833333333333333,driving,2023,2026
"Sydney postcode 2024, NSW, Australia","Sydney postcode 2026, NSW, Australia",2417,2.417,1.5019238000000001,432,7.2,0.12,driving,2024,2026
"Sydney postcode 2025, NSW, Australia","Sydney postcode 2026, NSW, Australia",3734,3.734,2.3203076,587,9.783333333333333,0.16305555555555556,driving,2025,2026
"Sydney postcode 2026, NSW, Australia","Sydney postcode 2026, NSW, Australia",0,0,0,0,0,0,driving,2026,2026
"Sydney postcode 2027, NSW, Australia","Sydney postcode 2026, NSW, Australia",5882,5.882,3.6550748000000004,844,14.066666666666666,0.23444444444444446,driving,2027,2026
"Sydney postcode 2028, NSW, Australia","Sydney postcode 2026, NSW, Australia",4331,4.331,2.6912834,700,11.666666666666666,0.19444444444444445,driving,2028,2026
"Sydney postcode 2029, NSW, Australia","Sydney postcode 2026, NSW, Australia",4152,4.152,2.5800528000000003,650,10.833333333333334,0.18055555555555555,driving,2029,2026
"Sydney postcode 2030, NSW, Australia","Sydney postcode 2026, NSW, Australia",5359,5.359,3.3300826000000003,750,12.5,0.20833333333333334,driving,2030,2026
"Sydney postcode 2031, NSW, Australia","Sydney postcode 2026, NSW, Australia",5340,5.34,3.318276,841,14.016666666666667,0.2336111111111111,driving,2031,2026
"Sydney postcode 2032, NSW, Australia","Sydney postcode 2026, NSW, Australia",7814,7.814,4.855619600000001,1181,19.683333333333334,0.32805555555555554,driving,2032,2026
"Sydney postcode 2033, NSW, Australia","Sydney postcode 2026, NSW, Australia",7291,7.291,4.5306274,1110,18.5,0.30833333333333335,driving,2033,2026
"Sydney postcode 2034, NSW, Australia","Sydney postcode 2026, NSW, Australia",5563,5.563,3.4568482,835,13.916666666666666,0.23194444444444445,driving,2034,2026
"Sydney postcode 2035, NSW, Australia","Sydney postcode 2026, NSW, Australia",8572,8.572,5.326640800000001,1235,20.583333333333332,0.34305555555555556,driving,2035,2026
"Sydney postcode 2036, NSW, Australia","Sydney postcode 2026, NSW, Australia",11968,11.968,7.4369152000000005,1555,25.916666666666668,0.43194444444444446,driving,2036,2026
"Sydney postcode 2037, NSW, Australia","Sydney postcode 2026, NSW, Australia",10504,10.504,6.5271856,1397,23.283333333333335,0.38805555555555554,driving,2037,2026
"Sydney postcode 2038, NSW, Australia","Sydney postcode 2026, NSW, Australia",12445,12.445,7.733323,1413,23.55,0.3925,driving,2038,2026
"Sydney postcode 2039, NSW, Australia","Sydney postcode 2026, NSW, Australia",11363,11.363,7.0609682000000005,1271,21.183333333333334,0.35305555555555557,driving,2039,2026
"Sydney postcode 2040, NSW, Australia","Sydney postcode 2026, NSW, Australia",13208,13.208,8.207451200000001,1475,24.583333333333332,0.4097222222222222,driving,2040,2026
"Sydney postcode 2041, NSW, Australia","Sydney postcode 2026, NSW, Australia",11902,11.902,7.3959028,1300,21.666666666666668,0.3611111111111111,driving,2041,2026
"Sydney postcode 2042, NSW, Australia","Sydney postcode 2026, NSW, Australia",11457,11.457,7.119379800000001,1727,28.783333333333335,0.4797222222222222,driving,2042,2026
"Sydney postcode 2043, NSW, Australia","Sydney postcode 2026, NSW, Australia",11300,11.3,7.02182,1646,27.433333333333334,0.4572222222222222,driving,2043,2026
"Sydney postcode 2044, NSW, Australia","Sydney postcode 2026, NSW, Australia",14352,14.352,8.9183328,1980,33,0.55,driving,2044,2026
"Sydney postcode 2045, NSW, Australia","Sydney postcode 2026, NSW, Australia",15595,15.595,9.690733,1605,26.75,0.44583333333333336,driving,2045,2026
"Sydney postcode 2046, NSW, Australia","Sydney postcode 2026, NSW, Australia",16085,16.085,9.995219,1758,29.3,0.48833333333333334,driving,2046,2026
"Sydney postcode 2047, NSW, Australia","Sydney postcode 2026, NSW, Australia",13678,13.678,8.4995092,1541,25.683333333333334,0.4280555555555556,driving,2047,2026
"Sydney postcode 2048, NSW, Australia","Sydney postcode 2026, NSW, Australia",13871,13.871,8.619439400000001,1636,27.266666666666666,0.45444444444444443,driving,2048,2026
"Sydney postcode 2049, NSW, Australia","Sydney postcode 2026, NSW, Australia",14674,14.674,9.1184236,1769,29.483333333333334,0.4913888888888889,driving,2049,2026
"Sydney postcode 2050, NSW, Australia","Sydney postcode 2026, NSW, Australia",12198,12.198,7.5798372,1621,27.016666666666666,0.4502777777777778,driving,2050,2026
"Sydney postcode 2052, NSW, Australia","Sydney postcode 2026, NSW, Australia",7275,7.275,4.520685,1250,20.833333333333332,0.3472222222222222,driving,2052,2026
"Sydney postcode 2060, NSW, Australia","Sydney postcode 2026, NSW, Australia",14088,14.088,8.7542832,1388,23.133333333333333,0.38555555555555554,driving,2060,2026
"Sydney postcode 2061, NSW, Australia","Sydney postcode 2026, NSW, Australia",12732,12.732,7.9116648000000005,1276,21.266666666666666,0.35444444444444445,driving,2061,2026
"Sydney postcode 2062, NSW, Australia","Sydney postcode 2026, NSW, Australia",13946,13.946,8.6660444,1264,21.066666666666666,0.3511111111111111,driving,2062,2026
"Sydney postcode 2063, NSW, Australia","Sydney postcode 2026, NSW, Australia",15825,15.825,9.833655,1477,24.616666666666667,0.4102777777777778,driving,2063,2026
"Sydney postcode 2064, NSW, Australia","Sydney postcode 2026, NSW, Australia",17023,17.023,10.5780922,1391,23.183333333333334,0.3863888888888889,driving,2064,2026
"Sydney postcode 2065, NSW, Australia","Sydney postcode 2026, NSW, Australia",15295,15.295,9.504313,1461,24.35,0.4058333333333333,driving,2065,2026
"Sydney postcode 2066, NSW, Australia","Sydney postcode 2026, NSW, Australia",17734,17.734,11.0199076,1432,23.866666666666667,0.3977777777777778,driving,2066,2026
"Sydney postcode 2067, NSW, Australia","Sydney postcode 2026, NSW, Australia",18646,18.646,11.5866244,1491,24.85,0.4141666666666667,driving,2067,2026
"Sydney postcode 2068, NSW, Australia","Sydney postcode 2026, NSW, Australia",16714,16.714,10.3860796,1461,24.35,0.4058333333333333,driving,2068,2026
"Sydney postcode 2069, NSW, Australia","Sydney postcode 2026, NSW, Australia",19584,19.584,12.169497600000001,1795,29.916666666666668,0.4986111111111111,driving,2069,2026
"Sydney postcode 2070, NSW, Australia","Sydney postcode 2026, NSW, Australia",22033,22.033,13.691306200000001,1941,32.35,0.5391666666666667,driving,2070,2026
"Sydney postcode 2071, NSW, Australia","Sydney postcode 2026, NSW, Australia",23715,23.715,14.736501,2050,34.166666666666664,0.5694444444444444,driving,2071,2026
"Sydney postcode 2072, NSW, Australia","Sydney postcode 2026, NSW, Australia",27771,27.771,17.256899400000002,1998,33.3,0.555,driving,2072,2026
"Sydney postcode 2073, NSW, Australia","Sydney postcode 2026, NSW, Australia",25463,25.463,15.822708200000001,1798,29.966666666666665,0.49944444444444447,driving,2073,2026
"Sydney postcode 2074, NSW, Australia","Sydney postcode 2026, NSW, Australia",35806,35.806,22.2498484,2707,45.11666666666667,0.7519444444444444,driving,2074,2026
"Sydney postcode 2075, NSW, Australia","Sydney postcode 2026, NSW, Australia",31589,31.589,19.6294046,2247,37.45,0.6241666666666666,driving,2075,2026
"Sydney postcode 2076, NSW, Australia","Sydney postcode 2026, NSW, Australia",33172,33.172,20.613080800000002,2422,40.36666666666667,0.6727777777777778,driving,2076,2026
"Sydney postcode 2077, NSW, Australia","Sydney postcode 2026, NSW, Australia",36409,36.409,22.6245526,2886,48.1,0.8016666666666666,driving,2077,2026
"Sydney postcode 2079, NSW, Australia","Sydney postcode 2026, NSW, Australia",45432,45.432,28.231444800000002,2694,44.9,0.7483333333333333,driving,2079,2026
"Sydney postcode 2080, NSW, Australia","Sydney postcode 2026, NSW, Australia",49298,49.298,30.6337772,2873,47.88333333333333,0.7980555555555555,driving,2080,2026
"Sydney postcode 2081, NSW, Australia","Sydney postcode 2026, NSW, Australia",58475,58.475,36.336365,3623,60.38333333333333,1.006388888888889,driving,2081,2026
"Sydney postcode 2082, NSW, Australia","Sydney postcode 2026, NSW, Australia",55673,55.673,34.5952022,3165,52.75,0.8791666666666667,driving,2082,2026
"Sydney postcode 2083, NSW, Australia","Sydney postcode 2026, NSW, Australia",69193,69.193,42.9965302,3658,60.96666666666667,1.0161111111111112,driving,2083,2026
"Sydney postcode 2084, NSW, Australia","Sydney postcode 2026, NSW, Australia",46865,46.865,29.121911,3257,54.28333333333333,0.9047222222222222,driving,2084,2026
"Sydney postcode 2085, NSW, Australia","Sydney postcode 2026, NSW, Australia",28221,28.221,17.536529400000003,2485,41.416666666666664,0.6902777777777778,driving,2085,2026
"Sydney postcode 2086, NSW, Australia","Sydney postcode 2026, NSW, Australia",25116,25.116,15.607082400000001,2233,37.21666666666667,0.6202777777777778,driving,2086,2026
"Sydney postcode 2087, NSW, Australia","Sydney postcode 2026, NSW, Australia",23900,23.9,14.851460000000001,2044,34.06666666666667,0.5677777777777778,driving,2087,2026
"Sydney postcode 2088, NSW, Australia","Sydney postcode 2026, NSW, Australia",14939,14.939,9.2830946,1450,24.166666666666668,0.4027777777777778,driving,2088,2026
"Sydney postcode 2089, NSW, Australia","Sydney postcode 2026, NSW, Australia",13938,13.938,8.6610732,1375,22.916666666666668,0.3819444444444444,driving,2089,2026
"Sydney postcode 2090, NSW, Australia","Sydney postcode 2026, NSW, Australia",13836,13.836,8.597690400000001,1248,20.8,0.3466666666666667,driving,2090,2026
"Sydney postcode 2092, NSW, Australia","Sydney postcode 2026, NSW, Australia",20435,20.435,12.698309,1970,32.833333333333336,0.5472222222222223,driving,2092,2026
"Sydney postcode 2093, NSW, Australia","Sydney postcode 2026, NSW, Australia",20935,20.935,13.009009,2049,34.15,0.5691666666666667,driving,2093,2026
"Sydney postcode 2094, NSW, Australia","Sydney postcode 2026, NSW, Australia",20972,20.972,13.0320008,2058,34.3,0.5716666666666667,driving,2094,2026
"Sydney postcode 2095, NSW, Australia","Sydney postcode 2026, NSW, Australia",23606,23.606,14.668768400000001,2431,40.516666666666666,0.6752777777777778,driving,2095,2026
"Sydney postcode 2096, NSW, Australia","Sydney postcode 2026, NSW, Australia",24679,24.679,15.3355306,2443,40.71666666666667,0.6786111111111112,driving,2096,2026
"Sydney postcode 2097, NSW, Australia","Sydney postcode 2026, NSW, Australia",28083,28.083,17.4507762,2823,47.05,0.7841666666666667,driving,2097,2026
"Sydney postcode 2099, NSW, Australia","Sydney postcode 2026, NSW, Australia",25930,25.93,16.112902000000002,2596,43.266666666666666,0.7211111111111111,driving,2099,2026
"Sydney postcode 2100, NSW, Australia","Sydney postcode 2026, NSW, Australia",23604,23.604,14.667525600000001,2281,38.016666666666666,0.6336111111111111,driving,2100,2026
"Sydney postcode 2101, NSW, Australia","Sydney postcode 2026, NSW, Australia",43855,43.855,27.251497,2991,49.85,0.8308333333333333,driving,2101,2026
"Sydney postcode 2102, NSW, Australia","Sydney postcode 2026, NSW, Australia",37634,37.634,23.3857676,3076,51.266666666666666,0.8544444444444445,driving,2102,2026
"Sydney postcode 2103, NSW, Australia","Sydney postcode 2026, NSW, Australia",39150,39.15,24.327810000000003,3176,52.93333333333333,0.8822222222222222,driving,2103,2026
"Sydney postcode 2104, NSW, Australia","Sydney postcode 2026, NSW, Australia",47056,47.056,29.240598400000003,3214,53.56666666666667,0.8927777777777778,driving,2104,2026
"Sydney postcode 2106, NSW, Australia","Sydney postcode 2026, NSW, Australia",42142,42.142,26.1870388,3372,56.2,0.9366666666666666,driving,2106,2026
"Sydney postcode 2107, NSW, Australia","Sydney postcode 2026, NSW, Australia",45706,45.706,28.4017084,3722,62.03333333333333,1.0338888888888889,driving,2107,2026
"Sydney postcode 2108, NSW, Australia","Sydney postcode 2026, NSW, Australia",54091,54.091,33.612147400000005,4819,80.31666666666666,1.3386111111111112,driving,2108,2026
"Sydney postcode 2109, NSW, Australia","Sydney postcode 2026, NSW, Australia",26557,26.557,16.5025198,1912,31.866666666666667,0.5311111111111111,driving,2109,2026
"Sydney postcode 2110, NSW, Australia","Sydney postcode 2026, NSW, Australia",17973,17.973,11.1684222,1778,29.633333333333333,0.4938888888888889,driving,2110,2026
"Sydney postcode 2111, NSW, Australia","Sydney postcode 2026, NSW, Australia",18244,18.244,11.3368216,1878,31.3,0.5216666666666666,driving,2111,2026
"Sydney postcode 2112, NSW, Australia","Sydney postcode 2026, NSW, Australia",25365,25.365,15.761811000000002,2013,33.55,0.5591666666666667,driving,2112,2026
"Sydney postcode 2113, NSW, Australia","Sydney postcode 2026, NSW, Australia",23008,23.008,14.297171200000001,1798,29.966666666666665,0.49944444444444447,driving,2113,2026
"Sydney postcode 2114, NSW, Australia","Sydney postcode 2026, NSW, Australia",23314,23.314,14.487319600000001,2365,39.416666666666664,0.6569444444444444,driving,2114,2026
"Sydney postcode 2115, NSW, Australia","Sydney postcode 2026, NSW, Australia",28783,28.783,17.8857562,2370,39.5,0.6583333333333333,driving,2115,2026
"Sydney postcode 2116, NSW, Australia","Sydney postcode 2026, NSW, Australia",30156,30.156,18.738938400000002,2562,42.7,0.7116666666666667,driving,2116,2026
"Sydney postcode 2117, NSW, Australia","Sydney postcode 2026, NSW, Australia",38099,38.099,23.674718600000002,2556,42.6,0.71,driving,2117,2026
"Sydney postcode 2118, NSW, Australia","Sydney postcode 2026, NSW, Australia",34867,34.867,21.6663538,2223,37.05,0.6175,driving,2118,2026
"Sydney postcode 2119, NSW, Australia","Sydney postcode 2026, NSW, Australia",30671,30.671,19.058959400000003,1972,32.86666666666667,0.5477777777777778,driving,2119,2026
"Sydney postcode 2120, NSW, Australia","Sydney postcode 2026, NSW, Australia",34634,34.634,21.5215676,2313,38.55,0.6425,driving,2120,2026
"Sydney postcode 2121, NSW, Australia","Sydney postcode 2026, NSW, Australia",29848,29.848,18.5475472,1917,31.95,0.5325,driving,2121,2026
"Sydney postcode 2122, NSW, Australia","Sydney postcode 2026, NSW, Australia",26307,26.307,16.3471698,2033,33.88333333333333,0.5647222222222222,driving,2122,2026
"Sydney postcode 2123, NSW, Australia","Sydney postcode 2026, NSW, Australia",9098,9.098,5.6534972,1067,17.783333333333335,0.29638888888888887,driving,2123,2026
"Sydney postcode 2125, NSW, Australia","Sydney postcode 2026, NSW, Australia",35123,35.123,21.8254322,2272,37.86666666666667,0.6311111111111111,driving,2125,2026
"Sydney postcode 2126, NSW, Australia","Sydney postcode 2026, NSW, Australia",35208,35.208,21.8782512,2167,36.11666666666667,0.6019444444444444,driving,2126,2026
"Sydney postcode 2127, NSW, Australia","Sydney postcode 2026, NSW, Australia",25174,25.174,15.643123600000001,2119,35.31666666666667,0.5886111111111111,driving,2127,2026
"Sydney postcode 2128, NSW, Australia","Sydney postcode 2026, NSW, Australia",26112,26.112,16.2259968,2221,37.016666666666666,0.6169444444444444,driving,2128,2026
"Sydney postcode 2129, NSW, Australia","Sydney postcode 2026, NSW, Australia",23356,23.356,14.5134184,2140,35.666666666666664,0.5944444444444444,driving,2129,2026
"Sydney postcode 2130, NSW, Australia","Sydney postcode 2026, NSW, Australia",16603,16.603,10.317104200000001,1939,32.31666666666667,0.5386111111111112,driving,2130,2026
